OPEN 6.2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat Jan 23 2016 12:08:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#1.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""12:08:47 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:08:49 Log AvgTime changed to 15 s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:08:49 Lamp: ParIn ->  1200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:08:49 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:08:49 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:08:49 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12:08:51,47.50000357,0,11.37982912,0.115473026,214.7257543,1.726213803,1.446433157,31.4743557,6,1.420000017,1,2.840000033,30.16262817,31.4743557,30.01240921,399.7748413,385.3207397,30.9046669,32.90797424,69.63516235,74.13435364,499.9954529,1199.093628,0.250876874,96.88865662,-4.850877285,-0.092694275,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833325755,0.001726214,304.6243557,303.3126282,191.8549762,1.172412208,4.634842574,47.83679262,14.92881837,30.81849194,4.464899295,0.11096139,3.188409416,1.276489878,0.069742574,20.80448988,0.55726498,68.74985883,379.911314,0.02059327
2,12:08:53,49.50000352,0,11.40009302,0.11557576,214.5849617,1.727926086,1.446619514,31.47599983,6,1.420000017,1,2.840000033,30.16302109,31.47599983,30.0128479,399.8087769,385.3294373,30.90535545,32.91065979,69.63224792,74.14022064,499.9916077,1199.068604,0.240239635,96.88824463,-4.850877285,-0.092694275,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833319346,0.001727926,304.6259998,303.3130211,191.8509723,1.171296198,4.635275571,47.84146507,14.93080528,30.81951046,4.465158941,0.111056249,3.188656057,1.276502885,0.069802533,20.79076026,0.556887019,68.74971862,379.910379,0.020629949
3,12:08:55,51.50000348,0,11.40327905,0.115642654,214.6281439,1.728940963,1.446657797,31.4769268,6,1.420000017,1,2.840000033,30.163414,31.4769268,30.01238251,399.8114319,385.3276672,30.90636063,32.91285706,69.63179779,74.14389038,499.986908,1199.050049,0.283034712,96.88803101,-4.850877285,-0.092694275,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833311513,0.001728941,304.6269268,303.313414,191.8480035,1.17065721,4.635519712,47.84409038,14.93123332,30.8201704,4.465327184,0.111118012,3.188861915,1.276465269,0.069841572,20.79489826,0.557001643,68.75116626,379.9070945,0.020636328
4,12:08:57,54.00000342,0,11.41486203,0.115704016,214.5209685,1.729703549,1.446558219,31.47740746,6,1.420000017,1,2.840000033,30.16402054,31.47740746,30.01125908,399.7984619,385.3003845,30.90774155,32.91513443,69.63175964,74.14724731,499.9828796,1199.07312,0.284918785,96.88819885,-4.850877285,-0.092694275,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833304799,0.001729704,304.6274075,303.3140205,191.8516949,1.170321787,4.635646309,47.84531412,14.93017969,30.820714,4.465465769,0.111174665,3.18908809,1.276377679,0.069877383,20.78455026,0.556762924,68.75476224,379.8743058,0.020660153
