OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Jan 20 2016 14:19:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""14:19:28 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:19:29 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:19:30 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:19:30 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:19:30 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14:19:32,13.00000087,0,-2.470757456,0.029301833,523.0198556,0.709355229,2.281658293,30.16289139,6,1.420000017,1,2.840000033,30.03112411,30.16289139,29.99887848,400.6830444,405.0470276,19.5437355,20.93183136,44.1703949,47.30889511,300.1984863,0.16255264,4.691017151,96.44720459,0.844627917,0.005763787,0.115405627,0.001106181,0.097086586,0.001858782,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500330811,0.000709355,303.3128914,303.1811241,0.026008422,-0.370739625,4.300474914,44.58890159,23.65707023,30.09700775,4.284246912,0.029002598,2.018816622,2.26543029,0.018153273,50.44380302,1.291257113,45.70720427,406.2215074,-0.002780045
2,14:19:34,15.00000083,0,-2.502688119,0.029305997,524.7488469,0.709253346,2.281012915,30.16028976,6,1.420000017,1,2.840000033,30.03199768,30.16028976,29.99877548,400.6377258,405.0654602,19.54405212,20.93190956,44.16692734,47.3044281,300.2069092,0.149131432,4.664938927,96.44701385,0.844627917,0.005763787,0.115405627,0.001106181,0.097086586,0.001858782,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500344849,0.000709253,303.3102898,303.1819977,0.023861029,-0.370242844,4.299833086,44.58233505,23.65042549,30.09614372,4.284034445,0.029006677,2.018820171,2.265214274,0.01815583,50.61045931,1.295466779,45.7147202,406.2551183,-0.002816203
3,14:19:36,17.50000077,0,-2.589817381,0.029283716,529.58164,0.708725002,2.281033932,30.15985107,6,1.420000017,1,2.840000033,30.03249359,30.15985107,29.99820518,400.4844055,405.0866699,19.54373932,20.93056297,44.16405106,47.29937363,300.2073059,0.125187457,4.646203041,96.44704437,0.844627917,0.005763787,0.115405627,0.001106181,0.097086586,0.001858782,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.50034551,0.000708725,303.3098511,303.1824936,0.020029993,-0.369896488,4.299724868,44.5811989,23.65063592,30.09617233,4.28404148,0.028984848,2.018690936,2.265350545,0.018142146,51.07658393,1.307329219,45.71250182,406.3177451,-0.002913656
4,14:19:38,19.50000073,0,-2.661405067,0.029252088,533.6096192,0.708091075,2.281427509,30.16096497,6,1.420000017,1,2.840000033,30.03275108,30.16096497,29.99780655,400.3476563,405.0935364,19.54376411,20.92935944,44.16298294,47.29604721,300.2050476,0.099084407,4.694928169,96.44691467,0.844627917,0.005763787,0.115405627,0.001106181,0.097086586,0.001858782,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500341746,0.000708091,303.310965,303.1827511,0.015853505,-0.369743776,4.299999652,44.58410792,23.65474848,30.09685802,4.284210093,0.028953862,2.018572144,2.265637949,0.018122723,51.46500142,1.317250391,45.7059583,406.3586409,-0.002993466
5,14:19:40,21.50000068,0,-2.705653844,0.029233934,536.08373,0.707761457,2.28176054,30.16201591,6,1.420000017,1,2.840000033,30.0332489,30.16201591,29.99764824,400.2505188,405.0850525,19.54369926,20.92863274,44.16138458,47.29291534,300.2089233,0.083594881,4.762396336,96.4467392,0.844627917,0.005763787,0.115405627,0.001106181,0.097086586,0.001858782,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500348206,0.000707761,303.3120159,303.1832489,0.013375181,-0.369682301,4.300258923,44.58687727,23.65824453,30.09763241,4.284400522,0.028936077,2.018498383,2.265902139,0.018111575,51.70352769,1.323385612,45.70090582,406.3711907,-0.003042805
6,14:19:42,23.50000064,0,-2.730135002,0.029234209,537.3833137,0.707849481,2.282017376,30.16277885,6,1.420000017,1,2.840000033,30.03356743,30.16277885,29.99736404,400.1780701,405.0614014,19.5428791,20.92795944,44.15906525,47.29035187,300.2146301,0.080046877,4.803263187,96.44656372,0.844627917,0.005763787,0.115405627,0.001106181,0.097086586,0.001858782,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500357717,0.000707849,303.3127789,303.1835674,0.0128075,-0.369792537,4.30044715,44.58891001,23.66095057,30.09817314,4.284533498,0.028936345,2.018429774,2.266103724,0.018111743,51.82877401,1.326671245,45.6971378,406.3591768,-0.003070174
7,14:19:44,25.50000059,0,-2.737843964,0.029236216,537.7529461,0.707957925,2.282206947,30.16327286,6,1.420000017,1,2.840000033,30.03370285,30.16327286,29.99690819,400.1250305,405.0237427,19.54199982,20.92729568,44.15690994,47.28845978,300.2141113,0.08324413,4.826331139,96.44638824,0.844627917,0.005763787,0.115405627,0.001106181,0.097086586,0.001858782,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500356852,0.000707958,303.3132729,303.1837029,0.013319061,-0.369889207,4.300569031,44.59025485,23.66295916,30.09848785,4.284610894,0.028938312,2.018362085,2.266248809,0.018112976,51.86432942,1.327707217,45.69418476,406.3251826,-0.003078902
8,14:19:46,27.50000055,0,-2.760191453,0.029218207,539.0045935,0.707602564,2.282448624,30.16361618,6,1.420000017,1,2.840000033,30.03405762,30.16361618,29.99626732,400.030304,404.973999,19.54112244,20.92571449,44.15372467,47.28347015,300.2164307,0.06276764,4.870716095,96.44617462,0.844627917,0.005763787,0.115405627,0.001106181,0.097086586,0.001858782,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500360718,0.000707603,303.3136162,303.1840576,0.010042822,-0.369747613,4.300653738,44.59123189,23.6655174,30.0988369,4.284696734,0.028920669,2.018205114,2.266491619,0.018101916,51.98493114,1.330960987,45.6891798,406.2860618,-0.003103992
9,14:19:48,29.5000005,0,-2.779080356,0.029192191,540.0973382,0.707131891,2.282936969,30.16471672,6,1.420000017,1,2.840000033,30.03436279,30.16471672,29.99561691,399.9298401,404.9118042,19.53982162,20.9235096,44.15008926,47.27816391,300.2134399,0.046597615,4.923122406,96.44597626,0.844627917,0.005763787,0.115405627,0.001106181,0.097086586,0.001858782,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500355733,0.000707132,303.3147167,303.1843628,0.007455618,-0.36964997,4.300925279,44.59413908,23.67062949,30.09953976,4.28486959,0.028895179,2.01798831,2.266881281,0.018085939,52.09021506,1.333864147,45.68047705,406.2328459,-0.003125048
10,14:19:50,31.50000046,0,-2.778788531,0.029169463,540.1240169,0.706755226,2.283475863,30.16607857,6,1.420000017,1,2.840000033,30.03455353,30.16607857,29.99526024,399.8576355,404.8394775,19.5384655,20.9214344,44.1467247,47.27319717,300.2101746,0.048373509,4.984286785,96.44584656,0.844627917,0.005763787,0.115405627,0.001106181,0.097086586,0.001858782,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500350291,0.000706755,303.3160786,303.1845535,0.007739761,-0.369617576,4.301261315,44.59768324,23.67624884,30.10031605,4.285060514,0.028872911,2.017785452,2.267275062,0.018071981,52.09271805,1.334168348,45.67142789,406.1603805,-0.003124658
