OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat Jan 23 2016 10:34:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""10:34:00 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:34:01 Log Option: Logged values are 15 s averages""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:34:01 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:34:02 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:34:02 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:34:02 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10:34:04,28.50000019,0,-1.360744435,0.02727651,471.790587,0.420755705,1.451553751,30.30761909,6,1.420000017,1,2.840000033,29.85682487,30.30761909,29.98826408,399.8067932,402.1889038,28.98021889,29.79633713,66.37983704,68.26687622,300.1173401,0.070783913,0.598750174,96.8158493,0.724870622,0.153205499,0.02319916,0.001274852,0.023856871,0.001902831,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500195567,0.000420756,303.4576191,303.0068249,0.011325426,-0.270441786,4.336311437,44.78927229,14.99293516,30.08222198,4.280612325,0.027017028,2.884757685,1.39585464,0.016908765,45.67680638,1.173057194,65.55967809,402.8357365,-0.002214549
2,10:34:06,30.50000015,0,-1.367802469,0.02732773,472.0434294,0.421498063,1.451416623,30.30736732,6,1.420000017,1,2.840000033,29.85635757,30.30736732,29.9889183,399.781189,402.1766357,28.97958565,29.79707909,66.3875885,68.27059174,300.1408691,0.052656766,0.567804873,96.81594086,0.724870622,0.153205499,0.02319916,0.001274852,0.023856871,0.001902831,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500234782,0.000421498,303.4573673,303.0063576,0.008425082,-0.270873142,4.33624887,44.78858369,14.9915046,30.08186245,4.280523978,0.027067277,2.884832247,1.395691732,0.016940257,45.70132874,1.173721662,65.563049,402.8268235,-0.0022262
3,10:34:08,32.5000001,0,-1.392132192,0.027348918,473.3909846,0.421817556,1.451404694,30.30771065,6,1.420000017,1,2.840000033,29.85638237,30.30771065,29.98995018,399.7240601,402.1676636,28.97997093,29.79800606,66.39143372,68.27275848,300.1691895,0.033749197,0.613434196,96.81619263,0.724870622,0.153205499,0.02319916,0.001274852,0.023856871,0.001902831,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500281982,0.000421818,303.4577106,303.0063824,0.005399871,-0.271109502,4.336334188,44.78934846,14.9913424,30.08204651,4.280569206,0.027088063,2.884929494,1.395639712,0.016953284,45.83191275,1.177098577,65.5642338,402.8294165,-0.002265825
