OPEN 6.2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Jan 19 2016 13:39:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#1.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""13:40:30 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:40:47 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:40:49 Lamp: ParIn ->  1200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:40:50 CO2 Mixer: CO2S -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:40:50 Coolers: Tblock -> 25.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:40:50 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13:40:52,100.0000025,0,9.835847039,0.133485672,267.6588416,2.277109508,1.66751119,28.88038635,6,1.420000017,1,2.840000033,26.21617889,28.88038635,24.94002914,412.6709595,399.7741394,21.4362793,24.10323906,60.53997421,68.07228088,499.9454041,1198.808472,1.50213933,96.5226593,-2.412660599,-0.336198747,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83324234,0.00227711,302.0303864,299.3661789,191.8093512,0.709087291,3.994019921,41.37909119,17.27585213,27.54828262,3.696048563,0.127493236,2.326508732,1.369539832,0.080200826,25.83514318,0.669525152,58.77427376,395.0986488,0.014631656
2,13:40:54,102.0000024,0,9.85625248,0.133442165,267.3565979,2.276769246,1.667771439,28.8824234,6,1.420000017,1,2.840000033,26.21723175,28.8824234,24.94013596,412.6831665,399.7619324,21.43889618,24.10547638,60.54344559,68.0745163,499.9407043,1198.781128,1.491820455,96.52245331,-2.412660599,-0.336198747,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833234507,0.002276769,302.0324234,299.3672318,191.8049762,0.709068993,3.994491158,41.38406164,17.27858526,27.54982758,3.696382584,0.127453546,2.326719718,1.369662865,0.080175697,25.80591474,0.668789538,58.771947,395.076742,0.014662244
3,13:40:56,104.5000024,0,9.864147335,0.13343517,267.2378454,2.276785859,1.667857556,28.88376808,6,1.420000017,1,2.840000033,26.21871376,28.88376808,24.94019318,412.6770935,399.7464905,21.44129562,24.10787392,60.54509354,68.07536316,499.9434814,1198.75293,1.493823647,96.52218628,-2.412660599,-0.336198747,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833239136,0.002276786,302.0337681,299.3687138,191.8004645,0.709019642,3.994802253,41.38739918,17.27952526,27.55124092,3.696688173,0.127447165,2.326944697,1.369743476,0.080171657,25.7943811,0.668518303,58.77280975,395.0575473,0.014674917
4,13:40:58,106.5000023,0,9.864409606,0.133427674,267.2250941,2.276722687,1.667897167,28.88469124,6,1.420000017,1,2.840000033,26.22007561,28.88469124,24.94052696,412.6743164,399.7436829,21.44322968,24.10967827,60.54552078,68.07521057,499.9530029,1198.73645,1.514474392,96.52217865,-2.412660599,-0.336198747,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833255005,0.002276723,302.0346912,299.3700756,191.7978277,0.709076869,3.99501584,41.38961527,17.279937,27.55238342,3.696935218,0.127440327,2.327118673,1.369816545,0.080167327,25.79314828,0.6684911,58.77384522,395.054615,0.014675674
5,13:41:00,108.5000023,0,9.88420918,0.13341664,266.9649686,2.276693324,1.668004186,28.88596535,6,1.420000017,1,2.840000033,26.2213459,28.88596535,24.94079971,412.6914978,399.7371826,21.4452095,24.11160851,60.54632187,68.07544708,499.9548645,1198.721313,1.54544878,96.52223969,-2.412660599,-0.336198747,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833258108,0.002276693,302.0359653,299.3713459,191.7954059,0.709057137,3.995310641,41.39264334,17.28103483,27.55365562,3.697210325,0.127430261,2.327306455,1.36990387,0.080160954,25.76805669,0.667851229,58.77398347,395.038703,0.014705758
6,13:41:02,110.5000022,0,9.905979548,0.133448342,266.7170739,2.277102422,1.667922361,28.8864193,6,1.420000017,1,2.840000033,26.22220612,28.8864193,24.94058418,412.709259,399.7285461,21.44665718,24.11355019,60.54742813,68.07688904,499.9510803,1198.710938,1.590125561,96.5222168,-2.412660599,-0.336198747,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833251801,0.002277102,302.0364193,299.3722061,191.7937457,0.708878216,3.99541568,41.39374138,17.2801912,27.55431271,3.697352423,0.127459181,2.327493319,1.369859104,0.080179265,25.74412323,0.667245501,58.77746433,395.0197179,0.014739729
7,13:41:04,112.5000022,0,9.909597893,0.133482846,266.7020021,2.277624401,1.667890508,28.88700485,6,1.420000017,1,2.840000033,26.2226963,28.88700485,24.94016647,412.7127991,399.727478,21.44777489,24.11527824,60.54896164,68.07918549,499.9503784,1198.696167,1.612475753,96.52223969,-2.412660599,-0.336198747,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833250631,0.002277624,302.0370049,299.3726963,191.7913824,0.708563391,3.995551174,41.39513533,17.27985709,27.55485058,3.697468744,0.127490658,2.327660667,1.369808077,0.080199194,25.74267457,0.667209578,58.78006127,395.0169298,0.014745869
8,13:41:06,114.5000021,0,9.900670278,0.133559042,266.8904911,2.278500229,1.667623518,28.88646126,6,1.420000017,1,2.840000033,26.222929,28.88646126,24.93992043,412.7131958,399.7382202,21.4482193,24.11672783,60.54917908,68.08164215,499.9534912,1198.69043,1.62180686,96.52229309,-2.412660599,-0.336198747,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833255819,0.0022785,302.0364613,299.372929,191.7904645,0.708205727,3.995425389,41.39380926,17.27708143,27.55469513,3.697435126,0.127560164,2.327801872,1.369633254,0.080243202,25.76088221,0.66766318,58.7864156,395.0319157,0.014733618
9,13:41:08,116.5000021,0,9.909156041,0.133582377,266.8013113,2.278705863,1.667498474,28.88619614,6,1.420000017,1,2.840000033,26.22282028,28.88619614,24.93979645,412.7172852,399.7319641,21.44858551,24.11734962,60.55046463,68.08357239,499.9504089,1198.708008,1.632374167,96.52244568,-2.412660599,-0.336198747,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833250682,0.002278706,302.0361961,299.3728203,191.793277,0.708154551,3.995364043,41.39310825,17.27575863,27.55450821,3.697394702,0.12758145,2.327865569,1.369529133,0.080256679,25.75231508,0.66745053,58.78919825,395.0216259,0.014747328
10,13:41:10,118.500002,0,9.932081884,0.133628915,266.5536316,2.279278196,1.667366983,28.88595009,6,1.420000017,1,2.840000033,26.22231865,28.88595009,24.93971252,412.7373047,399.7240906,21.44859886,24.11805725,60.5521431,68.08688354,499.9455566,1198.705322,1.63647294,96.52270508,-2.412660599,-0.336198747,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833242594,0.002279278,302.0359501,299.3723186,191.7928473,0.707818385,3.995307111,41.39240718,17.27434993,27.55413437,3.697313856,0.1276239,2.327940127,1.369373729,0.080283556,25.72847757,0.66684405,58.7925055,395.0028545,0.014782981
11,13:41:13,121.000002,0,9.93977815,0.133741115,266.5603863,2.280672289,1.66705202,28.88541794,6,1.420000017,1,2.840000033,26.22198486,28.88541794,24.93955994,412.7484436,399.7251282,21.44888306,24.12000847,60.55414581,68.09266663,499.9381409,1198.68396,1.610544086,96.52285004,-2.412660599,-0.336198747,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833230235,0.002280672,302.0354179,299.3719849,191.7894293,0.707083139,3.99518398,41.39106935,17.27106089,27.5537014,3.697220224,0.127726238,2.32813196,1.369088264,0.080348352,25.72916819,0.666859218,58.80056124,395.0002337,0.014796562
