OPEN 6.2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Jan 19 2016 14:22:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#1.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""14:26:47 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:28:50 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:29:11 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:29:13 Lamp: ParIn ->  0 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:29:14 CO2 Mixer: CO2S -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:29:14 Coolers: Tblock -> 25.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:29:14 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14:29:16,437.5000064,0,-0.161859737,0.171037395,394.6187198,1.786575067,1.035296307,26.48567963,6,1.420000017,1,2.840000033,26.07450485,26.48567963,24.93775177,401.1115112,400.0091553,21.79890442,25.2716198,62.02924728,71.91230011,300.8755798,0.033685599,1.117309093,96.43867493,-4.335268021,-0.681375444,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.5014593,0.001786575,299.6356796,299.2245049,0.005389696,-0.987689943,3.472457833,36.00690113,10.73528133,26.28009224,3.430589759,0.161321876,2.437161526,0.993428233,0.101656247,38.05650644,0.98652422,70.99021908,400.0860956,-0.0002872
2,14:29:18,439.5000064,0,-0.174701943,0.170930702,394.7382527,1.785659783,1.035375075,26.48491859,6,1.420000017,1,2.840000033,26.07426643,26.48491859,24.93785095,401.0788879,400.0028992,21.79831123,25.26923943,62.02824783,71.90701294,300.8770142,0.038495772,1.114337444,96.43847656,-4.335268021,-0.681375444,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.50146169,0.00178566,299.6349186,299.2242664,0.006159323,-0.987132885,3.472302029,36.00535962,10.73612019,26.27959251,3.430488529,0.161226957,2.436926954,0.993561575,0.101595942,38.06795573,0.986838479,70.98574076,400.0859441,-0.000309967
3,14:29:20,441.5000063,0,-0.181279932,0.170841698,394.7918352,1.784757947,1.03536153,26.48369598,6,1.420000017,1,2.840000033,26.07390976,26.48369598,24.93781281,401.0532532,399.9911499,21.79766655,25.26682854,62.02766418,71.90216064,300.8789063,0.052092947,1.133016944,96.43830872,-4.335268021,-0.681375444,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501464844,0.001784758,299.633696,299.2239098,0.008334871,-0.986519721,3.472051741,36.00282696,10.73599842,26.27880287,3.430328576,0.161147769,2.436690211,0.993638365,0.101545632,38.07305688,0.987001426,70.98324506,400.0773217,-0.000321634
4,14:29:22,443.5000063,0,-0.173765628,0.170772258,394.7043057,1.783948994,1.035290688,26.48218727,6,1.420000017,1,2.840000033,26.073246,26.48218727,24.93745804,401.0519714,399.9755859,21.79680443,25.26439667,62.02727127,71.89820099,300.879425,0.060827084,1.154499888,96.43817139,-4.335268021,-0.681375444,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501465708,0.001783949,299.6321873,299.223246,0.009732333,-0.985967275,3.471742904,35.99967579,10.73527912,26.27771664,3.430108554,0.161085984,2.436452216,0.993656338,0.101506379,38.06456148,0.986820995,70.9820637,400.0581858,-0.000308311
