OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Jan 19 2016 11:56:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""11:56:19 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:56:21 Lamp: ParIn ->  1200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:56:22 CO2 Mixer: CO2S -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:56:22 Coolers: Tblock -> 25.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:56:22 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11:56:24,13.50000509,0,4.911892747,0.169905624,346.3744225,1.300374565,0.759814745,25.40549469,6,1.420000017,1,2.840000033,26.22664452,25.40549469,25.16081429,406.3175049,399.8018799,24.34842873,25.86792564,68.77381897,73.06271362,500.1931458,1199.102051,0.181346789,96.55003357,-0.115325071,0.082150191,0.047654375,0.001667629,0.04270447,0.001699568,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833655243,0.001300375,298.5554947,299.3766445,191.8563238,1.635549183,3.257363835,33.7375733,7.869647655,25.8160696,3.337707879,0.160314652,2.497549089,0.84015879,0.101016357,33.44246212,0.866365167,77.31457764,397.4670013,0.009554527
2,11:56:26,15.50000504,0,4.909899752,0.170172164,346.4729356,1.301206863,0.759175815,25.4027462,6,1.420000017,1,2.840000033,26.22756004,25.4027462,25.1542244,406.3190613,399.8048096,24.34853172,25.86914253,68.75980377,73.0512085,500.1460266,1199.149902,0.216602296,96.54962158,-0.115325071,0.082150191,0.047654375,0.001667629,0.04270447,0.001699568,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833576711,0.001301207,298.5527462,299.37756,191.8639801,1.635703392,3.256831737,33.73220613,7.863063595,25.81515312,3.337526626,0.160551928,2.497655922,0.839870703,0.101167092,33.45183082,0.866605222,77.33200651,397.4708784,0.00955271
3,11:56:28,17.500005,0,4.905359945,0.170713402,346.6812655,1.301462744,0.757060418,25.39214134,6,1.420000017,1,2.840000033,26.2291317,25.39214134,25.14168549,406.3191528,399.8098755,24.34885406,25.86984253,68.75073242,73.04307556,500.119812,1199.139526,0.256053388,96.54944611,-0.115325071,0.082150191,0.047654375,0.001667629,0.04270447,0.001699568,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83353302,0.001301463,298.5421413,299.3791317,191.8623199,1.637167007,3.254779385,33.71101044,7.841167909,25.81063652,3.336633499,0.161033615,2.497718967,0.838914532,0.101473107,33.47188416,0.867115313,77.38522076,397.4781023,0.009550271
4,11:56:30,19.50000495,0,4.905629433,0.171491097,346.9158972,1.301481332,0.753844782,25.37576485,6,1.420000017,1,2.840000033,26.23033142,25.37576485,25.12403488,406.3293152,399.8196411,24.34933853,25.87035942,68.74456787,73.03701019,500.1160278,1199.124756,0.24171187,96.5493927,-0.115325071,0.082150191,0.047654375,0.001667629,0.04270447,0.001699568,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833526713,0.001301481,298.5257648,299.3803314,191.8599566,1.639456693,3.251612273,33.67822606,7.807866635,25.80304813,3.335133418,0.161725437,2.497767491,0.837365927,0.101912648,33.4945192,0.867680978,77.46553986,397.4877398,0.009560477
