OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Jan 19 2016 12:11:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""12:11:28 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:11:30 Lamp: ParIn ->  0 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:11:30 CO2 Mixer: CO2S -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:11:30 Coolers: Tblock -> 25.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:11:30 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12:11:33,12.50000001,0,-0.945743592,0.154401714,403.4277768,1.601568968,1.022343032,26.94517136,6,1.420000017,1,2.840000033,26.08388138,26.94517136,25.14905357,399.7841797,400.1498718,24.49630737,26.36670303,69.92285156,75.09294128,500.2174377,-0.135535702,0.270987988,96.53490448,-0.071712404,0.078383654,0.023419157,0.004833255,0.014369821,0.005515259,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83369573,0.001601569,300.0951714,299.2338814,-0.021685712,-0.914256388,3.567650191,36.95710075,10.59039772,26.51452637,3.478368048,0.146440227,2.545307159,0.933060889,0.092208615,38.9448619,1.008191693,71.93302325,400.599433,-0.00169821
2,12:11:35,14.49999997,0,-0.927980341,0.153790517,403.2511664,1.59949527,1.024855891,26.9563942,6,1.420000017,1,2.840000033,26.08615112,26.9563942,25.1445713,399.7981262,400.1435242,24.49704361,26.36504745,69.84748077,75.07016754,500.2102661,-0.120339662,0.277893722,96.53491211,-0.071712404,0.078383654,0.023419157,0.004833255,0.014369821,0.005515259,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833683777,0.001599495,300.1063942,299.2361511,-0.019254345,-0.914363244,3.57000343,36.98147491,10.61642745,26.52127266,3.479751517,0.145890324,2.545147539,0.934603978,0.091859783,38.9278159,1.007766319,71.87651244,400.5846416,-0.001665066
3,12:11:37,16.49999992,0,-0.902388698,0.153383221,402.995107,1.598206354,1.026600486,26.96409416,6,1.420000017,1,2.840000033,26.08810806,26.96409416,25.13411903,399.8357544,400.151062,24.49721527,26.36373138,69.81224823,75.05506897,500.2062378,-0.111304499,0.284089178,96.53482819,-0.071712404,0.078383654,0.023419157,0.004833255,0.014369821,0.005515259,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833677063,0.001598206,300.1140942,299.2381081,-0.017808719,-0.91445377,3.571618766,36.99824025,10.63450887,26.52610111,3.480741987,0.145523749,2.54501828,0.935723708,0.091627257,38.90306342,1.007107428,71.83732328,400.5800144,-0.001618283
4,12:11:39,18.99999987,0,-0.88725262,0.153020191,402.8735019,1.5963474,1.027709085,26.96844292,6,1.420000017,1,2.840000033,26.0890522,26.96844292,25.11323357,399.8815918,400.1795959,24.49729538,26.3617363,69.78742981,75.04183197,500.1815491,-0.077390626,0.268394768,96.53469849,-0.071712404,0.078383654,0.023419157,0.004833255,0.014369821,0.005515259,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833635915,0.001596347,300.1184429,299.2390522,-0.0123825,-0.913908274,3.57253135,37.0077434,10.6460071,26.52874756,3.481284963,0.14519693,2.544822265,0.936462698,0.091419955,38.89127203,1.006731742,71.8105849,400.6013533,-0.001590462
5,12:11:41,20.99999982,0,-0.889583535,0.152740232,402.9340931,1.594545287,1.028331285,26.97046089,6,1.420000017,1,2.840000033,26.08872986,26.97046089,25.09451675,399.9010925,400.2027283,24.49729156,26.35972214,69.77800751,75.03582001,500.1572266,-0.048870847,0.272601694,96.53453827,-0.071712404,0.078383654,0.023419157,0.004833255,0.014369821,0.005515259,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833595378,0.001594545,300.1204609,299.2387299,-0.007819335,-0.913261792,3.572954891,37.01219227,10.65247013,26.52959538,3.481458926,0.144944841,2.544623605,0.936835321,0.09126006,38.89705663,1.006824953,71.7941882,400.6255937,-0.00159418
