OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Jan 19 2016 12:42:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""12:42:58 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:43:01 Lamp: ParIn ->  0 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:43:01 CO2 Mixer: CO2S -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:43:01 Coolers: Tblock -> 25.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:43:01 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12:43:03,15.00000002,0,-0.245475676,0.043277318,394.8736574,0.627068428,1.374385576,27.70642662,6,1.420000017,1,2.840000033,26.14387131,27.70642662,25.15989685,394.9572754,394.9546509,23.68739319,24.42122269,67.24516296,69.27250671,500.1881104,0.127284527,0.141473889,96.47309113,0.174561396,0.075805023,0.032900922,0.002320956,0.04643701,0.003142462,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833646851,0.000627068,300.8564266,299.2938713,0.020365524,-0.519054491,3.730376417,38.66753282,14.24631013,26.92514896,3.563455197,0.042627736,2.355990842,1.207464356,0.026699944,38.09468233,0.99979493,62.52789145,395.0713383,-0.000388514
2,12:43:05,17.49999997,0,-0.191361678,0.042951788,392.9261619,0.623926364,1.377680668,27.72077751,6,1.420000017,1,2.840000033,26.14472008,27.72077751,25.14915848,395.0462952,394.9802246,23.68939781,24.41958618,67.2046814,69.24829865,500.1643677,0.127741486,0.153911814,96.4727478,0.174561396,0.075805023,0.032900922,0.002320956,0.04643701,0.003142462,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833607279,0.000623926,300.8707775,299.2947201,0.020438637,-0.519270829,3.733505247,38.70010269,14.28051651,26.93274879,3.565046969,0.042311869,2.355824579,1.20922239,0.026501676,37.90666652,0.994799581,62.46469321,395.0711888,-0.000302562
3,12:43:07,19.49999992,0,0.078582989,0.042725209,382.935865,0.621531721,1.379550834,27.72850609,6,1.420000017,1,2.840000033,26.14528084,27.72850609,25.13264847,395.476532,395.087677,23.69028091,24.41769028,67.19280243,69.23671722,500.1492004,0.133179188,0.213619307,96.4726944,0.174561396,0.075805023,0.032900922,0.002320956,0.04643701,0.003142462,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833582001,0.000621532,300.8785061,299.2952808,0.02130867,-0.519013589,3.735191206,38.71760014,14.29990986,26.93689346,3.565915325,0.042091974,2.355640372,1.210274953,0.026363652,36.94285468,0.969242746,62.42744981,395.0503224,0.00012418
4,12:43:09,21.49999988,0,0.399459538,0.042580453,371.0835806,0.619823595,1.380363585,27.73168945,6,1.420000017,1,2.840000033,26.14507866,27.73168945,25.11251068,396.0990906,395.3259277,23.69104004,24.41645432,67.18756866,69.2305069,500.1470642,0.129834294,0.2615695,96.47274017,0.174561396,0.075805023,0.032900922,0.002320956,0.04643701,0.003142462,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83357844,0.000619824,300.8816895,299.2950787,0.020773487,-0.518613943,3.735885838,38.72478206,14.30832774,26.93838406,3.566227666,0.04195147,2.355522253,1.210705413,0.026275463,35.79944986,0.938677569,62.41030148,395.1360438,0.000630932
