OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Jan 19 2016 12:45:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""12:45:46 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:45:49 Lamp: ParIn ->  1200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:45:49 CO2 Mixer: CO2S -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:45:49 Coolers: Tblock -> 25.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:45:49 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12:45:51,11.50000211,0,3.213062895,0.04970786,284.7351872,0.892947972,1.70400982,29.30670166,6,1.420000017,1,2.840000033,26.12772751,29.30670166,24.90389633,403.9730225,399.6908264,23.72748566,24.77204895,67.30970001,70.26441193,500.2058716,1198.112061,0.58357358,96.46734619,0.174561396,0.075805023,0.032900922,0.002320956,0.04643701,0.003142462,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833676453,0.000892948,302.4567017,299.2777275,191.6979254,1.299862788,4.093703642,42.43615901,17.66411006,27.71721458,3.732728232,0.048852801,2.389693822,1.34303441,0.030608688,27.46764788,0.712388597,57.66836743,398.1634902,0.004653669
2,12:45:53,13.50000207,0,3.244296763,0.049671631,283.6061174,0.89347162,1.706199786,29.31674385,6,1.420000017,1,2.840000033,26.12712097,29.31674385,24.90331459,403.9746094,399.6543579,23.72880554,24.77407074,67.31964111,70.27864075,500.1620789,1198.182739,0.546329498,96.46690369,0.174561396,0.075805023,0.032900922,0.002320956,0.04643701,0.003142462,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833603465,0.000893472,302.4667439,299.277121,191.709234,1.298279667,4.096077682,42.46096356,17.68689282,27.72193241,3.733757142,0.048817807,2.389877896,1.343879246,0.030586708,27.35860401,0.709628487,57.63741088,398.1121746,0.004696989
3,12:45:55,15.50000202,0,3.279414623,0.049689125,282.4783409,0.894273325,1.707125231,29.32117462,6,1.420000017,1,2.840000033,26.12572861,29.32117462,24.90575981,403.9890137,399.6261292,23.72915649,24.77539444,67.3266449,70.2894516,500.1447449,1198.40271,0.486102432,96.46669006,0.174561396,0.075805023,0.032900922,0.002320956,0.04643701,0.003142462,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833574575,0.000894273,302.4711746,299.2757286,191.7444293,1.297491263,4.097125527,42.47191984,17.6965254,27.72345161,3.734088517,0.048834704,2.390000297,1.34408822,0.030597321,27.24975056,0.706856535,57.62526083,398.0672525,0.004747367
4,12:45:57,18.00000197,0,3.326569976,0.049835989,281.2577082,0.896003258,1.705482242,29.3148613,6,1.420000017,1,2.840000033,26.12441826,29.3148613,24.91534996,404.0233765,399.6031189,23.7287426,24.77700233,67.33242798,70.30105591,500.144928,1198.661865,0.42433095,96.46648407,0.174561396,0.075805023,0.032900922,0.002320956,0.04643701,0.003142462,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83357488,0.000896003,302.4648613,299.2744183,191.7858942,1.297788401,4.095632543,42.45653382,17.67953148,27.71963978,3.733257111,0.048976554,2.390150301,1.34310681,0.030686418,27.13194222,0.703842625,57.65306564,398.0218268,0.004818504
