OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Jan 19 2016 15:42:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""15:42:19 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:42:21 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:42:21 CO2 Mixer: CO2S -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:42:21 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:42:21 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15:42:23,34.50000023,0,-1.004215103,0.013992761,502.9766049,0.230430276,1.533883047,30.37513733,6,1.420000017,1,2.840000033,30.26640892,30.37513733,29.99346161,397.7842407,399.6063843,28.83668518,29.28352928,64.20046997,65.19735718,300.3496704,-0.035387203,0.372249961,96.27376556,0.450721055,0.028646778,0.028857034,0.005845532,0.023865245,0.006360743,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500582784,0.00023043,303.5251373,303.4164089,-0.005661952,-0.129531167,4.35311868,45.21604254,15.93251326,30.32077312,4.339581413,0.013924156,2.819235633,1.52034578,0.008708735,48.42345175,1.258680103,63.57969412,400.08374,-0.001595858
2,15:42:25,36.50000019,0,-0.990226346,0.014012075,501.2305509,0.230734964,1.533814736,30.37489128,6,1.420000017,1,2.840000033,30.2666111,30.37489128,29.99353027,397.8048401,399.598877,28.83596611,29.28342056,64.18927002,65.18605804,300.3366089,-0.072634615,0.272394687,96.27436066,0.450721055,0.028646778,0.028857034,0.005845532,0.023865245,0.006360743,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500561015,0.000230735,303.5248913,303.4166111,-0.011621538,-0.129689191,4.353057328,45.2151258,15.93170524,30.32075119,4.339575959,0.013943282,2.819242593,1.520333366,0.008720706,48.25565083,1.254334233,63.58106867,400.0695831,-0.001573717
3,15:42:27,38.50000015,0,-0.968420612,0.01402187,498.6787394,0.230891178,1.533791711,30.3745575,6,1.420000017,1,2.840000033,30.26666451,30.3745575,29.99350739,397.84021,399.5906677,28.83493423,29.28271866,64.18328857,65.18043518,300.3186951,-0.031523682,0.236210808,96.27461243,0.450721055,0.028646778,0.028857034,0.005845532,0.023865245,0.006360743,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500531158,0.000230891,303.5245575,303.4166645,-0.005043789,-0.129640114,4.352974101,45.21414308,15.93142442,30.320611,4.339541097,0.01395298,2.81918239,1.520358708,0.008726776,48.01010236,1.247973938,63.5810759,400.0510085,-0.001539134
4,15:42:29,40.5000001,0,-0.943617705,0.014026241,495.8365477,0.230958852,1.533765611,30.37382126,6,1.420000017,1,2.840000033,30.26622772,30.37382126,29.99298286,397.8853455,399.5863342,28.83317947,29.28113174,64.17904663,65.17651367,300.2946472,0.01141634,0.215257585,96.27445221,0.450721055,0.028646778,0.028857034,0.005845532,0.023865245,0.006360743,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500491079,0.000230959,303.5238213,303.4162277,0.001826614,-0.129555597,4.35279053,45.21231157,15.93117983,30.32002449,4.339395252,0.013957308,2.819024919,1.520370333,0.008729485,47.73639202,1.240874638,63.5802802,400.0348849,-0.001499756
