OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Feb 14 2016 08:52:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""08:52:48 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""08:52:52 Log Option: Logged values are 15 s averages""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""08:52:52 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""08:52:53 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""08:52:53 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""08:52:53 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,08:52:55,57.50000124,0,-1.707549049,0.230189738,406.42036,2.62014635,1.148467685,28.690588,6,1.420000017,1,2.840000033,29.41585922,28.690588,30.00839806,400.2873535,401.5963135,23.89016724,28.97220802,55.97592545,68.28430176,300.3795166,-0.324309796,0.217716411,96.70846558,-2.139868498,0.427981585,0.07505624,0.015738642,0.016323499,0.012186701,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500632528,0.002620146,301.840588,302.5658592,-0.051889566,-1.210047066,3.950325467,40.84777319,11.87556516,29.05322361,4.034175713,0.212931093,2.801857782,1.232317931,0.134531886,39.3042894,1.012012178,72.13421988,402.4080005,-0.003060891
2,08:52:57,59.5000012,0,-1.653623696,0.229946391,406.043223,2.61664874,1.148060987,28.68728638,6,1.420000017,1,2.840000033,29.41613388,28.68728638,30.00898933,400.3973389,401.6015015,23.89281082,28.96866989,56.02022934,68.17655945,300.3449707,-0.264605135,0.141008168,96.70820618,-2.139868498,0.427981585,0.07505624,0.015738642,0.016323499,0.012186701,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500574951,0.002616649,301.8372864,302.5661339,-0.042336821,-1.207719937,3.949569088,40.8400615,11.87139161,29.05171013,4.033822559,0.212722852,2.801508101,1.232314459,0.134398885,39.26771173,1.011060022,72.136707,402.387555,-0.00296448
3,08:52:59,61.50000115,0,-1.572697328,0.22981303,405.4805882,2.612536423,1.146884572,28.67943573,6,1.420000017,1,2.840000033,29.4158802,28.67943573,30.00857735,400.5755005,401.6212769,23.8939743,28.96229935,56.03950882,68.12412262,300.3206787,-0.220490739,0.115587205,96.70801544,-2.139868498,0.427981585,0.07505624,0.015738642,0.016323499,0.012186701,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500534465,0.002612536,301.8294357,302.5658802,-0.035278517,-1.204583284,3.947771065,40.82154976,11.85925042,29.04765797,4.032877166,0.212608716,2.800886492,1.231990674,0.134325989,39.21322299,1.00960933,72.15173026,402.3688618,-0.00282012
