OPEN 6.2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Feb 14 2016 11:14:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#1.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""11:14:21 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:14:23 Lamp: ParIn ->  1200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:14:23 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:14:23 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:14:23 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11:14:25,33.00000367,0,6.148880642,0.052648458,192.6876168,0.961272289,1.724980783,32.33496475,6,1.420000017,1,2.840000033,30.39305115,32.33496475,30.00780106,399.0134583,391.1836243,31.34941292,32.4654808,69.62467957,72.09134674,500.0040588,1199.614014,3.834506035,96.76076508,-1.336857557,0.342222571,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833340098,0.000961272,305.4849648,303.5430511,191.9382379,1.476635026,4.866365544,50.29275596,17.82727515,31.36400795,4.605861925,0.051690215,3.141384761,1.464477164,0.032391131,18.64460123,0.492575877,63.69592878,388.2607409,0.010087517
2,11:14:27,35.00000362,0,6.162002503,0.052560308,191.9733724,0.96059018,1.726583545,32.34083176,6,1.420000017,1,2.840000033,30.39408875,32.34083176,30.00829697,399.0310974,391.1861267,31.35028076,32.46551514,69.61806488,72.08804321,500.0226746,1199.616211,3.779486656,96.76095581,-1.336857557,0.342222571,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833371124,0.00096059,305.4908318,303.5440887,191.9385895,1.476281056,4.86797782,50.30931928,17.84380415,31.36746025,4.606766206,0.051605242,3.141394276,1.465371931,0.032337744,18.57552701,0.490746883,63.67281053,388.2570058,0.010105472
3,11:14:29,37.00000358,0,6.229080147,0.05245699,189.5511517,0.960022019,1.728881114,32.34884644,6,1.420000017,1,2.840000033,30.39409065,32.34884644,30.00785828,399.1123657,391.1873169,31.34995651,32.46451187,69.61565399,72.08583069,500.0318909,1199.604736,3.752955914,96.76103973,-1.336857557,0.342222571,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833386485,0.000960022,305.4988464,303.5440907,191.9367535,1.475382165,4.870181037,50.33204532,17.86753345,31.37146854,4.607816316,0.051505641,3.141299923,1.466516393,0.032275168,18.34116652,0.484553419,63.63921501,388.2263105,0.010210894
4,11:14:31,39.00000353,0,6.306007145,0.052408389,187.045969,0.959933558,1.730283549,32.35357285,6,1.420000017,1,2.840000033,30.39378357,32.35357285,30.00728416,399.2315063,391.2141724,31.3490181,32.46347046,69.61415863,72.08457947,500.0325623,1199.618286,3.752639771,96.7609787,-1.336857557,0.342222571,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833387604,0.000959934,305.5035728,303.5437836,191.9389215,1.474719072,4.871480723,50.34550899,17.88203853,31.37367821,4.608395302,0.051458786,3.141197174,1.467198129,0.03224573,18.09875102,0.478116546,63.61858155,388.2165986,0.010333902
5,11:14:34,41.50000348,0,6.346250858,0.052455328,186.0554577,0.960576321,1.729923748,32.35229492,6,1.420000017,1,2.840000033,30.39399338,32.35229492,30.00681877,399.3488464,391.2827759,31.34835434,32.46356201,69.61103058,72.08345032,500.0284424,1199.652222,3.781953573,96.76096344,-1.336857557,0.342222571,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833380737,0.000960576,305.5022949,303.5439934,191.9443512,1.474666789,4.871129285,50.3418849,17.87832289,31.37314415,4.60825536,0.051504039,3.141205537,1.467049823,0.032274161,18.00290534,0.475501272,63.62417991,388.2660722,0.010399441
6,11:14:36,43.50000343,0,6.358727773,0.052508537,185.9229789,0.961015974,1.729001332,32.34915161,6,1.420000017,1,2.840000033,30.39410019,32.34915161,30.00643539,399.415863,391.3345032,31.34843254,32.4641571,69.61000824,72.08379364,500.025238,1199.65686,3.806576252,96.7609787,-1.336857557,0.342222571,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833375397,0.000961016,305.4991516,303.5441002,191.9450934,1.474922678,4.870264946,50.33294425,17.86878714,31.3716259,4.607857545,0.051555335,3.141263614,1.466593931,0.032306389,17.9900894,0.475099889,63.63795086,388.3118685,0.010420913
7,11:14:38,45.50000339,0,6.365988746,0.052538511,185.8584864,0.961378381,1.728686067,32.34815979,6,1.420000017,1,2.840000033,30.39406586,32.34815979,30.00624847,399.4726257,391.3822632,31.34845352,32.46460724,69.60990143,72.08470917,500.0212402,1199.653442,3.817126274,96.76094818,-1.336857557,0.342222571,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833368734,0.000961378,305.4981598,303.5440659,191.9445465,1.474868965,4.869992246,50.33014183,17.86553459,31.37111282,4.607723114,0.05158423,3.141306179,1.466416936,0.032324543,17.98384337,0.474877131,63.64296669,388.356177,0.010432444
8,11:14:40,47.50000334,0,6.391946976,0.05253735,185.128631,0.961550694,1.729031315,32.34941864,6,1.420000017,1,2.840000033,30.39446831,32.34941864,30.00616837,399.5733337,391.4516602,31.34824181,32.46459579,69.60675049,72.08333588,500.0211487,1199.66272,3.815998793,96.76100922,-1.336857557,0.342222571,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833368581,0.000961551,305.4994186,303.5444683,191.9460309,1.474670136,4.870338368,50.33368717,17.86909137,31.37194347,4.607940754,0.051583111,3.141307053,1.466633701,0.03232384,17.91323317,0.472928461,63.63820827,388.4132347,0.010472662
9,11:14:42,49.5000033,0,6.412962153,0.052557486,184.638428,0.961928006,1.729060669,32.34953308,6,1.420000017,1,2.840000033,30.39477348,32.34953308,30.00585556,399.6780396,391.5307922,31.34778023,32.46458435,69.60410309,72.08172607,500.0157471,1199.678223,3.817726374,96.7611084,-1.336857557,0.342222571,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833359578,0.000961928,305.4995331,303.5447735,191.9485113,1.4745305,4.870369834,50.33396077,17.86937642,31.37215328,4.607995727,0.051602522,3.141309165,1.466686562,0.032336035,17.86581895,0.471580861,63.63807403,388.4823772,0.010505201
10,11:14:44,51.50000325,0,6.408656725,0.052615293,185.0650278,0.962587046,1.728385849,32.34727478,6,1.420000017,1,2.840000033,30.39487267,32.34727478,30.0056057,399.7567444,391.6140747,31.34751701,32.46511078,69.60288239,72.08207703,500.0045166,1199.691895,3.839615107,96.76119995,-1.336857557,0.342222571,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833340861,0.000962587,305.4972748,303.5448727,191.9506988,1.474559434,4.869748924,50.32749621,17.86238543,31.37107372,4.60771287,0.051658246,3.141363076,1.466349794,0.032371046,17.90711416,0.472569909,63.64847003,388.5677062,0.010497558
11,11:14:46,53.50000321,0,6.383433796,0.052677719,186.1324191,0.963219429,1.727516177,32.34446716,6,1.420000017,1,2.840000033,30.39525604,32.34446716,30.00561905,399.797699,391.6847839,31.34776115,32.46610641,69.60178375,72.08268738,499.9962769,1199.698608,3.867087364,96.76124573,-1.336857557,0.342222571,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833327128,0.000963219,305.4944672,303.545256,191.9517731,1.474709547,4.868977077,50.31949559,17.85338917,31.3698616,4.607395298,0.05171842,3.141460901,1.465934397,0.032408852,18.01040474,0.475209727,63.66191834,388.6504052,0.010456226
12,11:14:48,55.50000316,0,6.360456082,0.05267264,186.8556983,0.963096914,1.727459367,32.3444252,6,1.420000017,1,2.840000033,30.39557457,32.3444252,30.0056572,399.814209,391.7288208,31.3483696,32.46657944,69.60137939,72.08242798,499.992981,1199.68457,3.889685392,96.76123047,-1.336857557,0.342222571,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833321635,0.000963097,305.4944252,303.5455746,191.949527,1.474797719,4.868965542,50.31938431,17.85280487,31.36999989,4.607431526,0.051713524,3.141506175,1.465925351,0.032405776,18.08038728,0.477002682,63.66295659,388.7053646,0.010417285
13,11:14:50,58.00000311,0,6.33794022,0.052654046,187.5049545,0.963337113,1.728479152,32.34811401,6,1.420000017,1,2.840000033,30.39592171,32.34811401,30.00585175,399.8251648,391.7666016,31.34803963,32.46653366,69.59976959,72.08142853,499.9906311,1199.672852,3.926646948,96.76119232,-1.336857557,0.342222571,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833317719,0.000963337,305.498114,303.5459217,191.947652,1.474161402,4.86997966,50.32988477,17.86335111,31.37201786,4.607960244,0.051695602,3.141500508,1.466459737,0.032394516,18.14320296,0.478613934,63.6486448,388.7538483,0.01037678
14,11:14:52,60.00000306,0,6.330168699,0.05269885,187.9188092,0.96418754,1.728557875,32.34844589,6,1.420000017,1,2.840000033,30.39618492,32.34844589,30.00583076,399.8334351,391.7838135,31.34722519,32.46670151,69.59702301,72.08046722,499.9928284,1199.680542,3.955147266,96.76107788,-1.336857557,0.342222571,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833321381,0.000964188,305.4984459,303.5461849,191.9488824,1.473724721,4.870070908,50.33088732,17.86418581,31.37231541,4.608038207,0.051738789,3.141513033,1.466525174,0.03242165,18.18322654,0.479649242,63.64821118,388.7747544,0.010363428
15,11:14:54,62.00000302,0,6.335912842,0.052762257,187.9812534,0.964799037,1.727618319,32.34505463,6,1.420000017,1,2.840000033,30.39587212,32.34505463,30.00540352,399.8454285,391.7885132,31.34664154,32.46684265,69.59607697,72.08112335,499.986145,1199.668335,3.976960182,96.76087952,-1.336857557,0.342222571,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833310242,0.000964799,305.4950546,303.5458721,191.9469293,1.473837047,4.869138569,50.32135501,17.85451236,31.37046337,4.607552957,0.051799905,3.14152025,1.466032707,0.032460048,18.18923141,0.479802871,63.66198785,388.7767237,0.010375025
16,11:14:56,64.00000297,0,6.341747334,0.052825363,188.0432518,0.965537169,1.726915449,32.3425293,6,1.420000017,1,2.840000033,30.39529228,32.3425293,30.00504303,399.8624573,391.7980347,31.34591293,32.46699142,69.59622192,72.08298492,499.9769897,1199.654907,3.985792637,96.76070404,-1.336857557,0.342222571,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833294983,0.000965537,305.4925293,303.5452923,191.9447809,1.473717273,4.868444398,50.31427216,17.84728074,31.36891079,4.607146201,0.051860728,3.141528948,1.465617252,0.032498263,18.19519743,0.479949451,63.67251641,388.7834717,0.010386116
17,11:14:58,66.00000293,0,6.342419742,0.052910895,188.3508331,0.966567432,1.726018688,32.33934021,6,1.420000017,1,2.840000033,30.39508247,32.33934021,30.00510216,399.8818054,391.8160706,31.3449955,32.4672699,69.59526825,72.08441925,499.9769897,1199.670166,3.946394444,96.76049805,-1.336857557,0.342222571,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833294983,0.000966567,305.4893402,303.5450825,191.9472223,1.473649545,4.867567893,50.30532078,17.83805088,31.36721134,4.606701003,0.051943163,3.141549206,1.465151797,0.032550056,18.22492042,0.480712373,63.68608061,388.801188,0.010388956
18,11:15:00,68.00000288,0,6.334545124,0.053003157,188.9482178,0.967545361,1.724818805,32.33509445,6,1.420000017,1,2.840000033,30.39498138,32.33509445,30.00508881,399.8980103,391.8412781,31.34428596,32.46768951,69.59397125,72.08525085,499.9795837,1199.668701,3.897459507,96.76026917,-1.336857557,0.342222571,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833299306,0.000967545,305.4850945,303.5449814,191.9469879,1.473747286,4.866401181,50.29338202,17.8256925,31.36503792,4.606131694,0.052032078,3.141582377,1.464549318,0.032605922,18.28268041,0.482206006,63.70400058,388.8301387,0.010378204
19,11:15:02,70.00000284,0,6.324895948,0.053140283,189.7551824,0.969192883,1.723388262,32.33016586,6,1.420000017,1,2.840000033,30.3946991,32.33016586,30.00491905,399.910675,391.8646851,31.34320831,32.46852875,69.5927124,72.08727264,499.9773865,1199.652954,3.891274452,96.76012421,-1.336857557,0.342222571,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833295644,0.000969193,305.4801659,303.5446991,191.9444684,1.473546094,4.865047136,50.27946353,17.81093478,31.36243248,4.605449304,0.052164219,3.141658874,1.46379043,0.032688947,18.36073501,0.484236497,63.7259773,388.8581324,0.010365224
20,11:15:05,72.50000278,0,6.315223514,0.053333898,190.7610309,0.971396379,1.721167369,32.32248306,6,1.420000017,1,2.840000033,30.39434052,32.32248306,30.0048275,399.9238281,391.8883362,31.34183121,32.46971512,69.59091187,72.09082031,499.9745483,1199.651978,3.856472731,96.76000214,-1.336857557,0.342222571,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833290914,0.000971396,305.4724831,303.5443405,191.9443121,1.473476749,4.862937073,50.25771978,17.78800466,31.35841179,4.604396418,0.052350774,3.141769704,1.462626714,0.032806163,18.45803776,0.486773944,63.75981744,388.8863814,0.010354117
21,11:15:07,74.50000274,0,6.298078324,0.053446406,191.6939685,0.972681652,1.719893696,32.31817627,6,1.420000017,1,2.840000033,30.39418221,32.31817627,30.00488091,399.9240723,391.9085388,31.3412838,32.47065735,69.59008789,72.09319305,499.9752502,1199.661377,3.793968439,96.76000214,-1.336857557,0.342222571,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833292084,0.000972682,305.4681763,303.5441822,191.945816,1.473436655,4.861754571,50.24549879,17.77484144,31.35617924,4.603811877,0.052459169,3.141860874,1.461951003,0.032874271,18.5483088,0.489129349,63.77944888,388.914734,0.010328433
22,11:15:09,76.50000269,0,6.275402594,0.053530765,192.6832962,0.974120441,1.719773832,32.31814575,6,1.420000017,1,2.840000033,30.39442444,32.31814575,30.00531197,399.9152222,391.9263,31.34075737,32.4717865,69.58854675,72.09498596,499.9812927,1199.676758,3.747800827,96.7600708,-1.336857557,0.342222571,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833302155,0.00097412,305.4681458,303.5444244,191.948277,1.472760104,4.861746192,50.24537655,17.77359005,31.3562851,4.603839592,0.052540438,3.141972361,1.461867231,0.032925335,18.64404938,0.491631453,63.78294768,388.9432742,0.010291055
23,11:15:11,78.50000265,0,6.253926064,0.053586774,193.5247138,0.97527374,1.720037526,32.3194046,6,1.420000017,1,2.840000033,30.3945961,32.3194046,30.00574112,399.8976135,391.93396,31.34031105,32.47267151,69.58705902,72.09646606,499.9842529,1199.685059,3.759684801,96.75995636,-1.336857557,0.342222571,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833307088,0.000975274,305.4694046,303.5445961,191.9496051,1.472019531,4.862091804,50.24900783,17.77633632,31.35700035,4.604026859,0.052594392,3.142054278,1.461972581,0.032959237,18.72544287,0.493768679,63.78058505,388.961143,0.010254985
24,11:15:13,80.5000026,0,6.241592582,0.053628712,194.0310706,0.976088122,1.720147949,32.31991959,6,1.420000017,1,2.840000033,30.39446068,32.31991959,30.00600815,399.877594,391.9283447,31.33973694,32.47304535,69.58599091,72.09780884,499.9830017,1199.669922,3.810901642,96.75979614,-1.336857557,0.342222571,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833305003,0.000976088,305.4699196,303.5444607,191.9471832,1.471475556,4.862233197,50.25055231,17.77750696,31.35719013,4.604076548,0.052634791,3.142085248,1.4619913,0.032984621,18.77440684,0.495067716,63.77980188,388.9613905,0.010234629
25,11:15:15,82.50000256,0,6.243885004,0.053669589,194.0859936,0.977005478,1.720475249,32.32118607,6,1.420000017,1,2.840000033,30.39428902,32.32118607,30.00632095,399.8655396,391.9131165,31.33886147,32.47323608,69.58479309,72.09906006,499.9824219,1199.6521,3.875933647,96.75985718,-1.336857557,0.342222571,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833304036,0.000977005,305.4711861,303.544289,191.9443316,1.470758352,4.862580934,50.25411442,17.78087834,31.35773754,4.604219875,0.052674166,3.142105686,1.46211419,0.033009362,18.77973302,0.495227093,63.77594164,388.9450726,0.010238197
26,11:15:17,84.50000251,0,6.251617778,0.053699762,193.9442858,0.977805388,1.720931338,32.32290268,6,1.420000017,1,2.840000033,30.39441109,32.32290268,30.00657463,399.8630371,391.9009705,31.33806229,32.47336578,69.58282471,72.09945679,499.9822998,1199.646118,3.922707796,96.7599411,-1.336857557,0.342222571,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833303833,0.000977805,305.4729027,303.5444111,191.9433746,1.470099843,4.863052299,50.25894232,17.78557654,31.35865688,4.604460594,0.05270323,3.142120961,1.462339634,0.033027625,18.76603767,0.494880851,63.77013496,388.9292508,0.010250361
