OPEN 6.2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat Feb 13 2016 09:26:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#1.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""09:26:12 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:26:13 Lamp: ParIn ->  1200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:26:13 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:26:13 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:26:13 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,09:26:15,9.000001475,0,2.906528473,0.023212742,185.3712974,0.455036733,1.843520281,31.19223213,6,1.420000017,1,2.840000033,30.03698349,31.19223213,30.01208687,400.0031128,396.2993774,27.50830841,28.03897095,62.43741608,63.64302826,500.066925,1199.648438,13.99637413,96.92018127,-4.402301788,-0.183308333,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833444875,0.000455037,304.3422321,303.1869835,191.9437457,1.854963497,4.561062428,47.05998655,19.02101561,30.61460781,4.413188362,0.023024551,2.717542147,1.695646215,0.014407135,17.96621975,0.467755712,58.34489696,394.917753,0.004294087
2,09:26:17,11.00000143,0,2.914434946,0.023265411,185.2644596,0.455809858,1.842509003,31.18917656,6,1.420000017,1,2.840000033,30.0368824,31.18917656,30.01218414,399.9933777,396.27948,27.50964737,28.04125595,62.44326782,63.64981842,500.0239563,1199.548462,13.96879005,96.92005157,-4.402301788,-0.183308333,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83337326,0.00045581,304.3391766,303.1868824,191.9277496,1.854804813,4.560268976,47.05186287,19.01060692,30.61302948,4.412790095,0.023076368,2.717759973,1.695030122,0.014439596,17.95584098,0.467509596,58.36139576,394.8940972,0.004307243
3,09:26:19,13.00000139,0,2.916020392,0.023329799,185.6938219,0.457066879,1.842519459,31.18993759,6,1.420000017,1,2.840000033,30.03767014,31.18993759,30.01174545,399.9884644,396.2719116,27.5102253,28.04332161,62.44353485,63.6521759,500.0025635,1199.494629,13.94382572,96.91958618,-4.402301788,-0.183308333,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833337606,0.000457067,304.3399376,303.1876701,191.9191363,1.854053057,4.560466584,47.0541277,19.01080609,30.61380386,4.412985495,0.023139713,2.717947126,1.695038369,0.01447928,17.99736838,0.468602029,58.36380634,394.8857752,0.004309855
4,09:26:21,15.00000134,0,2.924918241,0.023390337,185.5909865,0.458453347,1.843348889,31.19378281,6,1.420000017,1,2.840000033,30.03875542,31.19378281,30.01150322,399.9948425,396.2669067,27.51040459,28.04512405,62.4413147,63.65317154,499.9959717,1199.493774,13.962183,96.91938782,-4.402301788,-0.183308333,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833326619,0.000458453,304.3437828,303.1887554,191.9189996,1.852927689,4.561465143,47.06452698,19.01940293,30.61626911,4.413607598,0.023199267,2.718116255,1.695491344,0.014516588,17.9873648,0.468348437,58.35479861,394.8765407,0.00432244
