OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat Feb 13 2016 09:00:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""09:00:19 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:00:22 Log Option: Logged values are 15 s averages""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:00:22 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:00:22 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:00:22 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:00:22 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,09:00:24,56.50000026,0,-0.603640285,0.054988395,406.9371731,1.023612821,1.771260722,30.19874001,6,1.420000017,1,2.840000033,29.66480064,30.19874001,30.00349998,400.9325562,401.3179626,24.23622513,26.22827911,56.0657959,60.69462967,300.2223511,0.047101472,0.194152802,96.76832581,-2.037838936,0.742206454,0.010361766,0.003108111,0.022428676,0.002637141,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500370585,0.001023613,303.34874,302.8148006,0.007536235,-0.581816049,4.30932738,44.53241641,18.3041373,29.93177032,4.243781315,0.053943927,2.538066659,1.705714656,0.033807263,39.37862895,1.014001891,58.19883259,401.6049043,-0.000874769
2,09:00:26,58.50000021,0,-0.590617489,0.057038459,406.3682891,1.023254137,1.70878208,29.94460297,6,1.420000017,1,2.840000033,29.66547585,29.94460297,30.00355148,400.9470215,401.3067322,24.23742867,26.22889328,56.08608246,60.70829391,300.20578,-0.024981014,0.182491302,96.76847076,-2.037838936,0.742206454,0.010361766,0.003108111,0.022428676,0.002637141,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500342967,0.001023254,303.094603,302.8154758,-0.003996962,-0.547397147,4.246911973,43.88735235,17.65845907,29.80503941,4.212971825,0.055915455,2.538129893,1.674841933,0.035046348,39.3236379,1.012612689,59.12325115,401.5874834,-0.00086953
3,09:00:28,60.50000017,0,-0.571823745,0.058590692,405.7378639,1.022418444,1.663451882,29.75848579,6,1.420000017,1,2.840000033,29.66620636,29.75848579,30.00376511,400.9893494,401.3121643,24.24016762,26.23004532,56.09718323,60.71384048,300.1994629,-0.046745364,0.154597819,96.76885223,-2.037838936,0.742206454,0.010361766,0.003108111,0.022428676,0.002637141,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500332438,0.001022418,302.9084858,302.8162064,-0.007479258,-0.52185695,4.201703262,43.41999688,17.18995156,29.71234608,4.190560815,0.057406369,2.53825138,1.652309435,0.035983538,39.2627874,1.011028072,59.81071711,401.5839819,-0.000851657
