OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat Feb 13 2016 09:35:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""09:35:24 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:35:26 Lamp: ParIn ->  1200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:35:26 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:35:26 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:35:26 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,09:35:28,14.50000061,0,2.659762065,0.02971068,243.2847267,0.510585495,1.621149007,29.87044907,6,1.420000017,1,2.840000033,29.92617607,29.87044907,30.00247955,400.113678,396.6802979,26.34995651,26.9459095,60.10586548,61.46172714,500.2011719,1199.022705,0.364219844,96.77536011,-1.951483488,0.753450572,0.020685142,0.00390445,0.016629087,0.002815994,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83366862,0.000510585,303.0204491,303.0761761,191.8436285,1.91987607,4.228849102,43.69758064,16.75167114,29.89831257,4.2356284,0.02940308,2.607700095,1.627928305,0.018404316,23.54396704,0.613301765,60.67230591,395.4159743,0.004081117
2,09:35:30,16.50000057,0,2.627144909,0.029680176,244.895352,0.51022399,1.621632821,29.87288094,6,1.420000017,1,2.840000033,29.92656517,29.87288094,30.00260162,400.0835266,396.6893005,26.35162735,26.9471817,60.10828018,61.46464157,500.1809387,1199.051514,0.34764123,96.77478027,-1.951483488,0.753450572,0.020685142,0.00390445,0.016629087,0.002815994,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833634898,0.000510224,303.0228809,303.0765652,191.8482379,1.919825331,4.229440409,43.70395259,16.75677089,29.89972305,4.235971828,0.029373203,2.607807588,1.62816424,0.018385587,23.69969388,0.617348014,60.66549498,395.4404817,0.004030367
3,09:35:32,18.50000053,0,2.61918669,0.029608109,244.9846967,0.509077506,1.621874171,29.87408829,6,1.420000017,1,2.840000033,29.92725754,29.87408829,30.00223351,400.0764771,396.6921692,26.35362434,26.94787025,60.11008072,61.46498871,500.1555176,1199.12207,0.323037028,96.77424622,-1.951483488,0.753450572,0.020685142,0.00390445,0.016629087,0.002815994,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833592529,0.000509078,303.0240883,303.0772575,191.859527,1.920451039,4.229734002,43.70722756,16.75935731,29.90067291,4.236203116,0.029302618,2.607859831,1.628343285,0.01834134,23.70820936,0.617568774,60.66130272,395.4471333,0.004017813
4,09:35:35,21.00000047,0,2.591945222,0.029572108,246.2904882,0.508429623,1.621752226,29.87397194,6,1.420000017,1,2.840000033,29.9277935,29.87397194,30.00160599,400.0522766,396.7008667,26.35547638,26.94898033,60.11198044,61.46550751,500.1428833,1199.182373,0.293068051,96.77373505,-1.951483488,0.753450572,0.020685142,0.00390445,0.016629087,0.002815994,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833571472,0.00050843,303.0239719,303.0777935,191.8691754,1.920971354,4.229705708,43.70716607,16.75818573,29.90088272,4.236254205,0.029267356,2.607953482,1.628300723,0.018319236,23.83445045,0.620846862,60.6634825,395.4687801,0.00397595
