OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat Feb 13 2016 17:36:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""17:36:03 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""17:36:05 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""17:36:05 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""17:36:05 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""17:36:05 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,17:36:08,18.50000032,0,-1.233590103,0.047355969,432.7928371,0.798097481,1.590912342,30.3585434,6,1.420000017,1,2.840000033,29.81082344,30.3585434,29.99749756,400.1092224,401.9337769,27.05994225,28.60956955,61.90467072,65.44886017,300.174469,0.058186099,0.22984454,96.40377045,-1.320704222,0.785310507,0.03226012,0.000857246,0.035328198,0.001594248,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500290782,0.000798097,303.5085434,302.9608234,0.009309776,-0.471404432,4.348982717,45.11216415,16.5025946,30.08468342,4.281217199,0.046579276,2.758070375,1.523146824,0.029180846,41.72286132,1.076776479,62.64166166,402.5201665,-0.001919758
2,17:36:10,20.50000028,0,-1.209957851,0.0473328,431.9901595,0.797807292,1.591104295,30.35944366,6,1.420000017,1,2.840000033,29.8109951,30.35944366,29.99839211,400.1334839,401.9110107,27.06077385,28.60978508,61.90388489,65.44741821,300.1846008,0.050171439,0.175782621,96.4041748,-1.320704222,0.785310507,0.03226012,0.000857246,0.035328198,0.001594248,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500307668,0.000797807,303.5094437,302.9609951,0.00802743,-0.4713731,4.349207017,45.1143016,16.50451652,30.08521938,4.281348918,0.046556861,2.758102722,1.523246196,0.029166771,41.64565485,1.07484032,62.63873562,402.4861668,-0.001883052
3,17:36:12,22.50000023,0,-1.203870984,0.047335373,431.7792971,0.797912063,1.591232078,30.36050224,6,1.420000017,1,2.840000033,29.8114357,30.36050224,29.9991188,400.1437683,401.9090271,27.06187439,28.61106873,61.90393829,65.44753265,300.1881409,0.025984682,0.125942647,96.40460205,-1.320704222,0.785310507,0.03226012,0.000857246,0.035328198,0.001594248,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500313568,0.000797912,303.5105022,302.9614357,0.004157549,-0.471552609,4.349470773,45.11683758,16.50576885,30.08596897,4.281533142,0.04655935,2.758238695,1.523294447,0.029168334,41.62551131,1.074320973,62.63796011,402.4812897,-0.001873578
4,17:36:14,24.50000019,0,-1.21009444,0.047333441,431.9911096,0.797910979,1.591297407,30.36131668,6,1.420000017,1,2.840000033,29.81197166,30.36131668,29.99934387,400.1314392,401.9091492,27.06318283,28.61238289,61.90464783,65.4480896,300.1862183,-0.005484684,0.113049462,96.40498352,-1.320704222,0.785310507,0.03226012,0.000857246,0.035328198,0.001594248,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500310364,0.000797911,303.5113167,302.9619717,-0.000877549,-0.471646642,4.349673708,45.11876408,16.50638119,30.08664417,4.28169909,0.046557481,2.758376301,1.523322789,0.02916716,41.6460958,1.074847663,62.63808155,402.4843701,-0.001883253
