OPEN 6.2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Feb 14 2016 14:20:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#1.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""14:20:44 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:20:45 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:20:46 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:20:46 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:20:46 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14:20:48,10.50000082,0,-1.603556412,0.062836784,434.279274,0.853662247,1.287327517,30.7591362,6,1.420000017,1,2.840000033,30.48898315,30.7591362,30.00258255,399.4140625,401.9351196,31.11567688,32.76717377,68.53211212,72.18267822,299.9788208,-0.075770877,0.110059202,96.51315308,-0.765476942,0.439966559,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499964701,0.000853662,303.9091362,303.6389832,-0.01212334,-0.480961475,4.449790775,46.10553726,13.33836349,30.62405968,4.415574044,0.061476576,3.162463258,1.253110787,0.038542794,41.91366205,1.080471083,70.53414561,402.6973735,-0.002808697
2,14:20:50,12.50000077,0,-1.602238746,0.062921515,434.2058588,0.854901649,1.287500355,30.76039314,6,1.420000017,1,2.840000033,30.48973083,30.76039314,30.00340843,399.4341125,401.9513855,31.114748,32.7685585,68.5308075,72.18029785,299.9936523,-0.063033812,0.081935339,96.5135498,-0.765476942,0.439966559,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499989421,0.000854902,303.9103931,303.6397308,-0.01008541,-0.481651754,4.450110258,46.10865797,13.34009947,30.62506199,4.415827097,0.061557676,3.162609903,1.253217194,0.038593798,41.90674878,1.080244712,70.53309621,402.7130131,-0.002806238
3,14:20:52,15.00000072,0,-1.574670514,0.062965498,433.4905282,0.855628396,1.28771812,30.76181984,6,1.420000017,1,2.840000033,30.49042511,30.76181984,30.00391197,399.5108337,401.972168,31.11478615,32.76987839,68.52973175,72.17945099,300.0157471,-0.053770509,0.060406566,96.51408386,-0.765476942,0.439966559,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500026245,0.000855628,303.9118198,303.6404251,-0.008603281,-0.482114439,4.450472911,46.11216035,13.34228196,30.62612247,4.416094851,0.061599773,3.162754791,1.25334006,0.038620274,41.83794119,1.07840931,70.53088632,402.7206909,-0.002757815
4,14:20:54,17.00000067,0,-1.542089776,0.062968725,432.6743139,0.855693909,1.287756024,30.7621479,6,1.420000017,1,2.840000033,30.49070168,30.7621479,30.00369644,399.5969543,401.9930115,31.11503601,32.77023315,68.5298996,72.17919159,300.0195923,-0.046575945,0.062870584,96.51442719,-0.765476942,0.439966559,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500032654,0.000855694,303.9121479,303.6407017,-0.007452151,-0.48214207,4.450556306,46.11286038,13.34262723,30.62642479,4.416171182,0.061602862,3.162800282,1.253370901,0.038622216,41.75931356,1.076322975,70.53058768,402.7260471,-0.002700707
