OPEN 6.2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri Feb 12 2016 09:35:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#1.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""09:35:55 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:35:59 Log AvgTime changed to 15 s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:35:59 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:35:59 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:35:59 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:35:59 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,09:36:02,99.5000043,0,-0.234354384,0.074579137,396.8020504,0.880359416,1.132488193,28.76810074,6,1.420000017,1,2.840000033,29.86470032,28.76810074,30.01023102,399.5831604,399.3487244,27.55877686,29.26799202,63.09478378,67.04021454,299.9949036,-0.045088038,0.60949564,96.88506317,-7.360041618,-0.596772671,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499991506,0.000880359,301.9181007,303.0147003,-0.007214086,-0.30354463,3.968119449,40.9569785,11.68898648,29.31640053,4.095996499,0.072670784,2.835631256,1.260365243,0.045586923,38.44419172,0.993622932,71.17862159,399.4601252,-0.000417589
2,09:36:04,101.5000043,0,-0.236995926,0.074563415,396.8773116,0.879913158,1.132144051,28.76664352,6,1.420000017,1,2.840000033,29.86587715,28.76664352,30.01136589,399.5923462,399.3635254,27.55986404,29.26819992,63.11761475,67.05081177,299.9971008,-0.035745449,0.592938006,96.8846817,-7.360041618,-0.596772671,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499995168,0.000879913,301.9166435,303.0158772,-0.005719272,-0.302925711,3.967784285,40.95368034,11.68548042,29.31626034,4.095963349,0.072655856,2.835640233,1.260323116,0.045577524,38.45133201,0.99377456,71.18483673,399.4761819,-0.000422316
3,09:36:06,103.5000042,0,-0.241779776,0.074540525,397.0060921,0.879512198,1.13196731,28.76603317,6,1.420000017,1,2.840000033,29.86680412,28.76603317,30.0124073,399.6049805,399.3860168,27.56108856,29.26857758,63.12685776,67.05371857,300.0090027,-0.014980771,0.584864199,96.88467407,-7.360041618,-0.596772671,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500015004,0.000879512,301.9160332,303.0168041,-0.002396923,-0.302462113,3.967643909,40.95223467,11.6836571,29.31641865,4.096000783,0.072634121,2.835676599,1.260324184,0.04556384,38.46380584,0.994041041,71.18810546,399.5009474,-0.000430834
4,09:36:08,105.5000042,0,-0.244629025,0.074522801,397.0803869,0.879139761,1.131751818,28.76530838,6,1.420000017,1,2.840000033,29.86708832,28.76530838,30.01226234,399.6088562,399.395874,27.56231689,29.26905823,63.13351059,67.05651093,300.0131836,-0.006722692,0.583389103,96.88475037,-7.360041618,-0.596772671,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500021973,0.00087914,301.9153084,303.0170883,-0.001075631,-0.302111805,3.967477218,40.95048192,11.68142369,29.31619835,4.095948691,0.072617293,2.8357254,1.260223291,0.045553244,38.47103416,0.994202526,71.19222388,399.5121589,-0.000435924
