OPEN 6.2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri Feb 12 2016 10:00:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#1.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""10:00:41 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:00:45 Log AvgTime changed to 15 s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:00:45 Lamp: ParIn ->  1200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:00:45 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:00:45 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:00:45 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10:00:47,69.00000617,0,13.73350231,0.135628872,207.9400661,1.956067547,1.406590037,30.83495522,6,1.420000017,1,2.840000033,30.04334831,30.83495522,30.01204491,401.0654907,383.6828918,29.34789085,31.62118149,66.52679443,71.5680542,499.9486694,1199.463379,17.15682602,96.84988403,-6.218560219,-0.424782991,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833247782,0.001956068,303.9849552,303.1933483,191.9141363,1.129436675,4.469097797,46.14458594,14.52340445,30.43915176,4.369106116,0.129446922,3.06250776,1.306598356,0.081437916,20.13897128,0.541958139,68.74561604,377.1546426,0.025032652
2,10:00:49,71.00000612,0,13.70547326,0.135932055,208.640665,1.958199332,1.40513957,30.8303318,6,1.420000017,1,2.840000033,30.04383087,30.8303318,30.01240921,401.0296936,383.6795654,29.34803581,31.62382317,66.533638,71.62211609,499.9430847,1199.485596,17.11747169,96.85036469,-6.218560219,-0.424782991,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833238475,0.001958199,303.9803318,303.1938309,191.917691,1.129106751,4.467918377,46.13217917,14.50835601,30.43708134,4.368588233,0.129723068,3.062778806,1.305809427,0.081612794,20.20692449,0.543788838,68.77294381,377.1646398,0.02499083
3,10:00:51,73.00000608,0,13.7629577,0.13619676,208.1394367,1.960977409,1.404526879,30.82932091,6,1.420000017,1,2.840000033,30.04450035,30.82932091,30.01236153,400.9772339,383.5571594,29.34838676,31.62738991,66.53588867,71.64828491,499.9440613,1199.503906,17.12100029,96.85066223,-6.218560219,-0.424782991,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833240102,0.001960977,303.9793209,303.1945004,191.9206207,1.127941301,4.467660536,46.1293752,14.50198529,30.43691063,4.368545536,0.129964122,3.063133657,1.305411879,0.081765453,20.15844228,0.54265559,68.78752243,377.0149085,0.025110937
