OPEN 6.2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat Feb 13 2016 15:32:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#1.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""15:32:41 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:32:42 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:32:42 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:32:42 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:32:42 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15:32:44,10.50000053,0,-0.17078895,0.0232982,403.5903619,0.322400421,1.299045624,29.04645729,6,1.420000017,1,2.840000033,29.73945999,29.04645729,30.01017761,400.6629944,400.7459412,27.70377159,28.32857513,63.70226288,65.13865662,300.8311462,-0.093120009,0.337195724,96.49449158,-1.908557892,0.281886339,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501385244,0.0003224,302.1964573,302.88946,-0.014899201,-0.070251783,4.032597078,41.79095628,13.46238114,29.39295864,4.114134519,0.023108627,2.733551455,1.380583064,0.014459805,38.94424678,1.007097816,66.88758033,400.827126,-0.000285002
2,15:32:46,12.50000048,0,-0.222609499,0.023339233,407.15789,0.322923684,1.298881304,29.0459137,6,1.420000017,1,2.840000033,29.73996353,29.0459137,30.01061249,400.6099243,400.7957764,27.70323563,28.32905579,63.69670868,65.13485718,300.8297729,-0.142947108,0.189412519,96.49417877,-1.908557892,0.281886339,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501382955,0.000322924,302.1959137,302.8899635,-0.022871537,-0.070470428,4.032470277,41.78977767,13.46072188,29.39293861,4.114129765,0.023148994,2.733588973,1.380540791,0.014485094,39.28836623,1.015873704,66.89121418,400.9015943,-0.000371428
3,15:32:48,14.50000044,0,-0.304375248,0.023361825,412.7540506,0.323178925,1.298663274,29.04450035,6,1.420000017,1,2.840000033,29.74030495,29.04450035,30.01070023,400.4797974,400.8284912,27.70162773,28.32791901,63.69165802,65.13051605,300.8414307,-0.147107989,0.183391005,96.49411011,-1.908557892,0.281886339,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501402384,0.000323179,302.1945004,302.8903049,-0.023537278,-0.07036484,4.03214061,41.78639095,13.45847195,29.39240265,4.114002542,0.023171218,2.733477336,1.380525206,0.014499016,39.82833481,1.029752275,66.89440408,400.9731766,-0.00050779
4,15:32:50,16.50000039,0,-0.372924449,0.023381266,417.4200276,0.323361896,1.298332611,29.04249191,6,1.420000017,1,2.840000033,29.74068069,29.04249191,30.01072121,400.352356,400.8375854,27.69984818,28.32645988,63.68637466,65.12602234,300.8582764,-0.137682274,0.167572051,96.49421692,-1.908557892,0.281886339,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501430461,0.000323362,302.1924919,302.8906807,-0.022029163,-0.070107936,4.031672176,41.78149017,13.45503028,29.3915863,4.113808772,0.023190344,2.733339565,1.380469207,0.014510998,40.27861869,1.041369479,66.89932168,401.0148559,-0.000622131
