OPEN 6.2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Feb 14 2016 09:01:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#1.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""09:01:28 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:01:31 Log AvgTime changed to 15 s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:01:31 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:01:31 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:01:31 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:01:31 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,09:01:33,36.00000049,0,-0.443117559,0.013036124,444.5931089,0.200112222,1.443332168,28.82793999,6,1.420000017,1,2.840000033,29.84621239,28.82793999,30.01394653,399.6846619,400.4107666,25.8201828,26.20998383,59.18533707,60.07946396,299.9488525,0.181729361,0.15825209,96.85514832,-2.125920057,0.302423835,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499914754,0.000200112,301.97794,302.9962124,0.029076697,0.039464061,3.981904039,41.11195025,14.90196642,29.33707619,4.100888056,0.012976559,2.538571871,1.562316186,0.00811568,43.0611315,1.110342543,62.66148438,400.6214035,-0.000693083
2,09:01:35,38.00000045,0,-0.434818334,0.013051192,443.52924,0.200349911,1.443387269,28.82869339,6,1.420000017,1,2.840000033,29.84696579,28.82869339,30.01470947,399.709259,400.4184875,25.82092476,26.21114349,59.19748688,60.09236526,299.9833069,0.15334636,0.128265232,96.85539246,-2.125920057,0.302423835,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499972178,0.00020035,301.9786934,302.9969658,0.024535417,0.039288041,3.982077859,41.11364125,14.90249776,29.33782959,4.101066397,0.01299149,2.53869059,1.562375807,0.008125024,42.9581986,1.107664241,62.66183098,400.6251794,-0.0006801
3,09:01:37,40.0000004,0,-0.415047764,0.013061744,441.0877834,0.200528049,1.443505884,28.82998848,6,1.420000017,1,2.840000033,29.84807968,28.82998848,30.01532364,399.7527771,400.4222412,25.82247353,26.21299362,59.20271683,60.09801102,300.0177612,0.101697989,0.142533183,96.8554306,-2.125920057,0.302423835,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500029602,0.000200528,301.9799885,302.9980797,0.016271678,0.039074244,3.982376669,41.11671017,14.90371655,29.33903408,4.101351529,0.013001945,2.538870785,1.562480745,0.008131567,42.7217472,1.101556652,62.66160747,400.619535,-0.000649184
