OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri Feb 12 2016 11:51:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""11:51:34 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:51:36 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:51:36 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:51:36 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:51:36 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11:51:38,18.50000191,0,-0.966995324,0.022815786,457.6999985,0.376984869,1.548735549,30.3752861,6,1.420000017,1,2.840000033,30.24503899,30.3752861,29.99642181,399.217041,400.8478394,28.31045914,29.042099,63.26966858,64.90483856,300.1775513,-0.127763093,0.09881603,96.56396484,0.002048071,0.140018404,0.019827554,0.003114155,0.020950079,0.00184512,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500295919,0.000376985,303.5252861,303.395039,-0.020442094,-0.205563414,4.353155776,45.080541,16.038442,30.31016254,4.336943548,0.022633951,2.804420227,1.532523322,0.014162445,44.19732656,1.141829776,63.34785776,401.3075026,-0.001526438
2,11:51:40,20.50000187,0,-0.928304094,0.022889572,454.8180268,0.378086281,1.548296822,30.37453079,6,1.420000017,1,2.840000033,30.24585533,30.37453079,29.99658775,399.3138428,400.866272,28.31090736,29.04461861,63.26881027,64.90753174,300.2038574,-0.152925596,0.088914819,96.56420898,0.002048071,0.140018404,0.019827554,0.003114155,0.020950079,0.00184512,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500339762,0.000378086,303.5245308,303.3958553,-0.024468095,-0.205943655,4.352967443,45.07847668,16.03385807,30.31019306,4.336951133,0.022706564,2.804670621,1.532280512,0.014207932,43.91914299,1.134587913,63.35759105,401.3075433,-0.001465587
3,11:51:42,22.50000182,0,-0.862465842,0.022907626,450.1889228,0.378282851,1.54789602,30.37317657,6,1.420000017,1,2.840000033,30.24640846,30.37317657,29.99625015,399.433197,400.8538513,28.31114578,29.04521751,63.26754761,64.90744781,300.2122498,-0.138454854,0.116488539,96.56439209,0.002048071,0.140018404,0.019827554,0.003114155,0.020950079,0.00184512,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.50035375,0.000378283,303.5231766,303.3964085,-0.022152776,-0.205756443,4.352629792,45.07489456,16.02967705,30.30979252,4.336851583,0.02272433,2.804733772,1.53211781,0.014219061,43.47221966,1.12307496,63.36452256,401.2638263,-0.00136194
4,11:51:44,24.50000178,0,-0.803091951,0.022895263,446.0861201,0.378022427,1.547663314,30.37206268,6,1.420000017,1,2.840000033,30.24636269,30.37206268,29.9954586,399.5377197,400.8399353,28.3111515,29.0447216,63.26763916,64.90681458,300.2108765,-0.11369177,0.09536285,96.56449127,0.002048071,0.140018404,0.019827554,0.003114155,0.020950079,0.00184512,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500351461,0.000378022,303.5220627,303.3963627,-0.018190683,-0.205437154,4.35235208,45.07197234,16.02725074,30.30921268,4.336707475,0.022712164,2.804688766,1.532018709,0.01421144,43.07607925,1.112878436,63.36759978,401.2216868,-0.001268376
5,11:51:46,26.50000173,0,-0.767349034,0.022882659,443.6437971,0.377782701,1.547529157,30.3712883,6,1.420000017,1,2.840000033,30.24635506,30.3712883,29.99489784,399.618866,400.849823,28.31100845,29.04410934,63.26749802,64.90587616,300.2127075,-0.099833004,0.079202771,96.5644989,0.002048071,0.140018404,0.019827554,0.003114155,0.020950079,0.00184512,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500354513,0.000377783,303.5212883,303.3963551,-0.01597328,-0.205188753,4.352159021,45.06996951,16.02586017,30.30882168,4.336610299,0.022699761,2.804629865,1.531980434,0.01420367,42.84024096,1.106758121,63.36903885,401.214584,-0.001211974
6,11:51:48,28.50000169,0,-0.746785819,0.022871632,442.265104,0.377549081,1.547313606,30.37030411,6,1.420000017,1,2.840000033,30.24640846,30.37030411,29.994627,399.6841125,400.874115,28.31117821,29.04380989,63.26728821,64.90494537,300.2192993,-0.090007879,0.081995226,96.56446838,0.002048071,0.140018404,0.019827554,0.003114155,0.020950079,0.00184512,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500365499,0.000377549,303.5203041,303.3964085,-0.01440126,-0.204913911,4.351913668,45.06744293,16.02363304,30.30835629,4.336494639,0.02268891,2.804600062,1.531894577,0.014196873,42.70709465,1.103251838,63.37198883,401.2291012,-0.001179508
7,11:51:51,31.00000163,0,-0.736653659,0.022871283,441.6009312,0.377461149,1.546976615,30.36911964,6,1.420000017,1,2.840000033,30.24626541,30.36911964,29.9942379,399.7423096,400.9120789,28.31183624,29.04428101,63.26873779,64.90587616,300.2258301,-0.087425709,0.07546223,96.56433868,0.002048071,0.140018404,0.019827554,0.003114155,0.020950079,0.00184512,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500376383,0.000377461,303.5191196,303.3962654,-0.013988113,-0.204724165,4.351618403,45.06444576,16.02016476,30.30769253,4.336329685,0.022688566,2.804641788,1.531687897,0.014196657,42.64290188,1.101490712,63.37752491,401.2622487,-0.001163511
8,11:51:53,33.00000159,0,-0.710855265,0.022899168,439.7866022,0.377815437,1.546557841,30.36782646,6,1.420000017,1,2.840000033,30.24632645,30.36782646,29.99361992,399.8309937,400.9488525,28.3122139,29.0453186,63.26915741,64.90726471,300.2367859,-0.078477196,0.069514215,96.56420898,0.002048071,0.140018404,0.019827554,0.003114155,0.020950079,0.00184512,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500394643,0.000377815,303.5178265,303.3963264,-0.012556351,-0.204700552,4.351296057,45.06116814,16.01584953,30.30707645,4.336176587,0.022716007,2.804738216,1.531438371,0.014213847,42.46764536,1.096864599,63.38512573,401.2867591,-0.001122829
9,11:51:55,35.00000154,0,-0.686389426,0.022890579,438.1414762,0.377606495,1.546277415,30.36665344,6,1.420000017,1,2.840000033,30.24624252,30.36665344,29.99274826,399.9144897,400.9835815,28.31256104,29.04524994,63.26964951,64.907547,300.2410583,-0.059616134,0.077493697,96.56402588,0.002048071,0.140018404,0.019827554,0.003114155,0.020950079,0.00184512,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500401764,0.000377606,303.5166534,303.3962425,-0.009538581,-0.204414705,4.351003681,45.05822579,16.01297585,30.30644798,4.336020412,0.022707554,2.804726267,1.531294146,0.014208552,42.30870485,1.092666873,63.38925228,401.3098582,-0.001084192
10,11:51:57,37.0000015,0,-0.685149134,0.022870131,438.1458045,0.377239299,1.546141457,30.36607552,6,1.420000017,1,2.840000033,30.24596786,30.36607552,29.99214172,399.965271,401.032135,28.31326103,29.04523277,63.27141953,64.90815735,300.242981,-0.043485418,0.076036461,96.56380463,0.002048071,0.140018404,0.019827554,0.003114155,0.020950079,0.00184512,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500404968,0.000377239,303.5160755,303.3959679,-0.006957667,-0.204161689,4.350859639,45.05683735,16.01160458,30.30602169,4.335914482,0.022687432,2.804718183,1.531196299,0.014195947,42.30902586,1.092545375,63.39102462,401.3578221,-0.001082134
11,11:51:59,39.00000145,0,-0.706803095,0.022862477,439.7307954,0.377093737,1.546054735,30.36598778,6,1.420000017,1,2.840000033,30.24591255,30.36598778,29.99215698,399.9863586,401.0965271,28.31429482,29.04595947,63.27363205,64.9095459,300.2528687,-0.040550198,0.078359589,96.56362152,0.002048071,0.140018404,0.019827554,0.003114155,0.020950079,0.00184512,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500421448,0.000377094,303.5159878,303.3959126,-0.006488032,-0.204079545,4.350837772,45.05669634,16.01073686,30.30595016,4.335896709,0.0226799,2.804783037,1.531113671,0.014191229,42.4619981,1.096321623,63.392785,401.4325074,-0.001116158
