OPEN 6.2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri Feb 12 2016 10:48:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#1.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""10:48:01 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:48:05 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:48:05 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:48:05 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:48:05 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10:48:07,48.50000088,0,-1.286207629,0.021622242,488.4613435,0.295827323,1.284108793,30.12209511,6,1.420000017,1,2.840000033,30.21664238,30.12209511,30.00900841,400.1517944,402.4794312,30.48667717,31.05832291,68.42598724,69.7105484,300.8570557,0.697004735,0.60496521,96.79566956,-3.882042885,0.054938078,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501428426,0.000295827,303.2720951,303.3666424,0.111520755,-0.138781548,4.290419954,44.32450308,13.26618018,30.16936874,4.30207326,0.021458865,3.006311161,1.295762099,0.013426374,47.2809428,1.213630575,69.13305186,403.0908327,-0.002205941
2,10:48:09,50.50000084,0,-1.280816932,0.021662195,487.899179,0.296474949,1.284563826,30.12450409,6,1.420000017,1,2.840000033,30.21781921,30.12450409,30.01047134,400.1747131,402.4909668,30.48677444,31.0596447,68.4165802,69.7024231,300.8707886,0.678278923,0.644575417,96.79599762,-3.882042885,0.054938078,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501451314,0.000296475,303.2745041,303.3678192,0.108524625,-0.139326365,4.29101312,44.33048086,13.27083616,30.17116165,4.302515768,0.021498216,3.006449294,1.296066473,0.013451022,47.22668777,1.212199078,69.12669628,403.0998058,-0.002196445
3,10:48:11,52.50000079,0,-1.285881125,0.021712881,488.0557201,0.297222145,1.284817104,30.12631226,6,1.420000017,1,2.840000033,30.21908951,30.12631226,30.01109505,400.1708679,402.4964294,30.48727608,31.06154251,68.41086578,69.69884491,300.8951416,0.653230429,0.673471093,96.79626465,-3.882042885,0.054938078,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501491903,0.000297222,303.2763123,303.3690895,0.104516866,-0.139836673,4.291458394,44.33495868,13.27341617,30.17270088,4.302895697,0.021548137,3.006641289,1.296254408,0.013482291,47.24197065,1.212571552,69.12425754,403.1076757,-0.002205008
4,10:48:13,54.50000075,0,-1.290993899,0.021742444,488.3029177,0.297650936,1.284933799,30.12732315,6,1.420000017,1,2.840000033,30.22024155,30.12732315,30.01080894,400.1620483,402.4973755,30.48778915,31.0628624,68.40640259,69.69580078,300.9060669,0.633494735,0.673048615,96.79640961,-3.882042885,0.054938078,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501510111,0.000297651,303.2773232,303.3702415,0.101359155,-0.140075959,4.291707351,44.33746426,13.27460186,30.17378235,4.303162653,0.021577253,3.006773552,1.296389101,0.013500528,47.26596924,1.213182861,69.12350206,403.1110522,-0.002213733
