OPEN 6.2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri Feb 12 2016 15:27:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#1.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""15:27:41 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:27:50 Lamp: ParIn ->  1200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:27:50 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:27:50 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:27:50 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15:27:52,21.50000213,0,0.305839894,0.015752254,356.6016037,0.302212083,1.793549877,30.7575798,6,1.420000017,1,2.840000033,29.79629135,30.7575798,30.01556969,399.9854736,399.4736938,27.16269684,27.51530457,62.258564,63.07017899,500.0967407,1199.998291,3.234473228,96.5224762,-2.421715736,0.274809599,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833494568,0.000302212,303.9075798,302.9462914,191.9997223,1.963954985,4.449395207,46.09698572,18.58168116,30.27693558,4.328692127,0.015665365,2.65584533,1.672846797,0.009798623,34.4200698,0.892678565,58.38052625,399.3283122,0.000447128
2,15:27:54,23.50000209,0,0.338278852,0.015817251,353.4534761,0.303331253,1.792835577,30.75490189,6,1.420000017,1,2.840000033,29.79659271,30.75490189,30.01592827,399.9924927,399.4412231,27.16179848,27.51574135,62.25789261,63.07035828,500.0550537,1200.068237,3.210304737,96.52217102,-2.421715736,0.274809599,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83342509,0.000303331,303.9049019,302.9465927,192.0109137,1.96393694,4.448714669,46.09008088,18.57433953,30.2757473,4.328397289,0.015729646,2.655879092,1.672518197,0.009838862,34.11609687,0.884869802,58.39182419,399.2804216,0.000494708
3,15:27:56,25.50000205,0,0.343027678,0.015809233,352.9505801,0.30314975,1.79266176,30.75409126,6,1.420000017,1,2.840000033,29.79699898,30.75409126,30.01558113,399.9864807,399.4295654,27.16175652,27.51551247,62.25680542,63.06895065,500.0200195,1200.044067,3.182357073,96.52180481,-2.421715736,0.274809599,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833366699,0.00030315,303.9040913,302.946999,192.0070465,1.964160242,4.448508683,46.08812167,18.5726092,30.27554512,4.328347126,0.015721716,2.655846924,1.672500202,0.009833898,34.067427,0.883636592,58.39386213,399.2665065,0.000501688
4,15:27:58,27.500002,0,0.358604714,0.015784841,351.3266823,0.302707712,1.792794262,30.7544899,6,1.420000017,1,2.840000033,29.79719925,30.7544899,30.01482201,399.9969177,399.4215088,27.16199303,27.51524353,62.25669479,63.06797409,500.0054626,1199.999756,3.161918163,96.52161407,-2.421715736,0.274809599,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833342438,0.000302708,303.9044899,302.9471992,191.9999566,1.964276464,4.448609979,46.0892622,18.57401867,30.27584457,4.328421424,0.015697593,2.655815717,1.672605707,0.009818797,33.91061845,0.879588792,58.39136011,399.2510453,0.000524467
