OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri Feb 12 2016 14:40:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""14:40:29 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:40:30 Lamp: ParIn ->  1200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:40:30 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:40:30 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:40:30 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14:40:33,13.00000103,0,0.605140202,0.013394652,316.2823883,0.240249331,1.674349798,30.14451218,6,1.420000017,1,2.840000033,29.92131042,30.14451218,30.00175095,400.0070801,399.1661072,26.92282104,27.20318604,61.18141937,61.82042694,500.163269,1199.304932,0.598413229,96.3707962,-0.136512384,0.142838925,0.022620337,0.002442438,0.040990211,0.003415279,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833605448,0.000240249,303.2945122,303.0713104,191.8887848,2.016465831,4.295942496,44.57722323,17.3740372,30.0329113,4.268510356,0.013331774,2.621592697,1.646917659,0.008337985,30.48038558,0.792357824,59.76372789,398.8784525,0.000906678
2,14:40:35,15.00000098,0,0.622407987,0.01331173,313.7772597,0.238704728,1.673898278,30.14220238,6,1.420000017,1,2.840000033,29.92114258,30.14220238,30.00095177,400.0170898,399.1561279,26.9235096,27.20207787,61.18031693,61.81599426,500.1534424,1199.299561,0.466903418,96.37039185,-0.136512384,0.142838925,0.022620337,0.002442438,0.040990211,0.003415279,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833589071,0.000238705,303.2922024,303.0711426,191.8879254,2.017522164,4.295373181,44.5715027,17.36942484,30.03167248,4.268206705,0.013249626,2.621474903,1.646731802,0.008286574,30.23883747,0.786101572,59.76822014,398.860265,0.000932663
3,14:40:37,17.00000094,0,0.618533427,0.013145755,313.2962799,0.235722438,1.673761995,30.14079094,6,1.420000017,1,2.840000033,29.92110062,30.14079094,30.00061989,399.9931641,399.1382751,26.9248085,27.19989967,61.1817627,61.81098938,500.1486816,1199.313965,0.386417389,96.37033081,-0.136512384,0.142838925,0.022620337,0.002442438,0.040990211,0.003415279,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833581136,0.000235722,303.2907909,303.0711006,191.8902301,2.019222688,4.295025324,44.56792135,17.36802168,30.03094578,4.268028591,0.013085186,2.62126333,1.646765261,0.008183661,30.19246613,0.784931688,59.76601733,398.844254,0.00092686
4,14:40:39,19.50000088,0,0.638019536,0.013011557,310.1518072,0.233302653,1.673594295,30.13933945,6,1.420000017,1,2.840000033,29.92122078,30.13933945,30.00022888,400.0065002,399.1293945,26.92562103,27.19788933,61.18283844,61.80554199,500.1477966,1199.302246,0.390301287,96.37046814,-0.136512384,0.142838925,0.022620337,0.002442438,0.040990211,0.003415279,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833579661,0.000233303,303.2893394,303.0712208,191.8883551,2.020623473,4.294667622,44.5641461,17.36625677,30.03028011,4.267865441,0.012952216,2.621073327,1.646792115,0.008100446,29.88947485,0.777070823,59.76492602,398.8261106,0.000956086
5,14:40:42,22.00000083,0,0.656638758,0.013020831,307.9428581,0.233417831,1.673239685,30.13757706,6,1.420000017,1,2.840000033,29.92085457,30.13757706,29.9992218,400.026947,399.1274414,26.92463112,27.19703674,61.18190765,61.80424118,500.1428833,1199.296387,0.394543707,96.37055969,-0.136512384,0.142838925,0.022620337,0.002442438,0.040990211,0.003415279,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833571472,0.000233418,303.2875771,303.0708546,191.8874176,2.020749923,4.294233338,44.55959736,17.36256062,30.02921581,4.267604601,0.012961406,2.620993653,1.646610948,0.008106197,29.67662559,0.77154018,59.76962652,398.8153068,0.000984091
6,14:40:44,24.00000078,0,0.648842799,0.012997894,308.7543738,0.232989667,1.673110758,30.13665199,6,1.420000017,1,2.840000033,29.92061424,30.13665199,29.99864769,400.0187683,399.1288147,26.92404556,27.19595337,61.18133926,61.802742,500.1400146,1199.308594,0.396651566,96.37075806,-0.136512384,0.142838925,0.022620337,0.002442438,0.040990211,0.003415279,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833566691,0.00023299,303.286652,303.0706142,191.8893707,2.021080657,4.294005401,44.55714044,17.36118707,30.02863312,4.267461799,0.012938678,2.620894642,1.646567157,0.008091973,29.75489306,0.773570743,59.77034142,398.8203859,0.000972407
7,14:40:46,26.00000074,0,0.635509615,0.012947573,310.0832146,0.232094363,1.673132468,30.13647652,6,1.420000017,1,2.840000033,29.92043114,30.13647652,29.99838066,400.0068665,399.1333313,26.92438698,27.19525146,61.18227768,61.80147171,500.1375427,1199.30896,0.403884441,96.37085724,-0.136512384,0.142838925,0.022620337,0.002442438,0.040990211,0.003415279,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833562571,0.000232094,303.2864765,303.0704311,191.8894293,2.021526561,4.293962164,44.55664593,17.36139447,30.02845383,4.267417861,0.012888812,2.620829696,1.646588165,0.008060766,29.88298521,0.776891305,59.76872969,398.8312405,0.000952373
8,14:40:48,28.00000069,0,0.630302064,0.01285619,310.1783086,0.230445334,1.673005789,30.13537025,6,1.420000017,1,2.840000033,29.92015457,30.13537025,29.99766541,400.0032043,399.1366882,26.92475319,27.19369888,61.18323898,61.79825592,500.1277466,1199.310669,0.372392565,96.37099457,-0.136512384,0.142838925,0.022620337,0.002442438,0.040990211,0.003415279,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833546244,0.000230445,303.2853703,303.0701546,191.8897027,2.022466346,4.293689596,44.55375412,17.36005523,30.02776241,4.267248422,0.012798254,2.620683807,1.646564615,0.008004094,29.89219209,0.77712302,59.76802607,398.8370728,0.000944544
9,14:40:50,30.00000065,0,0.622540191,0.012830122,310.9906611,0.229970499,1.672942706,30.13474846,6,1.420000017,1,2.840000033,29.92020226,30.13474846,29.99713326,400.0051575,399.1481628,26.9242878,27.19268417,61.18262863,61.79577255,500.1192322,1199.317871,0.367753834,96.37127686,-0.136512384,0.142838925,0.022620337,0.002442438,0.040990211,0.003415279,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833532054,0.00022997,303.2847485,303.0702023,191.8908551,2.022808298,4.293536401,44.55203397,17.3593498,30.02747536,4.267178078,0.01277242,2.620593695,1.646584383,0.007987927,29.9705671,0.779135895,59.76779707,398.8522371,0.000932873
10,14:40:52,32.0000006,0,0.622267189,0.012874361,311.3022139,0.230748409,1.672863204,30.13433647,6,1.420000017,1,2.840000033,29.92016792,30.13433647,29.99668884,400.0201111,399.1630554,26.92310905,27.19241714,61.18081665,61.79467773,500.1122742,1199.305542,0.371256649,96.37141418,-0.136512384,0.142838925,0.022620337,0.002442438,0.040990211,0.003415279,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833520457,0.000230748,303.2843365,303.0701679,191.8888824,2.022451107,4.293434899,44.55091726,17.35850011,30.0272522,4.267123392,0.012816262,2.620571695,1.646551697,0.008015363,30.00063459,0.779887341,59.76941063,398.8672594,0.000932454
11,14:40:54,34.00000056,0,0.617168836,0.012913461,312.1672636,0.231446149,1.672866458,30.13425636,6,1.420000017,1,2.840000033,29.91992569,30.13425636,29.99650574,400.0236511,399.1723633,26.92201996,27.1921463,61.17961502,61.79439926,500.1051636,1199.292725,0.335441351,96.37152863,-0.136512384,0.142838925,0.022620337,0.002442438,0.040990211,0.003415279,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833508606,0.000231446,303.2842564,303.0699257,191.8868316,2.02205885,4.293415163,44.55065956,17.35851326,30.02709103,4.267083897,0.012855009,2.620548706,1.646535192,0.008039612,30.08403638,0.782036264,59.76970986,398.8789908,0.000924792
12,14:40:56,36.00000051,0,0.604854433,0.012872,313.4438121,0.230730959,1.673048396,30.13466263,6,1.420000017,1,2.840000033,29.91996956,30.13466263,29.99670601,400.0143433,399.1781616,26.92193985,27.19123459,61.17922211,61.79265594,500.0998535,1199.29248,0.289849818,96.37174988,-0.136512384,0.142838925,0.022620337,0.002442438,0.040990211,0.003415279,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833499756,0.000230731,303.2846626,303.0699696,191.8867926,2.022364187,4.293515254,44.55159588,17.36036129,30.02731609,4.26713905,0.012813922,2.620466859,1.646672191,0.008013899,30.20712866,0.785222846,59.7656872,398.8906428,0.000906252
13,14:40:58,38.50000046,0,0.591840967,0.012868131,315.0270087,0.230686139,1.673224608,30.13525963,6,1.420000017,1,2.840000033,29.92017365,30.13525963,29.99728203,400.0041199,399.1835632,26.92166138,27.19090652,61.17838669,61.79100037,500.0949707,1199.280518,0.241416186,96.37184143,-0.136512384,0.142838925,0.022620337,0.002442438,0.040990211,0.003415279,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833491618,0.000230686,303.2852596,303.0701736,191.8848785,2.022309888,4.29366234,44.55307978,17.36217326,30.02771664,4.267237205,0.012810088,2.620437732,1.646799473,0.0080115,30.35973293,0.789178307,59.7627493,398.9022304,0.000886685
14,14:41:00,40.50000041,0,0.605887315,0.012974068,313.9008988,0.232571732,1.673190448,30.13519859,6,1.420000017,1,2.840000033,29.92009735,30.13519859,29.9975071,400.0173645,399.1790466,26.91963959,27.19108772,61.17536163,61.79095459,500.0907898,1199.26416,0.218983218,96.37190247,-0.136512384,0.142838925,0.022620337,0.002442438,0.040990211,0.003415279,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83348465,0.000232572,303.2851986,303.0700974,191.8822613,2.021339667,4.293647302,44.55289553,17.3618078,30.02764797,4.267220378,0.012915068,2.620456854,1.646763524,0.008077197,30.2512268,0.786366172,59.76492398,398.8910368,0.000907787
15,14:41:02,42.50000037,0,0.639484451,0.0130788,310.4187711,0.234436914,1.673165229,30.13494682,6,1.420000017,1,2.840000033,29.91985893,30.13494682,29.99768639,400.0540161,399.1744995,26.91708565,27.19071007,61.17116547,61.79044724,500.0922241,1199.246704,0.203900382,96.37188721,-0.136512384,0.142838925,0.022620337,0.002442438,0.040990211,0.003415279,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83348704,0.000234437,303.2849468,303.0698589,191.8794684,2.02038207,4.293585272,44.55225893,17.36154886,30.02740288,4.267160317,0.013018845,2.620420044,1.646740273,0.008142144,29.9156428,0.777651808,59.76644729,398.8705192,0.000958199
16,14:41:04,44.50000032,0,0.665968422,0.013107205,307.3774728,0.23495129,1.673218478,30.13472366,6,1.420000017,1,2.840000033,29.91918945,30.13472366,29.99793816,400.0772705,399.165741,26.91539383,27.18961716,61.16919708,61.79010391,500.0954285,1199.211792,0.194122151,96.3717804,-0.136512384,0.142838925,0.022620337,0.002442438,0.040990211,0.003415279,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833492381,0.000234951,303.2847237,303.0691895,191.8738824,2.020003137,4.293530292,44.5517378,17.36212064,30.02695656,4.267050946,0.013046991,2.620311814,1.646739132,0.008159758,29.62251431,0.770049734,59.76508587,398.8491715,0.000997913
17,14:41:06,46.50000028,0,0.683970814,0.013083093,305.0377454,0.234536775,1.673333346,30.13456535,6,1.420000017,1,2.840000033,29.91874695,30.13456535,29.99827385,400.0858765,399.1529541,26.91426659,27.18800545,61.16823959,61.78861618,500.0974731,1199.188599,0.205875322,96.3718338,-0.136512384,0.142838925,0.022620337,0.002442438,0.040990211,0.003415279,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833495789,0.000234537,303.2845654,303.0687469,191.8701715,2.020129606,4.293491289,44.5513084,17.36330295,30.02665615,4.266977333,0.013023099,2.620157942,1.64681939,0.008144806,29.3970469,0.764212671,59.7616607,398.8278271,0.001024884
18,14:41:08,48.50000023,0,0.694216175,0.013076926,303.7558011,0.234444011,1.673457731,30.13449097,6,1.420000017,1,2.840000033,29.91874123,30.13449097,29.9983902,400.0963745,399.1512146,26.91290283,27.18653107,61.16569138,61.78607941,500.1025391,1199.180908,0.235310853,96.37181091,-0.136512384,0.142838925,0.022620337,0.002442438,0.040990211,0.003415279,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833504232,0.000234444,303.284491,303.0687412,191.868941,2.020171421,4.293472962,44.55112881,17.36459775,30.0266161,4.266967518,0.013016989,2.620015231,1.646952286,0.008140982,29.27349663,0.761004326,59.75844542,398.8212175,0.001040197
19,14:41:10,50.50000019,0,0.706486565,0.013090756,302.3636739,0.234700422,1.673524753,30.13428116,6,1.420000017,1,2.840000033,29.91861725,30.13428116,29.99822044,400.1154175,399.155426,26.91142273,27.1853466,61.16272736,61.78380966,500.1097717,1199.167114,0.293002784,96.37164307,-0.136512384,0.142838925,0.022620337,0.002442438,0.040990211,0.003415279,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833516286,0.0002347,303.2842812,303.0686172,191.866734,2.020031097,4.293421272,44.55067005,17.36532344,30.0264492,4.266926622,0.013030692,2.619896519,1.647030102,0.008149558,29.13928406,0.757508615,59.75657861,398.8195961,0.001058554
20,14:41:12,53.00000013,0,0.722568266,0.013104008,300.5122892,0.234948112,1.673603188,30.13409996,6,1.420000017,1,2.840000033,29.91835976,30.13409996,29.99798203,400.1413574,399.1619568,26.90990067,27.18411255,61.16003418,61.78207779,500.1123657,1199.152832,0.337347388,96.37149048,-0.136512384,0.142838925,0.022620337,0.002442438,0.040990211,0.003415279,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83352061,0.000234948,303.2841,303.0683598,191.8644488,2.019872191,4.293376631,44.55027737,17.36616482,30.02622986,4.266872874,0.013043823,2.619773444,1.64709943,0.008157775,28.96081721,0.752858042,59.75449491,398.8184824,0.001082615
21,14:41:14,55.00000009,0,0.712957784,0.013068782,301.4524726,0.234343309,1.673773001,30.13430023,6,1.420000017,1,2.840000033,29.91822052,30.13430023,29.99798584,400.1410522,399.1734619,26.90937805,27.18288612,61.15864944,61.7800827,500.1092224,1199.169189,0.333291948,96.37140656,-0.136512384,0.142838925,0.022620337,0.002442438,0.040990211,0.003415279,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833515371,0.000234343,303.2843002,303.0682205,191.867066,2.020156276,4.293425971,44.55082814,17.36794202,30.02626038,4.266880352,0.013008919,2.61965297,1.647227382,0.008135932,29.0513988,0.755191668,59.75039107,398.8345559,0.0010681
22,14:41:16,57.00000004,0,0.679018364,0.013011356,305.2128958,0.233336678,1.673904288,30.13437462,6,1.420000017,1,2.840000033,29.91827393,30.13437462,29.99804878,400.1107788,399.1843872,26.90940666,27.18173981,61.15789795,61.77763367,500.1099243,1199.173828,0.342932314,96.371315,-0.136512384,0.142838925,0.022620337,0.002442438,0.040990211,0.003415279,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833516541,0.000233337,303.2843746,303.0682739,191.8678082,2.020662768,4.293444298,44.55106063,17.36932082,30.02632427,4.266896009,0.012952017,2.619540009,1.647355999,0.008100321,29.41376812,0.764591265,59.74661465,398.8616144,0.001017121
