OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Feb 14 2016 15:47:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""15:47:18 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:47:21 Lamp: ParIn ->  1200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:47:21 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:47:21 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:47:21 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15:47:23,13.00000092,0,0.451895906,0.007920334,300.3519728,0.106893998,1.253721141,30.21885872,6,1.420000017,1,2.840000033,30.20870399,30.21885872,30.00034142,400.0250549,399.4317627,31.64972115,31.77387238,70.70188141,70.98326874,500.1846313,1199.089111,4.682478905,96.32383728,-2.332384586,0.422452211,0.016334545,0.002243316,0.031949244,0.002566356,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833641052,0.000106894,303.3688587,303.358704,191.8542535,2.111140713,4.314302453,44.7895617,13.01568933,30.21378136,4.313046422,0.007898307,3.060581312,1.252465109,0.004938416,28.93105456,0.751948144,69.86765075,399.216953,0.000790871
2,15:47:25,15.00000087,0,0.446183082,0.007916531,301.4634123,0.106794412,1.253155255,30.21684647,6,1.420000017,1,2.840000033,30.20938301,30.21684647,29.9998455,400.0247803,399.4383545,31.65055656,31.77459908,70.70194244,70.98153687,500.15625,1199.183716,4.683552265,96.32377625,-2.332384586,0.422452211,0.016334545,0.002243316,0.031949244,0.002566356,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83359375,0.000106794,303.3668465,303.359383,191.8693902,2.111732366,4.313804627,44.78442182,13.00982274,30.21311474,4.312881538,0.007894525,3.060649372,1.252232167,0.004936051,29.03809428,0.754718241,69.87780453,399.2262604,0.000780968
3,15:47:27,17.00000083,0,0.432902349,0.007992437,304.9596254,0.107778185,1.252719311,30.21547127,6,1.420000017,1,2.840000033,30.20968628,30.21547127,29.99945068,400.0193176,399.4483337,31.65049744,31.77568626,70.7013092,70.98186493,500.1410828,1199.271606,4.62285614,96.32349396,-2.332384586,0.422452211,0.016334545,0.002243316,0.031949244,0.002566356,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833568471,0.000107778,303.3654713,303.3596863,191.8834527,2.111633217,4.313464434,44.7810213,13.00533503,30.21257877,4.312748975,0.007970007,3.060745124,1.252003851,0.004983265,29.37477664,0.76345199,69.88674735,399.2425527,0.000757788
4,15:47:29,19.00000078,0,0.403630779,0.008086331,311.7113473,0.109022472,1.252505407,30.21514511,6,1.420000017,1,2.840000033,30.20998383,30.21514511,29.99922562,399.9961243,399.4596558,31.65052032,31.77715492,70.70045471,70.9831543,500.1384277,1199.341431,4.520175457,96.32323456,-2.332384586,0.422452211,0.016334545,0.002243316,0.031949244,0.002566356,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833564046,0.000109022,303.3651451,303.3599838,191.8946246,2.111225524,4.313383754,44.7803043,13.00314937,30.21256447,4.312745437,0.008063372,3.060878347,1.251867089,0.005041665,30.02504522,0.780332489,69.89230691,399.267789,0.000706561
