OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Feb 14 2016 15:42:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""15:42:05 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:42:06 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:42:07 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:42:07 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:42:07 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15:42:09,28.50000021,0,-1.338097463,0.004928067,824.3571861,0.066254794,1.247551748,30.21380615,6,1.420000017,1,2.840000033,30.18512726,30.21380615,29.99627304,399.8651733,402.48526,31.6973629,31.82551956,70.90402985,71.19342804,300.317749,0.21399197,0.224870965,96.32209778,-2.516477346,0.42312932,0.034908969,0.001078143,0.033561643,0.002700314,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500529582,6.62548E-05,303.3638062,303.3351273,0.034238714,-0.036490936,4.313052555,44.77739433,12.95187477,30.19946671,4.309506996,0.00491953,3.065500807,1.244006189,0.003075472,79.40381349,2.048167394,69.9750764,403.1213275,-0.002322712
2,15:42:11,30.50000017,0,-1.346671355,0.004976673,822.9078796,0.066909492,1.247592755,30.21416473,6,1.420000017,1,2.840000033,30.18645668,30.21416473,29.99612808,399.8664856,402.5034485,31.69662857,31.82606506,70.89897919,71.18943024,300.286377,0.159151286,0.197727874,96.32194519,-2.516477346,0.42312932,0.034908969,0.001078143,0.033561643,0.002700314,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500477295,6.69095E-05,303.3641647,303.3364567,0.025464205,-0.036784095,4.31314125,44.77838608,12.95232102,30.20031071,4.309715613,0.004967967,3.065548495,1.244167118,0.003105761,79.26408768,2.04447411,69.9751959,403.1435916,-0.00233747
3,15:42:13,32.50000012,0,-1.350978918,0.005009296,821.5018731,0.067354608,1.247726032,30.21481895,6,1.420000017,1,2.840000033,30.18692589,30.21481895,29.99613953,399.880188,402.5255737,31.69606781,31.82637405,70.89601135,71.18789673,300.2662964,0.097283632,0.184262931,96.32190704,-2.516477346,0.42312932,0.034908969,0.001078143,0.033561643,0.002700314,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500443827,6.73546E-05,303.364819,303.3369259,0.015565381,-0.037142539,4.313303075,44.78008387,12.95370981,30.20087242,4.30985446,0.005000476,3.065577043,1.244277417,0.003126088,79.12862706,2.040868771,69.973428,403.1677644,-0.002344747
4,15:42:15,34.50000008,0,-1.336612142,0.005003463,817.4550535,0.06727755,1.247748293,30.21488571,6,1.420000017,1,2.840000033,30.18681908,30.21488571,29.9958992,399.9167786,402.5335999,31.69616318,31.82632446,70.89617157,71.18777466,300.2568054,0.070928507,0.187347785,96.32187653,-2.516477346,0.42312932,0.034908969,0.001078143,0.033561643,0.002700314,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500428009,6.72776E-05,303.3648857,303.3368191,0.011348561,-0.037175344,4.313319589,44.78026949,12.95394503,30.20085239,4.309849509,0.004994664,3.065571295,1.244278214,0.003122454,78.73880473,2.030774708,69.97294356,403.1689613,-0.002319789
