OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Feb 14 2016 16:15:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""16:15:02 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""16:15:04 Lamp: ParIn ->  1200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""16:15:04 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""16:15:04 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""16:15:04 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,16:15:06,28.50000048,0,0.205379233,0.008912798,353.8830477,0.123415841,1.286583377,30.33304405,6,1.420000017,1,2.840000033,30.26498604,30.33304405,29.99365616,399.5216675,399.2161865,31.58387184,31.72722626,70.33059692,70.64688873,500.1598206,1198.700562,6.425419331,96.32264709,-2.11825037,0.427690744,0.037787743,0.001158661,0.025841163,0.001269365,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833599701,0.000123416,303.4830441,303.414986,191.7920856,2.094021327,4.342633795,45.08424474,13.35701848,30.29901505,4.334173707,0.008884914,3.056050418,1.278123289,0.00555557,34.08695192,0.886444637,69.28630638,399.1185591,0.000356535
2,16:15:08,30.50000044,0,0.221228012,0.008928394,351.1475084,0.123613276,1.286405396,30.3322525,6,1.420000017,1,2.840000033,30.26548958,30.3322525,29.99378014,399.5572205,399.2326355,31.58329964,31.72688103,70.32798767,70.64566803,500.1682129,1198.698486,6.377160549,96.32309723,-2.11825037,0.427690744,0.037787743,0.001158661,0.025841163,0.001269365,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833613688,0.000123613,303.4822525,303.4154896,191.7917535,2.094097551,4.342436842,45.08198933,13.3551083,30.29887104,4.334137936,0.008900413,3.056031446,1.27810649,0.005565265,33.82361559,0.879556121,69.28937201,399.1274743,0.000384056
3,16:15:10,32.50000039,0,0.249918092,0.00895811,346.2286463,0.124016578,1.286338133,30.33198357,6,1.420000017,1,2.840000033,30.26592064,30.33198357,29.99418449,399.6248779,399.265686,31.58276749,31.72681427,70.32549286,70.64437103,500.1788635,1198.681152,6.37605238,96.32331085,-2.11825037,0.427690744,0.037787743,0.001158661,0.025841163,0.001269365,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833631439,0.000124017,303.4819836,303.4159206,191.7889801,2.093961386,4.342369927,45.08119466,13.35438039,30.2989521,4.334158072,0.008929942,3.056031793,1.278126278,0.005583738,33.34988952,0.867163541,69.29083863,399.1468869,0.000433851
4,16:15:12,34.50000035,0,0.296147541,0.008944998,338.0008555,0.123829879,1.286280552,30.3316555,6,1.420000017,1,2.840000033,30.26639175,30.3316555,29.99437904,399.7179565,399.3034058,31.58270645,31.72653198,70.32350159,70.6425705,500.1943054,1198.676514,6.411569118,96.32341003,-2.11825037,0.427690744,0.037787743,0.001158661,0.025841163,0.001269365,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833657176,0.00012383,303.4816555,303.4163918,191.7882379,2.094155463,4.342288301,45.08030083,13.35376884,30.29902363,4.334175839,0.008916912,3.056007749,1.27816809,0.005575587,32.55739499,0.846476265,69.29151349,399.1626314,0.000514089
