OPEN 6.2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri Feb 12 2016 14:18:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#1.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""14:18:54 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:18:56 Lamp: ParIn ->  1200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:18:56 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:18:56 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:18:56 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14:18:58,13.00000092,0,4.768177991,0.070727778,273.2896599,1.18264718,1.588262389,31.39725876,6,1.420000017,1,2.840000033,30.0984745,31.39725876,30.00818634,398.8320313,392.5520935,29.98659134,31.36148453,67.54678345,70.64309692,499.9185181,1198.89563,5.3454566,96.49784088,-2.503258705,0.171702147,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83319753,0.001182647,304.5472588,303.2484745,191.8232965,1.455621027,4.614577933,47.82053039,16.45904586,30.74786663,4.446927234,0.069009163,3.026315544,1.420611691,0.04328191,26.37186211,0.696186989,65.03360989,390.2855301,0.007945256
2,14:19:00,15.00000087,0,4.756975208,0.070720973,273.5263378,1.182514755,1.588242349,31.39723015,6,1.420000017,1,2.840000033,30.09878922,31.39723015,30.0083313,398.8098145,392.5432434,29.98667526,31.36144829,67.54205322,70.63825226,499.90625,1198.932861,5.089128494,96.49835205,-2.503258705,0.171702147,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833177083,0.001182515,304.5472301,303.2487892,191.8292535,1.455808112,4.614570427,47.8201993,16.45875101,30.74800968,4.446963573,0.069002686,3.026328078,1.420635495,0.043277833,26.39484084,0.696805619,65.03391914,390.2820052,0.007926698
3,14:19:03,17.50000082,0,4.794148345,0.070718829,272.6836053,1.182733267,1.588586887,31.39849472,6,1.420000017,1,2.840000033,30.09915543,31.39849472,30.00749207,398.864624,392.5533142,29.98615837,31.36118698,67.53807068,70.63478088,499.9058228,1198.991699,4.910010338,96.49874878,-2.503258705,0.171702147,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833176371,0.001182733,304.5484947,303.2491554,191.8386676,1.455673838,4.614902191,47.82344071,16.46225373,30.74882507,4.447170707,0.069000645,3.026315304,1.420855403,0.043276548,26.31362673,0.694640945,65.02876817,390.2744057,0.007988163
4,14:19:05,19.50000077,0,4.853697531,0.070668612,271.2723048,1.182242263,1.589030836,31.3998394,6,1.420000017,1,2.840000033,30.09942627,31.3998394,30.00700951,398.9620972,392.5796814,29.98573112,31.3601532,67.53570557,70.6314621,499.919342,1199.041138,4.870334148,96.49902344,-2.503258705,0.171702147,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833198903,0.001182242,304.5498394,303.2494263,191.8465777,1.455864253,4.615254995,47.82696063,16.46680743,30.74963284,4.447375912,0.068952837,3.026224158,1.421151753,0.043246459,26.1775125,0.69099935,65.02102035,390.272466,0.008086462
5,14:19:07,21.50000073,0,4.892808722,0.070635689,270.3690265,1.181837437,1.589212011,31.40015411,6,1.420000017,1,2.840000033,30.09963989,31.40015411,30.00693321,399.0507202,392.6216736,29.98516464,31.35907936,67.53373718,70.62847137,499.9332581,1199.051025,4.900537491,96.49918365,-2.503258705,0.171702147,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833222097,0.001181837,304.5501541,303.2496399,191.8481598,1.456076984,4.615337569,47.82773692,16.46865756,30.749897,4.447443023,0.068921493,3.026125558,1.421317465,0.043226731,26.09039034,0.688624813,65.01726782,390.2958666,0.008150664
6,14:19:09,23.50000068,0,4.907704758,0.070667221,270.129622,1.182392352,1.589267969,31.40010643,6,1.420000017,1,2.840000033,30.09976006,31.40010643,30.00694084,399.1221924,392.6750183,29.9838028,31.35834503,67.53090668,70.62637329,499.940033,1199.047119,4.931460857,96.49925995,-2.503258705,0.171702147,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833233388,0.001182392,304.5501064,303.2497601,191.8475348,1.455806153,4.615325058,47.82756946,16.46922443,30.74993324,4.44745223,0.068951513,3.026057089,1.421395141,0.043245626,26.06730862,0.687921588,65.01633661,390.3421305,0.008174393
7,14:19:11,25.50000064,0,4.908638775,0.070717143,270.2351793,1.183203019,1.589263129,31.39979553,6,1.420000017,1,2.840000033,30.099823,31.39979553,30.00689316,399.1745605,392.7257996,29.98206902,31.3575573,67.52741241,70.62445831,499.9391174,1199.052734,4.938497066,96.49923706,-2.503258705,0.171702147,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833231862,0.001183203,304.5497955,303.249823,191.8484332,1.455450859,4.615243484,47.82673547,16.46917818,30.74980927,4.447420733,0.068999039,3.025980355,1.421440378,0.043275538,26.07748863,0.688101417,65.01645437,390.3924678,0.008174909
8,14:19:13,27.50000059,0,4.912816704,0.070709853,270.1914209,1.183195666,1.589415545,31.39975357,6,1.420000017,1,2.840000033,30.09999275,31.39975357,30.00680351,399.2450562,392.7911987,29.98036575,31.35584641,67.52193451,70.61919403,499.9396667,1199.077271,4.884879589,96.49929047,-2.503258705,0.171702147,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833232778,0.001183196,304.5497536,303.2499928,191.852359,1.455530803,4.615232475,47.82659491,16.47074851,30.74987316,4.447436966,0.068992099,3.02581693,1.421620036,0.04327117,26.07328041,0.687875446,65.01296197,390.455881,0.008180099
9,14:19:15,29.50000055,0,4.924364031,0.070689831,269.971258,1.183021406,1.589620836,31.39978027,6,1.420000017,1,2.840000033,30.09995079,31.39978027,30.00646782,399.3363342,392.8686829,29.97855759,31.35381889,67.51815796,70.61515808,499.9468079,1199.0802,4.8848629,96.49920654,-2.503258705,0.171702147,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83324468,0.001183021,304.5497803,303.2499508,191.8528277,1.455616755,4.615239481,47.82670911,16.47289022,30.74986553,4.447435028,0.068973038,3.025618645,1.421816383,0.043259173,26.05201218,0.68717938,65.00829027,390.527876,0.008197225
10,14:19:17,31.5000005,0,4.925607026,0.070723925,270.077321,1.183568782,1.58960858,31.3991375,6,1.420000017,1,2.840000033,30.09990883,31.3991375,30.00645447,399.4216003,392.95224,29.97637939,31.35224533,67.51396942,70.61180115,499.959137,1199.066772,4.901811123,96.49906158,-2.503258705,0.171702147,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833265228,0.001183569,304.5491375,303.2499088,191.8506793,1.455395339,4.615070833,47.8250333,16.47278796,30.74952316,4.44734805,0.069005496,3.025462253,1.421885797,0.043279602,26.06220803,0.687303172,65.00775044,390.6108423,0.008197484
11,14:19:19,34.00000045,0,4.895671171,0.070807669,270.9834613,1.18461284,1.589177205,31.39694977,6,1.420000017,1,2.840000033,30.0999527,31.39694977,30.00675011,399.480835,393.046875,29.97377968,31.35083961,67.50813293,70.60786438,499.9670105,1199.047363,4.937372208,96.49884033,-2.503258705,0.171702147,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833278351,0.001184613,304.5469498,303.2499527,191.8475738,1.455141578,4.614496871,47.81919508,16.46835547,30.74845123,4.447075739,0.069085218,3.025319666,1.421756073,0.043329778,26.14958977,0.689443114,65.01403364,390.7197074,0.008146181
12,14:19:21,36.0000004,0,4.861691626,0.070848948,271.8778158,1.185100275,1.588927651,31.39545059,6,1.420000017,1,2.840000033,30.09993744,31.39545059,30.00675583,399.4981384,393.1045837,29.97179031,31.34943199,67.50376892,70.60476685,499.9622498,1199.036377,4.933377266,96.49858856,-2.503258705,0.171702147,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833270416,0.0011851,304.5454506,303.2499374,191.845816,1.455083713,4.61410359,47.81524434,16.46581235,30.74769402,4.446883386,0.069124512,3.025175939,1.421707447,0.043354509,26.23582549,0.691617007,65.01713975,390.7935684,0.008088498
13,14:19:23,38.00000036,0,4.834859696,0.070809838,272.4673492,1.184562833,1.589059784,31.39512062,6,1.420000017,1,2.840000033,30.09985352,31.39512062,30.00669861,399.5061646,393.144928,29.97023773,31.34727478,67.49991608,70.60066223,499.9560547,1199.037842,4.881360054,96.49825287,-2.503258705,0.171702147,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833260091,0.001184563,304.5451206,303.2498535,191.8460504,1.455400776,4.614017033,47.81451369,16.46723891,30.74748707,4.446830817,0.069087282,3.024957248,1.421873569,0.043331077,26.29262316,0.693045566,65.01315682,390.8466672,0.008042271
14,14:19:25,40.00000031,0,4.822969316,0.070732262,272.6482087,1.183381924,1.589171814,31.39470482,6,1.420000017,1,2.840000033,30.09995461,31.39470482,30.00674438,399.5209656,393.174469,29.96940804,31.34508514,67.49691772,70.59546661,499.9525146,1199.041138,4.83399868,96.49794006,-2.503258705,0.171702147,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833254191,0.001183382,304.5447048,303.2499546,191.8465777,1.45609305,4.613907962,47.81353839,16.46845324,30.74732971,4.446790846,0.069013432,3.024736148,1.422054698,0.043284597,26.3099905,0.693453493,65.00898819,390.8818604,0.008021256
15,14:19:27,42.00000027,0,4.817589018,0.070700513,272.7501662,1.182928978,1.589258528,31.39440727,6,1.420000017,1,2.840000033,30.10037231,31.39440727,30.00678825,399.5432434,393.2033691,29.9682827,31.34343719,67.49276733,70.58996582,499.9519348,1199.033203,4.807071209,96.49775696,-2.503258705,0.171702147,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833253225,0.001182929,304.5444073,303.2503723,191.8453082,1.456414782,4.613829912,47.81282029,16.4693831,30.74738979,4.446806108,0.068983207,3.024571385,1.422234723,0.043265573,26.31977925,0.693661824,65.00614835,390.913318,0.008011313
16,14:19:29,44.00000022,0,4.803607007,0.070730879,273.1411023,1.183385468,1.589205746,31.39377403,6,1.420000017,1,2.840000033,30.10085487,31.39377403,30.00673485,399.5532227,393.2298584,29.96661949,31.34230995,67.48750305,70.5854187,499.950592,1199.033569,4.785943508,96.497612,-2.503258705,0.171702147,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833250987,0.001183385,304.543774,303.2508549,191.8453668,1.456338977,4.613663811,47.81117082,16.46886087,30.74731445,4.44678697,0.069012115,3.024458065,1.422328905,0.043283768,26.35746411,0.694609263,65.00646639,390.9464537,0.007987424
17,14:19:31,46.00000018,0,4.781147558,0.070724472,273.656412,1.18313343,1.589009539,31.39241409,6,1.420000017,1,2.840000033,30.10108757,31.39241409,30.00644493,399.5386353,393.242157,29.96525955,31.34069633,67.48340607,70.58138275,499.9371338,1199.044434,4.772691727,96.49745941,-2.503258705,0.171702147,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833228556,0.001183133,304.5424141,303.2510876,191.8471051,1.456719903,4.613307111,47.80754995,16.46685362,30.74675083,4.446643803,0.069006016,3.024297573,1.42234623,0.043279929,26.40714851,0.695897953,65.00809976,390.9694284,0.007949811
18,14:19:34,48.50000012,0,4.759241862,0.070629439,274.0090965,1.181573291,1.58900145,31.39105988,6,1.420000017,1,2.840000033,30.10085487,31.39105988,30.00585175,399.5079346,393.2383118,29.96347237,31.33713913,67.47987366,70.57458496,499.9230652,1199.042114,4.731524944,96.49733734,-2.503258705,0.171702147,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833205109,0.001181573,304.5410599,303.2508549,191.846734,1.45768696,4.612951936,47.80392976,16.46679063,30.74595737,4.446442261,0.068915542,3.023950486,1.422491775,0.043222986,26.44114822,0.69680163,65.00457187,390.9759961,0.007912825
19,14:19:36,50.50000008,0,4.7527667,0.070584204,274.0836918,1.180928065,1.589131022,31.39066124,6,1.420000017,1,2.840000033,30.10062981,31.39066124,30.00564575,399.4953918,393.2337952,29.96175575,31.33468819,67.47671509,70.56980133,499.9185791,1199.045654,4.677500725,96.49741364,-2.503258705,0.171702147,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833197632,0.001180928,304.5406612,303.2506298,191.8473004,1.458053776,4.612847389,47.80280854,16.46812036,30.74564552,4.446363051,0.068872476,3.023716367,1.422646684,0.043195881,26.44836738,0.69699933,65.00044618,390.9745575,0.007901587
20,14:19:38,52.50000003,0,4.748689332,0.07057165,274.1499466,1.180627105,1.589009776,31.38949966,6,1.420000017,1,2.840000033,30.10064507,31.38949966,30.00548935,399.4813843,393.2248535,29.96013451,31.33271599,67.47291565,70.56529236,499.9199829,1199.055908,4.648205757,96.49763489,-2.503258705,0.171702147,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833199972,0.001180627,304.5394997,303.2506451,191.848941,1.458399447,4.612542764,47.79954212,16.46682614,30.74507236,4.446217474,0.068860523,3.023532987,1.422684486,0.043188358,26.45482145,0.69718367,65.00074973,390.967554,0.007894987
21,14:19:40,54.49999999,0,4.733360736,0.070553413,274.4607851,1.180281314,1.588952299,31.38853073,6,1.420000017,1,2.840000033,30.10041618,31.38853073,30.00515366,399.4501648,393.2122192,29.95843315,31.33061409,67.46975708,70.56115723,499.9205322,1199.059692,4.657123566,96.49783325,-2.503258705,0.171702147,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833200887,0.001180281,304.5385307,303.2504162,191.8495465,1.458693799,4.612288673,47.79681074,16.46619665,30.74447346,4.446065361,0.06884316,3.023336374,1.422728986,0.04317743,26.48487107,0.697996582,64.99995645,390.9622062,0.007869514
22,14:19:42,56.49999994,0,4.724811371,0.0705111,274.5694234,1.179609477,1.588982713,31.38794327,6,1.420000017,1,2.840000033,30.09990692,31.38794327,30.00480652,399.415863,393.1884766,29.95724869,31.32866287,67.46813202,70.55822754,499.9163208,1199.045166,4.675505638,96.49795532,-2.503258705,0.171702147,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833193868,0.001179609,304.5379433,303.2499069,191.8472223,1.459027723,4.612134623,47.79515388,16.466491,30.74392509,4.445926089,0.068802872,3.02315191,1.422774179,0.043152074,26.49538795,0.698315032,64.99767433,390.9425275,0.007855419
