OPEN 6.2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri Feb 12 2016 14:34:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#1.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""14:34:41 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:34:42 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:34:42 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:34:42 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:34:42 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14:34:45,10.50000091,0,-2.086178724,0.088702986,433.986729,0.978716599,1.057369897,29.38379097,6,1.420000017,1,2.840000033,29.93757248,29.38379097,29.99590302,399.5614014,402.9354553,29.75963593,31.64974785,67.66693115,71.96176147,300.8521729,-0.025023466,0.080840364,96.51226807,-2.856163979,0.126599073,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501420288,0.000978717,302.533791,303.0875725,-0.004003754,-0.430280051,4.111958846,42.60555604,10.95580819,29.66068172,4.178114777,0.086016397,3.054588949,1.123525829,0.053995334,41.88504353,1.077062649,74.10281984,403.9271248,-0.003827218
2,14:34:47,12.50000086,0,-2.08209902,0.088676517,433.9239316,0.978137967,1.057057019,29.38156891,6,1.420000017,1,2.840000033,29.9366188,29.38156891,29.99560356,399.5676575,402.9341431,29.7584095,31.64746475,67.66423035,71.95835876,300.8432007,-0.05250591,0.059394814,96.5124588,-2.856163979,0.126599073,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501405334,0.000978138,302.5315689,303.0866188,-0.008400945,-0.429855191,4.111431657,42.60000945,10.9525447,29.65909386,4.177732768,0.085991508,3.054374638,1.12335813,0.053979642,41.87906557,1.076910307,74.10703445,403.9238732,-0.003819982
3,14:34:49,15.0000008,0,-2.047752696,0.088612516,433.3413194,0.977326436,1.05692343,29.37979507,6,1.420000017,1,2.840000033,29.93598747,29.37979507,29.99587822,399.6565857,402.9550781,29.75706482,31.64449883,67.66204834,71.95368195,300.8527222,-0.067500226,0.052928273,96.51242828,-2.856163979,0.126599073,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501421204,0.000977326,302.5297951,303.0859875,-0.010800036,-0.429303025,4.111010853,42.59566282,10.95116399,29.65789127,4.177443471,0.085931322,3.054087423,1.123356047,0.053941697,41.82282301,1.075408508,74.10718916,403.9284817,-0.003756932
4,14:34:51,17.00000076,0,-2.00694804,0.088538553,432.6411636,0.976687801,1.057091156,29.37968445,6,1.420000017,1,2.840000033,29.93593025,29.37968445,29.99752808,399.7585449,402.9761658,29.75622177,31.64244652,67.66017151,71.94963837,300.8495178,-0.074528039,0.068469465,96.51255798,-2.856163979,0.126599073,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501415863,0.000976688,302.5296844,303.0859303,-0.011924486,-0.428977221,4.110984611,42.59533367,10.95288715,29.65780735,4.177423282,0.085861766,3.053893454,1.123529828,0.053897844,41.75530539,1.07361477,74.10229281,403.9301728,-0.003681811
