OPEN 6.2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat Feb 13 2016 14:18:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#1.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""14:18:44 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:18:45 Lamp: ParIn ->  1200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:18:45 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:18:45 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:18:45 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14:18:47,9.500001151,0,1.095128536,0.026463582,319.8997945,0.573352721,2.02229704,32.95847702,6,1.420000017,1,2.840000033,30.47712517,32.95847702,30.0091095,400.791748,399.2033997,30.6059761,31.27228737,67.44980621,68.92422485,500.1470337,1199.494995,12.73242855,96.50828552,-1.377521515,0.237002611,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833578389,0.000573353,306.108477,303.6271252,191.9191949,1.597404096,5.040331878,52.22693421,20.95464684,31.71780109,4.699340852,0.026219266,3.018034838,1.681306014,0.016408818,30.8729807,0.801345366,58.516182,398.682828,0.001607361
2,14:18:49,11.50000111,0,1.08821189,0.026556371,320.5468877,0.574874851,2.020667311,32.95277405,6,1.420000017,1,2.840000033,30.47665405,32.95277405,30.00848579,400.7809143,399.2000122,30.60425377,31.27238655,67.4511795,68.92630005,500.107605,1199.478638,12.7991333,96.50843811,-1.377521515,0.237002611,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833512675,0.000574875,306.102774,303.6266541,191.9165777,1.597359165,5.038716493,52.21011335,20.9377268,31.71471405,4.698518106,0.026310347,3.018049182,1.680468924,0.016465895,30.93547947,0.802973141,58.53802814,398.6827284,0.001597806
3,14:18:52,14.00000105,0,1.026598155,0.026661952,324.4420853,0.576153481,2.017249985,32.94080353,6,1.420000017,1,2.840000033,30.47542191,32.94080353,30.00714874,400.6616516,399.1539307,30.60303307,31.27272224,67.45407104,68.93094635,500.0549011,1199.479858,12.82894516,96.50830078,-1.377521515,0.237002611,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833424835,0.000576153,306.0908035,303.6254219,191.9167731,1.598287176,5.03532727,52.17506918,20.90234694,31.70811272,4.696759166,0.026413977,3.018077285,1.678681882,0.016530837,31.31135436,0.812824478,58.58256327,398.6659351,0.00150855
4,14:18:54,16.00000101,0,0.963087748,0.026722573,328.2890616,0.577128702,2.016131654,32.93721008,6,1.420000017,1,2.840000033,30.47493553,32.93721008,30.00637436,400.5186157,399.0866089,30.60293961,31.27379417,67.45616913,68.93449402,500.0306091,1199.469116,12.8220892,96.50823212,-1.377521515,0.237002611,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833384349,0.000577129,306.0872101,303.6249355,191.9150543,1.59822285,5.034310242,52.16456805,20.89077388,31.70607281,4.696215744,0.026473474,3.018178587,1.678037157,0.016568122,31.68259695,0.822601045,58.59824115,398.6288031,0.001415734
