OPEN 6.2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat Feb 13 2016 14:09:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#1.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""14:09:16 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:09:16 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:09:16 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:09:16 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:09:17 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14:09:19,12.00000016,0,-1.501843139,0.032081283,468.327391,0.451480862,1.320983599,30.44288635,6,1.420000017,1,2.840000033,30.32627869,30.44288635,30.00828934,399.9700012,402.6011353,30.71602821,31.58748055,68.31135559,70.25246429,301.0283203,-0.17455335,0.351633161,96.5273819,-1.540088654,0.212710619,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501713867,0.000451481,303.5928864,303.4762787,-0.027928535,-0.250964115,4.370040397,45.27254662,13.68506608,30.38458252,4.355474381,0.031722934,3.049056798,1.306417583,0.019858721,45.20641693,1.163254025,68.91486999,403.3150396,-0.002566215
2,14:09:21,14.00000011,0,-1.497193559,0.032031082,468.1993512,0.450652869,1.320614472,30.44115448,6,1.420000017,1,2.840000033,30.3267765,30.44115448,30.00758362,399.9629822,402.5857544,30.71673584,31.58666611,68.30771637,70.24523163,301.0022278,-0.133252144,0.331552148,96.52783966,-1.540088654,0.212710619,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.50167038,0.000450653,303.5911545,303.4767765,-0.021320343,-0.250141625,4.369607114,45.26784323,13.68117713,30.38396549,4.355320456,0.031673847,3.048992641,1.306327814,0.019827943,45.1942719,1.162980424,68.92002065,403.2974485,-0.002558573
3,14:09:23,16.00000007,0,-1.497214456,0.031994214,468.272681,0.450018719,1.320263045,30.43932915,6,1.420000017,1,2.840000033,30.32688522,30.43932915,30.00674438,399.946228,402.5698547,30.71676826,31.58557129,68.30591583,70.2409668,300.9689941,-0.090074651,0.264397442,96.52785492,-1.540088654,0.212710619,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.50161499,0.000450019,303.5893291,303.4768852,-0.014411944,-0.249458008,4.369150488,45.26310558,13.67753429,30.38310719,4.355106348,0.031637797,3.048887443,1.306218905,0.019805339,45.20135741,1.16320851,68.92473929,403.2815588,-0.002558885
4,14:09:25,18.00000002,0,-1.486489617,0.031962899,467.7957072,0.449541929,1.320145663,30.43811989,6,1.420000017,1,2.840000033,30.32659149,30.43811989,30.00609779,399.9522095,402.5550842,30.7156868,31.58364868,68.30404663,70.23713684,300.9420776,-0.060165748,0.216586873,96.52787018,-1.540088654,0.212710619,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501570129,0.000449542,303.5881199,303.4765915,-0.009626519,-0.249025077,4.368848003,45.25996476,13.67631608,30.38235569,4.354918893,0.031607175,3.04870234,1.306216553,0.019786139,45.1553233,1.162066325,68.92509376,403.2616902,-0.002540694
