OPEN 6.2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Feb 10 2016 11:33:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#1.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""11:33:34 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:33:35 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:33:35 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:33:35 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:33:35 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11:33:37,10.50000019,0,-0.789980189,0.149087263,402.9842113,1.546009968,1.013691326,30.16702652,6,1.420000017,1,2.840000033,30.2695179,30.16702652,30.00732613,400.7557373,401.095459,31.02311516,34.00959396,69.31340027,75.98709106,300.0384521,0.125090599,0.177237302,96.6728363,-2.344546795,-0.394274473,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500064087,0.00154601,303.3170265,303.4195179,0.020014495,-0.787243046,4.301495236,44.49538671,10.48579275,30.21827221,4.314157347,0.14165121,3.28780391,1.026353437,0.089171351,38.95762669,1.004708985,76.69458918,401.4709777,-0.00150913
2,11:33:40,13.00000013,0,-0.860002064,0.149222587,403.8042357,1.546815761,1.013345638,30.16638184,6,1.420000017,1,2.840000033,30.26957512,30.16638184,30.00789261,400.6647034,401.1437073,31.02317047,34.0115242,69.31318665,75.98977661,300.0058899,0.113377601,0.15684475,96.6728363,-2.344546795,-0.394274473,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500009816,0.001546816,303.3163818,303.4195751,0.018140416,-0.78758451,4.301336149,44.4937411,10.4822169,30.21797848,4.314084678,0.141773366,3.287990511,1.026094166,0.089248806,39.03690077,1.006632357,76.70272638,401.5525111,-0.001642737
3,11:33:42,15.00000009,0,-0.93410671,0.149285637,404.639007,1.546943517,1.013023483,30.16571045,6,1.420000017,1,2.840000033,30.27008057,30.16571045,30.00759315,400.530426,401.1575012,31.0244751,34.01311874,69.31355286,75.99060822,300.0010681,0.076421775,0.172873676,96.67290497,-2.344546795,-0.394274473,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.50000178,0.001546944,303.3157104,303.4200806,0.012227484,-0.787554541,4.301170479,44.49199578,10.47887703,30.21789551,4.314064151,0.141830277,3.288146996,1.025917155,0.089284891,39.11762827,1.008678651,76.70972887,401.6015308,-0.001784233
4,11:33:44,17.00000004,0,-0.993005432,0.149311351,405.2691136,1.547005812,1.01289832,30.1657486,6,1.420000017,1,2.840000033,30.2703743,30.1657486,30.00718689,400.3892517,401.1341553,31.0256958,34.01449203,69.31489563,75.99201202,299.997406,0.055065781,0.17539826,96.67295837,-2.344546795,-0.394274473,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499995677,0.001547006,303.3157486,303.4203743,0.008810525,-0.787590812,4.301179892,44.49206857,10.47757653,30.21806145,4.314105204,0.141853486,3.288281573,1.025823632,0.089299608,39.17856415,1.010308168,76.71284024,401.6061825,-0.00189679
