OPEN 6.2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thr Feb 11 2016 10:54:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#1.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""10:54:20 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:54:22 Lamp: ParIn ->  1200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:54:22 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:54:22 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:54:22 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10:54:26,14.50000234,0,0.612225733,0.008036857,265.5828928,0.16846091,1.946328133,32.99494171,6,1.420000017,1,2.840000033,30.49291611,32.99494171,30.00130844,399.7472534,398.9319763,31.9171257,32.11277771,70.39090729,70.8092041,500.0239868,1199.875122,3.395203114,96.67002869,-2.528595924,-0.126854479,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833373311,0.000168461,306.1449417,303.6429161,191.9800152,1.804183985,5.050671275,52.24650643,20.13372872,31.74392891,4.706309355,0.008014178,3.104343142,1.601966212,0.005010894,25.67390586,0.665734783,59.88048926,398.6409535,0.000919634
2,10:54:29,20.00000221,0,0.587711707,0.008045365,270.7270575,0.169049114,1.951010891,33.01218796,6,1.420000017,1,2.840000033,30.49383736,33.01218796,30.0025444,399.9645691,399.1782837,31.91862869,32.11498642,70.39710236,70.82421112,499.9653625,1200.00708,3.302455902,96.67003632,-2.528595924,-0.126854479,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833275604,0.000169049,306.162188,303.6438374,192.0011285,1.801714958,5.055567795,52.29715419,20.18216777,31.75301266,4.708734171,0.008022637,3.104556903,1.604177268,0.005016185,26.17119448,0.678210886,59.82192618,398.8989137,0.000881377
3,10:54:31,22.00000217,0,0.607506979,0.008054962,267.0935491,0.169051635,1.94874142,33.00408173,6,1.420000017,1,2.840000033,30.49323463,33.00408173,30.002491,400.0844116,399.2743225,31.91836357,32.11473083,70.39936829,70.82830048,499.9486694,1199.996826,3.268718004,96.66979218,-2.528595924,-0.126854479,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833247782,0.000169052,306.1540817,303.6432346,191.9994879,1.80280442,5.053265776,52.27347305,20.15874221,31.74865818,4.707571651,0.00803218,3.104524356,1.603047295,0.005022155,25.81987789,0.668947473,59.85101757,398.9855428,0.000911309
4,10:54:33,24.00000212,0,0.611404894,0.00806009,266.4950422,0.168940205,1.946246341,32.99510193,6,1.420000017,1,2.840000033,30.49239922,32.99510193,30.00171852,400.1661377,399.3514099,31.91797066,32.11420822,70.40175629,70.83132172,499.9496155,1200.015259,3.249762297,96.66968536,-2.528595924,-0.126854479,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833249359,0.00016894,306.1451019,303.6423992,192.0024371,1.804102361,5.050716745,52.24716235,20.13295412,31.74375057,4.70626176,0.00803728,3.104470404,1.601791356,0.005025344,25.76199188,0.667319648,59.88281997,399.0607773,0.000917471
