OPEN 6.2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Feb 10 2016 14:22:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#1.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""14:22:37 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:22:40 Lamp: ParIn ->  1200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:22:40 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:22:40 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:22:40 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14:22:42,11.00000208,0,0.682459911,0.02898676,349.3638623,0.604986347,1.946785962,32.94639206,6,1.420000017,1,2.840000033,30.56677246,32.94639206,30.00721741,401.0935669,399.984375,31.35339355,32.05601501,68.6734848,70.21284485,500.0640564,1199.852539,0.092801519,96.39761353,-0.176578045,0.071763277,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833440094,0.000604986,306.0963921,303.7167725,191.976402,1.59618164,5.036909308,52.25139009,20.19537508,31.75658226,4.709687339,0.028693893,3.090123347,1.619563993,0.017959767,33.67784258,0.873443775,60.05632257,399.6599662,0.001025523
2,14:22:44,13.00000203,0,0.620246057,0.029029798,352.8345295,0.606073856,1.947410899,32.9488945,6,1.420000017,1,2.840000033,30.56725883,32.9488945,30.00700569,401.0382385,400.0031128,31.35303116,32.0569458,68.67159271,70.212677,500.0421448,1199.850586,0.114822917,96.39742279,-0.176578045,0.071763277,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833403575,0.000606074,306.0988945,303.7172588,191.9760895,1.595316807,5.037617856,52.25884376,20.20189796,31.75807667,4.710086431,0.028736065,3.090206958,1.619879474,0.017986202,34.01233931,0.882079459,60.04954466,399.7082775,0.000931817
3,14:22:47,15.50000198,0,0.487398867,0.029125988,360.1711986,0.607731585,1.946356401,32.94550705,6,1.420000017,1,2.840000033,30.56787872,32.94550705,30.00610733,400.8577576,399.9812317,31.35217857,32.0580368,68.66772461,70.21224976,500.028656,1199.825073,0.131622627,96.39711761,-0.176578045,0.071763277,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833381093,0.000607732,306.095507,303.7178787,191.9720074,1.594998284,5.036658745,52.24905962,20.19102281,31.75669289,4.709716882,0.028830315,3.090302344,1.619414538,0.01804528,34.71946539,0.900470247,60.06509394,399.7495456,0.00073235
4,14:22:49,17.50000193,0,0.375958969,0.029181103,366.2142749,0.608540866,1.945309218,32.94201279,6,1.420000017,1,2.840000033,30.56816483,32.94201279,30.00543213,400.6463318,399.9031677,31.35189629,32.05871964,68.66580963,70.21235657,500.010498,1199.801025,0.113847762,96.39687347,-0.176578045,0.071763277,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83335083,0.000608541,306.0920128,303.7181648,191.9681598,1.595089389,5.035669558,52.23893034,20.1802107,31.75508881,4.709288532,0.028884316,3.09036034,1.618928191,0.018079129,35.30191112,0.915757374,60.07970309,399.7244548,0.000565077
5,14:22:51,19.50000189,0,0.304299219,0.029155251,369.9787186,0.608147841,1.945753682,32.94347382,6,1.420000017,1,2.840000033,30.5682373,32.94347382,30.00507355,400.4400024,399.7830811,31.3520298,32.05842209,68.66544342,70.21169281,499.9926453,1199.7948,0.096066482,96.39680481,-0.176578045,0.071763277,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833321075,0.000608148,306.0934738,303.7182373,191.9671637,1.595076188,5.036083139,52.24325794,20.18483586,31.75585556,4.70949328,0.028858986,3.090329457,1.619163823,0.018063252,35.66476632,0.925448665,60.07341749,399.6384318,0.000457421
6,14:22:53,21.50000184,0,0.285366971,0.029108796,370.8506866,0.607534762,1.946851671,32.9471283,6,1.420000017,1,2.840000033,30.5682869,32.9471283,30.00481415,400.2856445,399.651825,31.35208893,32.0577774,68.66531372,70.21032715,499.9870911,1199.789551,0.097320564,96.39676666,-0.176578045,0.071763277,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833311818,0.000607535,306.0971283,303.7182869,191.9663238,1.594852695,5.037117759,52.25401156,20.19623415,31.7577076,4.709987865,0.02881347,3.090266088,1.619721777,0.018034721,35.7488071,0.927934426,60.05823497,399.5161752,0.000428985
7,14:22:55,23.5000018,0,0.302463014,0.029081051,369.775387,0.607323934,1.948002236,32.95101929,6,1.420000017,1,2.840000033,30.56855774,32.95101929,30.00448418,400.1820374,399.5278931,31.35183716,32.05728149,68.66408539,70.20868683,499.9868164,1199.77478,0.106748924,96.39673615,-0.176578045,0.071763277,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833311361,0.000607324,306.1010193,303.7185577,191.9639606,1.5944,5.038219542,52.26545777,20.20817627,31.75978851,4.710543628,0.028786285,3.090217306,1.620326322,0.018017681,35.64514041,0.925530841,60.04275492,399.3841166,0.000454718
8,14:22:57,25.50000175,0,0.294417641,0.029069043,370.045644,0.607388831,1.948995731,32.95441818,6,1.420000017,1,2.840000033,30.56916618,32.95441818,30.00388908,400.011261,399.3668518,31.3514576,32.05698395,68.66106415,70.20600128,499.9822693,1199.756348,0.116323151,96.39666748,-0.176578045,0.071763277,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833303782,0.000607389,306.1044182,303.7191662,191.9610113,1.593918085,5.039182153,52.27548094,20.21849699,31.76179218,4.711078813,0.028774519,3.090186422,1.620892391,0.018010306,35.6711669,0.926580767,60.02964297,399.2268998,0.0004427
9,14:22:59,27.50000171,0,0.303128772,0.029042477,369.3678412,0.607065506,1.94971535,32.95664978,6,1.420000017,1,2.840000033,30.56980133,32.95664978,30.00330734,399.8327942,399.1782227,31.3509388,32.05609131,68.65805054,70.20241547,499.9815063,1199.745972,0.106465496,96.3966217,-0.176578045,0.071763277,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833302511,0.000607066,306.1066498,303.7198013,191.9593512,1.593827324,5.039814258,52.28206309,20.22597178,31.76322556,4.711461703,0.028748488,3.090098907,1.621362796,0.017993989,35.60581206,0.925320622,60.01941096,399.0341298,0.000455941
10,14:23:01,30.00000165,0,0.360887705,0.029014271,365.957649,0.606877133,1.950973619,32.96082306,6,1.420000017,1,2.840000033,30.57027817,32.96082306,30.00297165,399.6678467,398.9442139,31.35037041,32.05531311,68.65472412,70.19907379,499.9755249,1199.735474,0.084489435,96.39659119,-0.176578045,0.071763277,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833292542,0.000606877,306.1108231,303.7202782,191.9576715,1.593358614,5.040996532,52.29434433,20.23903122,31.76555061,4.712082842,0.028720851,3.090022913,1.622059929,0.017976665,35.27706988,0.917315345,60.00235847,398.7726651,0.000543019
11,14:23:03,32.00000161,0,0.441799734,0.02898349,361.3446849,0.606608096,1.952147267,32.96477127,6,1.420000017,1,2.840000033,30.57058334,32.96477127,30.00299644,399.605835,398.7853394,31.35011101,32.05474854,68.65312195,70.19686127,499.9706116,1199.718628,0.085893765,96.39657593,-0.176578045,0.071763277,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833284353,0.000606608,306.1147713,303.7205833,191.9549762,1.592928487,5.042115268,52.30595817,20.25120963,31.76767731,4.712651051,0.028690689,3.089968001,1.62268305,0.017957759,34.83239036,0.906113263,59.98651693,398.5753289,0.000664919
12,14:23:05,34.00000156,0,0.529822723,0.028974453,356.4013431,0.606567298,1.952612514,32.96623611,6,1.420000017,1,2.840000033,30.5709095,32.96623611,30.00289917,399.5964661,398.6704407,31.34967422,32.05426407,68.65126801,70.19444275,499.9710693,1199.69812,0.093788311,96.39646912,-0.176578045,0.071763277,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833285116,0.000606567,306.1162361,303.7209095,191.9516949,1.592741796,5.04253039,52.31032253,20.25605846,31.76857281,4.712890328,0.028681834,3.089917876,1.622972451,0.017952208,34.35583106,0.893974839,59.98006844,398.4185883,0.000797624
13,14:23:07,36.00000152,0,0.602713724,0.029011893,352.3782297,0.607367497,1.952687297,32.966465,6,1.420000017,1,2.840000033,30.57129478,32.966465,30.00271606,399.6097412,398.5959167,31.34869003,32.05420685,68.64781189,70.19250488,499.9729004,1199.677368,0.090903401,96.39633179,-0.176578045,0.071763277,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833288167,0.000607367,306.116465,303.7212948,191.9483746,1.592310263,5.042595256,52.31106996,20.25686311,31.76887989,4.712972382,0.02871852,3.089907959,1.623064424,0.017975204,33.96796874,0.884048769,59.97955836,398.3094155,0.000907599
