OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Feb 10 2016 14:15:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""14:15:28 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:15:29 Lamp: ParIn ->  1200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:15:29 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:15:29 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:15:29 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14:15:32,13.00000031,0,2.06609084,0.038855774,304.8519349,0.427018231,1.030328641,30.1110096,6,1.420000017,1,2.840000033,30.57835388,30.1110096,29.99369621,399.8523865,397.1703186,33.34423828,33.83917999,72.89428711,73.97387695,500.1416626,1199.744507,0.329411805,96.26009369,-0.628500998,0.119532481,0.050707962,0.00294861,0.035726491,0.002881989,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833569438,0.000427018,303.2610096,303.7283539,191.9591168,2.018182316,4.287691277,44.54277066,10.70359067,30.34468174,4.345530388,0.03833134,3.257362636,1.088167751,0.024003659,29.34507582,0.767559711,75.32747355,396.188198,0.00392827
2,14:15:34,15.00000027,0,2.085363983,0.038886926,304.1209356,0.427413202,1.030474437,30.11097527,6,1.420000017,1,2.840000033,30.57849121,30.11097527,29.99376678,399.87323,397.1677551,33.34194183,33.83736038,72.88619995,73.9670105,500.1233826,1199.758179,0.381874919,96.26071167,-0.628500998,0.119532481,0.050707962,0.00294861,0.035726491,0.002881989,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833538971,0.000427413,303.2609753,303.7284912,191.9613043,2.018033831,4.287682829,44.54239694,10.70503656,30.34473324,4.345543209,0.038361656,3.257208391,1.088334818,0.02402268,29.27489769,0.765724135,75.32422883,396.176473,0.00396486
3,14:15:36,17.00000022,0,2.0968942,0.03892108,303.7177658,0.427843276,1.03062287,30.11084938,6,1.420000017,1,2.840000033,30.57897568,30.11084938,29.99378204,399.8856201,397.1661072,33.33947372,33.835392,72.87883759,73.96091461,500.1231689,1199.744751,0.412962109,96.26100922,-0.628500998,0.119532481,0.050707962,0.00294861,0.035726491,0.002881989,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833538615,0.000427843,303.2608494,303.7289757,191.9591559,2.017878908,4.287651851,44.54193745,10.70654545,30.34491253,4.345587848,0.038394893,3.257028981,1.088558867,0.024043535,29.23617865,0.764712195,75.32082011,396.1693441,0.003986674
4,14:15:38,19.50000017,0,2.120402513,0.038870483,302.6367884,0.427374166,1.030818264,30.11066818,6,1.420000017,1,2.840000033,30.57967567,30.11066818,29.99341774,399.9154053,397.1679077,33.33746338,33.83283997,72.87071228,73.95248413,500.122406,1199.708374,0.441177636,96.26117706,-0.628500998,0.119532481,0.050707962,0.00294861,0.035726491,0.002881989,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833537343,0.000427374,303.2606682,303.7296757,191.9533356,2.018167262,4.287607263,44.54139658,10.70855661,30.34517193,4.345652431,0.038345654,3.256788998,1.088863433,0.02401264,29.13217347,0.761987015,75.31549043,396.1599699,0.004031178
5,14:15:40,21.50000012,0,2.130107608,0.038827762,302.1476233,0.426963145,1.030946593,30.11050224,6,1.420000017,1,2.840000033,30.58006668,30.11050224,29.99309731,399.9348145,397.1758728,33.33615875,33.8310585,72.86638641,73.94754028,500.1237488,1199.706909,0.419411659,96.26124573,-0.628500998,0.119532481,0.050707962,0.00294861,0.035726491,0.002881989,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833539581,0.000426963,303.2605022,303.7300667,191.9531012,2.018445527,4.287566429,44.54094061,10.70988211,30.34528446,4.34568045,0.038304079,3.256619836,1.089060614,0.023986555,29.08510661,0.760740125,75.31184467,396.1633217,0.004049399
6,14:15:42,23.50000008,0,2.13001668,0.038816345,302.1328751,0.426875783,1.03103611,30.11012077,6,1.420000017,1,2.840000033,30.58028221,30.11012077,29.99284935,399.9423828,397.1836243,33.33436584,33.82915878,72.86185455,73.94272614,500.1303406,1199.718628,0.389381766,96.26123047,-0.628500998,0.119532481,0.050707962,0.00294861,0.035726491,0.002881989,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833550568,0.000426876,303.2601208,303.7302822,191.9549762,2.018592368,4.28747256,44.53997253,10.71081374,30.34520149,4.345659792,0.038292967,3.25643645,1.089223342,0.023979583,29.08368232,0.760688147,75.30909936,396.1711164,0.004048999
7,14:15:44,25.50000003,0,2.133926274,0.038840751,302.02659,0.427197676,1.031175544,30.10995293,6,1.420000017,1,2.840000033,30.58041954,30.10995293,29.9926548,399.9485779,397.1849976,33.33210754,33.82727051,72.85681152,73.93817139,500.1344299,1199.725342,0.377464831,96.26126099,-0.628500998,0.119532481,0.050707962,0.00294861,0.035726491,0.002881989,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833557383,0.000427198,303.2599529,303.7304195,191.9560504,2.018486178,4.287431259,44.53952935,10.71225884,30.34518623,4.345655993,0.03831672,3.256255715,1.089400278,0.023994486,29.07346041,0.760417921,75.30576168,396.1706312,0.004056256
8,14:15:46,27.49999999,0,2.152731231,0.03885664,301.2898299,0.427485024,1.031456196,30.10981941,6,1.420000017,1,2.840000033,30.58059692,30.10981941,29.99224854,399.9771423,397.1908569,33.32847214,33.82397079,72.84737396,73.9295578,500.1334839,1199.717896,0.370096266,96.26138306,-0.628500998,0.119532481,0.050707962,0.00294861,0.035726491,0.002881989,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833555806,0.000427485,303.2598194,303.7305969,191.954859,2.018372318,4.287398405,44.53913157,10.71516078,30.34520817,4.345661454,0.038332182,3.255942209,1.089719245,0.024004188,29.00257572,0.758551776,75.2990353,396.1675516,0.004091667
