OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thr Feb 11 2016 13:58:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""13:58:52 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:58:53 Lamp: ParIn ->  1200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:58:54 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:58:54 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:58:54 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13:58:56,12.50000037,0,2.013111625,0.034353512,292.379636,0.609140996,1.658044993,31.62789154,6,1.420000017,1,2.840000033,30.74783134,31.62789154,29.99354935,399.6955261,396.9907227,30.64592743,31.35368538,66.32058716,67.85069275,500.2067566,1198.702393,2.618263006,96.23700714,0.339710414,0.14693661,0.027834842,0.003049803,0.014533146,0.004368583,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833677928,0.000609141,304.7778915,303.8978313,191.7923785,1.737815444,4.675429837,48.58245259,17.22876721,31.18786144,4.559927511,0.033942928,3.017384844,1.542542668,0.02125084,28.13774112,0.736489846,63.50215275,396.0337858,0.00322793
2,13:58:58,14.50000032,0,2.008422494,0.034850663,293.9894228,0.610785335,1.639236027,31.55741882,6,1.420000017,1,2.840000033,30.74842834,31.55741882,29.99366951,399.6546326,396.9545593,30.64575005,31.35545349,66.3184967,67.85197449,500.1812134,1198.744751,2.580698967,96.23608398,0.339710414,0.14693661,0.027834842,0.003049803,0.014533146,0.004368583,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833635356,0.000610785,304.7074188,303.8984283,191.7991559,1.747006022,4.656762083,48.38893989,17.0334864,31.15292358,4.5508642,0.034428183,3.017526056,1.533338144,0.021555177,28.29239078,0.740612284,63.78141788,395.9998515,0.003234851
3,13:59:00,16.50000028,0,2.024210222,0.03561198,295.3889045,0.612142123,1.608438808,31.44130898,6,1.420000017,1,2.840000033,30.74905396,31.44130898,29.99355888,399.652771,396.9331055,30.64620209,31.35748672,66.31777954,67.85417175,500.1768799,1198.769653,2.558358431,96.23564911,0.339710414,0.14693661,0.027834842,0.003049803,0.014533146,0.004368583,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833628133,0.000612142,304.591309,303.899054,191.8031402,1.762679701,4.626146897,48.07103127,16.71354454,31.09518147,4.535919573,0.035170957,3.017708089,1.518211483,0.02202105,28.42694297,0.74417805,64.24204286,395.9708929,0.003284065
4,13:59:02,18.50000023,0,2.057019845,0.03599811,294.9824737,0.613378237,1.594727295,31.38963318,6,1.420000017,1,2.840000033,30.74969482,31.38963318,29.99332047,399.6963806,396.9368286,30.64629745,31.35900116,66.31587982,67.85508728,500.1882019,1198.779785,2.547968388,96.2355423,0.339710414,0.14693661,0.027834842,0.003049803,0.014533146,0.004368583,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833647003,0.000613378,304.5396332,303.8996948,191.8047613,1.769384507,4.612577777,47.93008557,16.57108441,31.069664,4.529328856,0.035547531,3.017850483,1.511478374,0.022257254,28.38779832,0.743147152,64.44992996,395.9590199,0.003348195
