OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Feb 10 2016 10:10:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""10:10:43 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:10:45 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:10:46 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:10:46 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:10:46 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10:10:48,16.0000019,0,-0.609634185,0.074410173,405.5960609,0.955131635,1.224274985,30.09772873,6,1.420000017,1,2.840000033,30.16082764,30.09772873,30.0013504,400.2049255,400.6583862,29.82567215,31.67361832,67.00791168,71.16366577,300.2941895,-0.011952974,0.131946564,96.61508179,-1.046683311,0.083766274,0.025022076,0.003274167,0.018986231,0.001612054,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500490316,0.000955132,303.2477287,303.3108276,-0.001912476,-0.467018935,4.284424209,44.34529402,12.67167571,30.12927818,4.292188861,0.072510347,3.060149224,1.232039637,0.045485909,39.1866966,1.012323902,71.0543455,400.9481771,-0.001080368
2,10:10:50,18.00000186,0,-0.599418028,0.074370422,405.3931019,0.954162628,1.22367381,30.09497261,6,1.420000017,1,2.840000033,30.16090775,30.09497261,30.00092316,400.2330627,400.6669312,29.82652283,31.67285347,67.01197815,71.16333008,300.2522583,-0.025303978,0.106035128,96.61499786,-1.046683311,0.083766274,0.025022076,0.003274167,0.018986231,0.001612054,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500420431,0.000954163,303.2449726,303.3109077,-0.004048636,-0.466177506,4.283746481,44.33831781,12.66546434,30.12794018,4.291859315,0.072472599,3.06007267,1.231786645,0.045462143,39.16705367,1.011795759,71.06370364,400.9518658,-0.001062393
3,10:10:52,20.00000181,0,-0.614763561,0.074379192,405.7250842,0.953949892,1.223264934,30.09289932,6,1.420000017,1,2.840000033,30.16084099,30.09289932,30.0001812,400.198761,400.6635132,29.8257103,31.6717968,67.01226044,71.162323,300.2253418,0.002248659,0.091148183,96.61503601,-1.046683311,0.083766274,0.025022076,0.003274167,0.018986231,0.001612054,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.50037557,0.00095395,303.2428993,303.310841,0.000359785,-0.465750891,4.283236722,44.33302412,12.66122732,30.12687016,4.291595789,0.072480927,3.059971788,1.231624,0.045467386,39.19914362,1.012632972,71.07011229,400.9557423,-0.001089679
4,10:10:54,22.50000175,0,-0.644988913,0.074403547,406.3750849,0.954020157,1.222968686,30.09165955,6,1.420000017,1,2.840000033,30.16059875,30.09165955,29.99936295,400.132843,400.657959,29.8254261,31.67166328,67.0128479,71.16270447,300.2229919,0.028663892,0.083859935,96.61517334,-1.046683311,0.083766274,0.025022076,0.003274167,0.018986231,0.001612054,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500371653,0.00095402,303.2416595,303.3105988,0.004586223,-0.465603622,4.282931924,44.32980634,12.65814306,30.12612915,4.291413301,0.072504054,3.059963238,1.231450063,0.045481947,39.26199927,1.014269343,71.07535226,400.9645558,-0.001143313
