OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Feb 10 2016 11:07:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""11:07:41 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:07:43 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:07:43 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:07:43 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:07:43 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11:07:46,71,0,-0.531245548,0.013761206,453.3425449,0.19804873,1.343995821,30.25288773,6,1.420000017,1,2.840000033,30.32961655,30.25288773,29.99480057,400.2957153,401.1984863,30.45650482,30.84004402,67.71138,68.55865479,300.2679749,0.217438057,0.078885362,96.58653259,-0.896266758,0.10360346,0.021390278,0.002930177,0.017695533,0.003993782,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500446625,0.000198049,303.4028877,303.4796165,0.034790088,-0.087767574,4.322728738,44.75498418,13.91494015,30.29125214,4.332245752,0.013694847,2.978732917,1.353512835,0.008565217,43.78678449,1.129970726,67.84310033,401.451015,-0.000897777
2,11:07:48,72.99999996,0,-0.529249339,0.013762813,453.115203,0.197995111,1.343479385,30.25046158,6,1.420000017,1,2.840000033,30.32959557,30.25046158,29.99505997,400.3061218,401.2050171,30.45572853,30.83919525,67.72584534,68.57509613,300.2436829,0.098777883,0.153411835,96.58644104,-0.896266758,0.10360346,0.021390278,0.002930177,0.017695533,0.003993782,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500406138,0.000197995,303.4004616,303.4795956,0.015804461,-0.087628734,4.322127499,44.74880172,13.90960647,30.29002857,4.331941942,0.01369644,2.978648114,1.353293828,0.008566213,43.76478484,1.129385685,67.85112078,401.4565969,-0.000894497
3,11:07:50,75.4999999,0,-0.551949458,0.013794559,455.5943953,0.198393007,1.343095193,30.24925804,6,1.420000017,1,2.840000033,30.32937813,30.24925804,29.99500465,400.2637634,401.2077637,30.45587921,30.8401413,67.73387146,68.58577728,300.2240601,0.04376838,0.231239453,96.58626556,-0.896266758,0.10360346,0.021390278,0.002930177,0.017695533,0.003993782,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500373433,0.000198393,303.399258,303.4793781,0.007002941,-0.087792361,4.32182927,44.74579533,13.90565403,30.28931808,4.331765537,0.01372788,2.978734077,1.35303146,0.008585891,44.00416126,1.135557276,67.85848849,401.470134,-0.000932933
4,11:07:52,77.49999985,0,-0.574087356,0.013797435,458.1330249,0.198418002,1.34298503,30.24930382,6,1.420000017,1,2.840000033,30.32908249,30.24930382,29.99508667,400.222168,401.2104187,30.45707321,30.84139442,67.73967743,68.59239197,300.2153015,0.027464427,0.255768389,96.58628082,-0.896266758,0.10360346,0.021390278,0.002930177,0.017695533,0.003993782,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500358836,0.000198418,303.3993038,303.4790825,0.004394308,-0.087880657,4.321840613,44.74590569,13.90451127,30.28919315,4.331734519,0.013730728,2.978855583,1.352878936,0.008587673,44.249365,1.141877189,67.86121876,401.4833123,-0.000970358
5,11:07:54,79.49999981,0,-0.589165077,0.013791504,459.8961157,0.198309695,1.342826077,30.24901581,6,1.420000017,1,2.840000033,30.32890129,30.24901581,29.99507523,400.1890564,401.20755,30.4581871,30.84230614,67.74452209,68.59715271,300.2090759,0.002324691,0.266741872,96.58626556,-0.896266758,0.10360346,0.021390278,0.002930177,0.017695533,0.003993782,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.50034846,0.00019831,303.3990158,303.4789013,0.000371951,-0.08785769,4.321769249,44.74517389,13.90286776,30.28895855,4.331676272,0.013724854,2.978943171,1.352733101,0.008583997,44.41964836,1.146279814,67.8644222,401.4876109,-0.00099588
6,11:07:56,81.49999977,0,-0.596265524,0.013791714,460.7065518,0.198290814,1.342678169,30.24876022,6,1.420000017,1,2.840000033,30.3288002,30.24876022,29.99493027,400.1673279,401.2000427,30.45908546,30.84317207,67.74808502,68.60090637,300.2055664,-0.015539868,0.291262716,96.58629608,-0.896266758,0.10360346,0.021390278,0.002930177,0.017695533,0.003993782,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500342611,0.000198291,303.3987602,303.4788002,-0.002486379,-0.087859608,4.321705919,44.74450408,13.90133201,30.28878021,4.331631995,0.013725062,2.97902775,1.352604245,0.008584127,44.49793942,1.148321293,67.86749007,401.4834788,-0.001007938
7,11:07:58,83.49999972,0,-0.606183504,0.013782463,461.8881143,0.198144315,1.342583504,30.24871063,6,1.420000017,1,2.840000033,30.32875824,30.24871063,29.99494171,400.1391907,401.191864,30.46018028,30.84398842,67.75132751,68.60401917,300.2011719,-0.017784638,0.29442057,96.58641052,-0.896266758,0.10360346,0.021390278,0.002930177,0.017695533,0.003993782,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500335286,0.000198144,303.3987106,303.4787582,-0.002845542,-0.087789709,4.321693632,44.74432385,13.90033543,30.28873444,4.33162063,0.0137159,2.979110128,1.352510502,0.008578393,44.61211503,1.151289834,67.86954944,401.4800146,-0.001024743
8,11:08:00,85.49999968,0,-0.62869245,0.013771117,464.5364692,0.197930615,1.342237228,30.24783325,6,1.420000017,1,2.840000033,30.32872391,30.24783325,29.99494171,400.0862122,401.184082,30.46188545,30.84529114,67.76016235,68.6129303,300.1917725,-0.050425269,0.319547921,96.5865097,-0.896266758,0.10360346,0.021390278,0.002930177,0.017695533,0.003993782,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500319621,0.000197931,303.3978333,303.4787239,-0.008068043,-0.087627862,4.32147624,44.74202715,13.89673601,30.28827858,4.331507453,0.013704664,2.979239012,1.352268441,0.008571361,44.86795619,1.157913511,67.87610942,401.4829323,-0.001062889
9,11:08:02,87.49999963,0,-0.644960543,0.013757478,466.4712534,0.197689863,1.341927435,30.24732971,6,1.420000017,1,2.840000033,30.32869148,30.24732971,29.99472809,400.0358582,401.1664429,30.46425629,30.84719467,67.76582336,68.61798859,300.191925,-0.063930184,0.338082671,96.58654785,-0.896266758,0.10360346,0.021390278,0.002930177,0.017695533,0.003993782,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500319875,0.00019769,303.3973297,303.4786915,-0.010228829,-0.087468469,4.32135148,44.74071779,13.89352312,30.2880106,4.331440921,0.013691155,2.979424044,1.352016877,0.008562906,45.05484804,1.162787321,67.88243307,401.4730262,-0.001090521
10,11:08:04,89.49999959,0,-0.646640109,0.013755253,466.6566556,0.197618397,1.341658267,30.24712372,6,1.420000017,1,2.840000033,30.32869911,30.24712372,29.99463272,400.0093994,401.1434021,30.46662903,30.84942627,67.77114868,68.62319946,300.1933594,-0.055271901,0.351017982,96.58663177,-0.896266758,0.10360346,0.021390278,0.002930177,0.017695533,0.003993782,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500322266,0.000197618,303.3971237,303.4786991,-0.008843504,-0.08738826,4.321300442,44.74015051,13.89072424,30.28791142,4.331416298,0.013688952,2.979642176,1.351774122,0.008561527,45.07279456,1.163316293,67.88844326,401.4507838,-0.001093519
11,11:08:07,91.99999953,0,-0.640552099,0.013765151,465.8704485,0.197717004,1.341367049,30.24695778,6,1.420000017,1,2.840000033,30.32882118,30.24695778,29.99477768,399.9884644,401.1102295,30.46899796,30.85198402,67.77687073,68.62895966,300.1942749,-0.041581567,0.356740177,96.58673096,-0.896266758,0.10360346,0.021390278,0.002930177,0.017695533,0.003993782,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500323792,0.000197717,303.3969578,303.4788212,-0.006653051,-0.087373501,4.32125933,44.73967891,13.88769488,30.28788948,4.331410852,0.013698755,2.97989228,1.351518572,0.008567662,44.99690367,1.161452425,67.89518444,401.4147173,-0.001083428
12,11:08:09,93.99999949,0,-0.634877846,0.013772843,465.1470197,0.197804541,1.34121434,30.24703789,6,1.420000017,1,2.840000033,30.32878304,30.24703789,29.99491882,399.9701233,401.0804749,30.47060585,30.85375595,67.78105164,68.63324738,300.1980591,-0.032084804,0.367663294,96.58677673,-0.896266758,0.10360346,0.021390278,0.002930177,0.017695533,0.003993782,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500330098,0.000197805,303.3970379,303.478783,-0.005133569,-0.087415985,4.321279177,44.73986319,13.88610724,30.28791046,4.331416061,0.013706373,2.980064837,1.351351224,0.00857243,44.92705134,1.159734888,67.89904078,401.3822654,-0.001073979
13,11:08:11,95.99999944,0,-0.633735958,0.013795325,464.8759634,0.198094417,1.340999529,30.24694443,6,1.420000017,1,2.840000033,30.32872009,30.24694443,29.99515724,399.9497986,401.0576172,30.47205353,30.85575485,67.78462219,68.63788605,300.2054749,-0.023451509,0.381881267,96.58673096,-0.896266758,0.10360346,0.021390278,0.002930177,0.017695533,0.003993782,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500342458,0.000198094,303.3969444,303.4787201,-0.003752241,-0.087540565,4.321256022,44.73964466,13.88388981,30.28783226,4.331396647,0.013728638,2.980256492,1.351140154,0.008586366,44.90084961,1.159125132,67.90423329,401.3588649,-0.001072191
14,11:08:13,97.9999994,0,-0.629810511,0.013820343,464.275357,0.198409101,1.340708277,30.24656296,6,1.420000017,1,2.840000033,30.32865334,30.24656296,29.99515152,399.9373779,401.0370789,30.47351837,30.8578186,67.78855896,68.64276886,300.2131348,-0.022834854,0.401125848,96.58664703,-0.896266758,0.10360346,0.021390278,0.002930177,0.017695533,0.003993782,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500355225,0.000198409,303.396563,303.4786533,-0.003653577,-0.087653401,4.321161511,44.73870502,13.88088642,30.28760815,4.331341008,0.013753414,2.980453234,1.350887774,0.008601872,44.84280003,1.157686861,67.91076491,401.3364606,-0.001065712
15,11:08:15,99.99999935,0,-0.614809157,0.013833692,462.462286,0.198576579,1.340549604,30.24664688,6,1.420000017,1,2.840000033,30.32855797,30.24664688,29.99509811,399.9447327,401.0143127,30.47506523,30.85968399,67.79277802,68.64736938,300.2171326,-0.024314832,0.426231027,96.58662415,-0.896266758,0.10360346,0.021390278,0.002930177,0.017695533,0.003993782,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500361888,0.000198577,303.3966469,303.478558,-0.003890373,-0.087763801,4.321182303,44.73893089,13.8792469,30.28760242,4.331339587,0.013766635,2.980632699,1.350706888,0.008610146,44.667671,1.153231372,67.91483227,401.3065636,-0.001040468
16,11:08:17,101.9999993,0,-0.606594355,0.013847146,461.4321967,0.198765049,1.34052201,30.24732018,6,1.420000017,1,2.840000033,30.32836914,30.24732018,29.99529076,399.9411621,400.9941711,30.47671509,30.86169434,67.79702759,68.65216064,300.2200623,-0.028409613,0.424359739,96.58663177,-0.896266758,0.10360346,0.021390278,0.002930177,0.017695533,0.003993782,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.50036677,0.000198765,303.3973202,303.4783691,-0.004545538,-0.087982075,4.321349117,44.74065445,13.87896012,30.28784466,4.331399724,0.013779959,2.980827107,1.350572618,0.008618485,44.56818167,1.150720459,67.91682025,401.282517,-0.001026657
17,11:08:19,103.9999993,0,-0.602890086,0.013869013,460.880583,0.199069709,1.340467084,30.24797058,6,1.420000017,1,2.840000033,30.3280201,30.24797058,29.99544907,399.9298706,400.9752197,30.4783802,30.86394119,67.80172729,68.65825653,300.2258606,-0.043012451,0.412847996,96.58660126,-0.896266758,0.10360346,0.021390278,0.002930177,0.017695533,0.003993782,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500376434,0.00019907,303.3979706,303.4780201,-0.006881992,-0.088295842,4.321510266,44.74233702,13.87839583,30.28799534,4.331437133,0.013801613,2.981043181,1.350393952,0.008632038,44.5148891,1.149399166,67.91951144,401.2618048,-0.001020481
18,11:08:21,106.4999992,0,-0.591989467,0.013897844,459.4758222,0.199457528,1.340302615,30.24837494,6,1.420000017,1,2.840000033,30.32749748,30.24837494,29.99505424,399.934082,400.9573364,30.48038483,30.8666935,67.80799103,68.66609192,300.2276917,-0.067062914,0.404212624,96.58656311,-0.896266758,0.10360346,0.021390278,0.002930177,0.017695533,0.003993782,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500379486,0.000199458,303.3983749,303.4774975,-0.010730066,-0.08865827,4.321610454,44.74339199,13.8766985,30.28793621,4.331422454,0.013830165,2.981307839,1.350114614,0.008649908,44.3791905,1.145946914,67.9244518,401.2387399,-0.00100216
19,11:08:23,108.4999992,0,-0.584288415,0.013922066,458.4746551,0.199772173,1.340091057,30.24839973,6,1.420000017,1,2.840000033,30.32720757,30.24839973,29.99452782,399.942688,400.9503174,30.48202705,30.86894989,67.81256104,68.67205048,300.2232971,-0.083293647,0.405944496,96.58655548,-0.896266758,0.10360346,0.021390278,0.002930177,0.017695533,0.003993782,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500372162,0.000199772,303.3983997,303.4772076,-0.013326983,-0.088886995,4.321616598,44.74345913,13.87450924,30.28780365,4.331389544,0.013854151,2.981525541,1.349864002,0.008664921,44.28248771,1.143469989,67.92979377,401.2280601,-0.000989228
20,11:08:25,110.4999991,0,-0.577615789,0.01391806,457.7295408,0.199682494,1.339872764,30.24830627,6,1.420000017,1,2.840000033,30.32695198,30.24830627,29.99418831,399.9515381,400.9459229,30.48419571,30.8709507,67.81760406,68.67759705,300.2181396,-0.098019361,0.397932321,96.58661652,-0.896266758,0.10360346,0.021390278,0.002930177,0.017695533,0.003993782,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500363566,0.000199682,303.3983063,303.476952,-0.015683097,-0.088891011,4.321593441,44.74319111,13.87224041,30.28762913,4.331346216,0.013850184,2.981720677,1.34962554,0.008662438,44.21054762,1.141624131,67.93477211,401.2204937,-0.000978021
21,11:08:27,112.4999991,0,-0.573814123,0.013901822,457.3711694,0.199429008,1.339726844,30.2484436,6,1.420000017,1,2.840000033,30.3266201,30.2484436,29.99401855,399.9571533,400.9441528,30.48652267,30.87278938,67.82386017,68.68299866,300.2154846,-0.109439716,0.389989913,96.58669281,-0.896266758,0.10360346,0.021390278,0.002930177,0.017695533,0.003993782,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500359141,0.000199429,303.3984436,303.4766201,-0.017510354,-0.088849211,4.321627468,44.74350806,13.87071867,30.28753185,4.331322067,0.013834104,2.981900624,1.349421442,0.008652374,44.17596864,1.140735352,67.93829833,401.2169166,-0.000971643
22,11:08:29,114.499999,0,-0.571902976,0.013923103,457.0555263,0.199715846,1.339610333,30.24879074,6,1.420000017,1,2.840000033,30.32629967,30.24879074,29.9940033,399.9625854,400.9455261,30.48808289,30.87490082,67.82902527,68.68886566,300.2182007,-0.116297081,0.382151902,96.58664703,-0.896266758,0.10360346,0.021390278,0.002930177,0.017695533,0.003993782,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500363668,0.000199716,303.3987907,303.4762997,-0.018607533,-0.089095065,4.321713481,44.74441979,13.86951897,30.2875452,4.331325381,0.013855178,2.982103147,1.349222234,0.008665564,44.1454608,1.139944198,67.94191333,401.2173814,-0.000968457
23,11:08:31,116.499999,0,-0.566807196,0.013954605,456.3331214,0.200147128,1.33948435,30.24918365,6,1.420000017,1,2.840000033,30.32616425,30.24918365,29.99410057,399.976593,400.9490051,30.48957443,30.87722778,67.83293915,68.6946106,300.2174072,-0.114003062,0.38544631,96.58660126,-0.896266758,0.10360346,0.021390278,0.002930177,0.017695533,0.003993782,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500362345,0.000200147,303.3991837,303.4761642,-0.01824049,-0.089377354,4.321810838,44.74544898,13.86822119,30.28767395,4.331357344,0.013886373,2.982326488,1.349030856,0.008685088,44.07566524,1.138132569,67.94594824,401.2184381,-0.000959882
24,11:08:33,118.4999989,0,-0.565575778,0.013953532,456.2037614,0.200117084,1.339383488,30.24951553,6,1.420000017,1,2.840000033,30.3260994,30.24951553,29.99418831,399.9842834,400.9542847,30.49152756,30.87913322,67.83753967,68.69958496,300.2086792,-0.096242689,0.406945944,96.58657074,-0.896266758,0.10360346,0.021390278,0.002930177,0.017695533,0.003993782,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500347799,0.000200117,303.3995155,303.4760994,-0.01539883,-0.089384184,4.321893074,44.74631453,13.86718131,30.28780746,4.331390491,0.01388531,2.982509586,1.348880905,0.008684422,44.06315687,1.137794953,67.94891355,401.2231323,-0.000957828
25,11:08:35,120.4999989,0,-0.573084776,0.013947463,457.0926231,0.200008328,1.339232864,30.24950218,6,1.420000017,1,2.840000033,30.32589912,30.24950218,29.99429131,399.973999,400.9591064,30.49328804,30.88068771,67.84241486,68.70410919,300.2045898,-0.080628715,0.417036027,96.58647919,-0.896266758,0.10360346,0.021390278,0.002930177,0.017695533,0.003993782,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500340983,0.000200008,303.3995022,303.4758991,-0.012900594,-0.08932726,4.321889765,44.74632269,13.86563498,30.28770065,4.331363973,0.0138793,2.982656901,1.348707072,0.008680661,44.14896713,1.139998109,67.95239923,401.2315235,-0.000970574
26,11:08:37,122.9999988,0,-0.582874705,0.013958076,458.1667133,0.200117465,1.338944875,30.24918747,6,1.420000017,1,2.840000033,30.32569695,30.24918747,29.9943924,399.9620667,400.9666138,30.4953537,30.88294983,67.84794617,68.70985413,300.2154541,-0.07956811,0.424144655,96.58620453,-0.896266758,0.10360346,0.021390278,0.002930177,0.017695533,0.003993782,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.50035909,0.000200117,303.3991875,303.4756969,-0.012730897,-0.089364444,4.321811784,44.74564255,13.86269273,30.28744221,4.331299811,0.01388981,2.982866909,1.348432903,0.008687239,44.25258388,1.142655517,67.95880544,401.2436845,-0.000987217
27,11:08:39,124.9999988,0,-0.584245914,0.013977386,458.2367243,0.200358756,1.338711526,30.24910545,6,1.420000017,1,2.840000033,30.32572365,30.24910545,29.99446678,399.9633789,400.970459,30.49717331,30.88523102,67.85209656,68.7146759,300.2192078,-0.080061458,0.419012994,96.58596802,-0.896266758,0.10360346,0.021390278,0.002930177,0.017695533,0.003993782,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500365346,0.000200359,303.3991055,303.4757236,-0.012809833,-0.089470687,4.321791461,44.74554172,13.8603107,30.28741455,4.331292945,0.013908932,2.983079935,1.34821301,0.008699207,44.2592376,1.142819163,67.96441934,401.2481815,-0.00098961
28,11:08:41,126.9999987,0,-0.578888344,0.014018648,457.4321718,0.200918495,1.338514765,30.24920464,6,1.420000017,1,2.840000033,30.32572365,30.24920464,29.99455833,399.9701233,400.9660645,30.4984417,30.8875885,67.85531616,68.7197113,300.2146301,-0.084674135,0.402335227,96.58576202,-0.896266758,0.10360346,0.021390278,0.002930177,0.017695533,0.003993782,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500357717,0.000200918,303.3992046,303.4757236,-0.013547861,-0.089771117,4.321816037,44.74589159,13.85830309,30.28746414,4.331305257,0.01394979,2.983301272,1.348003984,0.008724779,44.18143489,1.140825153,67.96972803,401.2412402,-0.000980629
29,11:08:43,128.9999987,0,-0.572662428,0.014063426,456.5124647,0.20152186,1.338278302,30.2490921,6,1.420000017,1,2.840000033,30.32552147,30.2490921,29.99454498,399.9725647,400.9555969,30.49945259,30.88977242,67.85853577,68.72524261,300.2105713,-0.093849964,0.385830581,96.58568573,-0.896266758,0.10360346,0.021390278,0.002930177,0.017695533,0.003993782,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500350952,0.000201522,303.3990921,303.4755215,-0.015015994,-0.090100257,4.321788153,44.74563824,13.85586583,30.28730679,4.331266192,0.013994128,2.983509851,1.347756341,0.00875253,44.09256945,1.138561148,67.97565021,401.2278132,-0.000970199
30,11:08:45,130.9999987,0,-0.573943978,0.014073551,456.605853,0.201637397,1.338083992,30.24912453,6,1.420000017,1,2.840000033,30.32531548,30.24912453,29.99455452,399.963623,400.9491272,30.50135612,30.89189911,67.86312866,68.73057556,300.2103882,-0.086622611,0.366932243,96.58558655,-0.896266758,0.10360346,0.021390278,0.002930177,0.017695533,0.003993782,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500350647,0.000201637,303.3991245,303.4753155,-0.013859617,-0.090177124,4.321796187,44.74576737,13.85386826,30.28722,4.331244647,0.014004154,2.983712195,1.347532452,0.008758805,44.10154413,1.138812438,67.98043553,401.2219527,-0.000972453
31,11:08:47,132.9999986,0,-0.578849628,0.014085456,457.1029997,0.201759687,1.337767093,30.24870491,6,1.420000017,1,2.840000033,30.32524872,30.24870491,29.99446678,399.9499512,400.9451599,30.50336266,30.89414024,67.86782837,68.73562622,300.2114258,-0.076361038,0.333781481,96.58547211,-0.896266758,0.10360346,0.021390278,0.002930177,0.017695533,0.003993782,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500352376,0.00020176,303.3987049,303.4752487,-0.012217766,-0.090171589,4.321692214,44.7447439,13.85060366,30.28697681,4.331184275,0.014015941,2.983925121,1.347259154,0.008766182,44.14950903,1.140063643,67.98736186,401.2203173,-0.000980869
Remark=,"""11:08:51 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:08:51 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:08:51 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:08:51 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
