OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thr Feb 11 2016 12:05:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""12:05:55 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:05:57 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:05:57 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:05:57 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:05:57 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12:05:59,11.50000003,0,-0.800773521,0.050507984,416.9687589,0.742665351,1.388677224,30.29224777,6,1.420000017,1,2.840000033,30.39059448,30.29224777,29.99983025,399.9784241,400.9836426,29.08890152,30.52783585,64.41281128,67.57543945,300.2194214,-0.125423685,0.740479469,96.43054199,-0.06995298,0.138967231,0.038703348,0.00263817,0.0280504,0.003547104,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500365702,0.000742665,303.4422478,303.5405945,-0.020067789,-0.35653193,4.332492981,44.9286387,14.40080285,30.34142113,4.344718659,0.04962542,2.943815756,1.400902903,0.031093991,40.20852342,1.039864759,67.27272318,401.364292,-0.001342178
2,12:06:02,13.99999998,0,-0.802344477,0.050466653,417.0048707,0.741823823,1.388232206,30.2895565,6,1.420000017,1,2.840000033,30.39067078,30.2895565,29.99921036,399.9361572,400.9451904,29.08817291,30.52540016,64.39704895,67.56716919,300.2361755,-0.063642249,0.60540539,96.43092346,-0.06995298,0.138967231,0.038703348,0.00263817,0.0280504,0.003547104,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500393626,0.000741824,303.4395565,303.5406708,-0.01018276,-0.35562664,4.331824733,44.92153116,14.39613099,30.34011364,4.344393198,0.049585521,2.943592527,1.400800671,0.031068928,40.21216477,1.040054553,67.27785835,401.3265866,-0.00134504
3,12:06:04,15.99999993,0,-0.794903366,0.050389126,416.7830979,0.740446652,1.387759276,30.28682327,6,1.420000017,1,2.840000033,30.39047813,30.28682327,29.99832916,399.9225159,400.9178162,29.08865166,30.5232048,64.39402008,67.56267548,300.2380981,-0.001366798,0.537074924,96.43112183,-0.06995298,0.138967231,0.038703348,0.00263817,0.0280504,0.003547104,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.50039683,0.000740447,303.4368233,303.5404781,-0.000218688,-0.354484731,4.331146157,44.91440186,14.39119706,30.3386507,4.344029067,0.049510676,2.943386881,1.400642186,0.031021915,40.19086169,1.039572404,67.28316187,401.2956752,-0.001332773
4,12:06:06,17.99999989,0,-0.775364585,0.050323482,416.1827803,0.739166397,1.387141579,30.28370667,6,1.420000017,1,2.840000033,30.39011765,30.28370667,29.99715996,399.946228,400.9035339,29.08952141,30.52160454,64.39416504,67.55989075,300.2364197,0.023722962,0.505854249,96.43106842,-0.06995298,0.138967231,0.038703348,0.00263817,0.0280504,0.003547104,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500394033,0.000739166,303.4337067,303.5401176,0.003795674,-0.353429142,4.330372515,44.90640398,14.38479944,30.33691216,4.34359637,0.049447299,2.943230936,1.400365435,0.030982105,40.13295017,1.038112027,67.2913021,401.2721051,-0.001300247
5,12:06:08,19.99999984,0,-0.75977464,0.050286479,415.6985692,0.738511156,1.38691708,30.28254509,6,1.420000017,1,2.840000033,30.38983154,30.28254509,29.99624634,399.9706421,400.8973083,29.09014702,30.52093315,64.39459991,67.55869293,300.2424011,0.017125787,0.499207765,96.43109894,-0.06995298,0.138967231,0.038703348,0.00263817,0.0280504,0.003547104,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500404002,0.000738511,303.4325451,303.5398315,0.002740126,-0.352996519,4.330084205,44.90339997,14.38246682,30.33618832,4.343416229,0.049411572,2.943167124,1.400249105,0.030959664,40.08626985,1.03692033,67.29406202,401.2584688,-0.001274199
