OPEN 6.2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Feb 10 2016 09:22:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#1.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""09:22:26 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:22:28 Log AvgTime changed to 15 s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:22:28 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:22:28 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:22:28 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:22:28 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,09:22:31,56.5000043,0,-0.250386635,0.017369184,414.7681589,0.240992087,1.301807226,29.50977325,6,1.420000017,1,2.840000033,29.89526939,29.50977325,30.01179886,400.3735352,400.6811523,28.88864136,29.35642433,65.97199249,67.04712677,300.0332642,1.731797218,2.540567636,96.74671936,-2.162478924,-0.194082916,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.50005544,0.000240992,302.6597733,303.0452694,0.277087549,-0.067537657,4.141944973,42.81225245,13.45582812,29.70252132,4.188191528,0.017263601,2.840137746,1.348053782,0.010799187,40.12745867,1.035157647,67.59177092,400.8001742,-0.000422257
2,09:22:33,58.50000426,0,-0.271138148,0.017294422,416.7717119,0.240186206,1.30302082,29.51483536,6,1.420000017,1,2.840000033,29.89599991,29.51483536,30.01235199,400.3363953,400.6861572,28.89013863,29.35636139,65.98188019,67.05154419,300.0306702,1.614646554,2.5321033,96.74676514,-2.162478924,-0.194082916,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500051117,0.000240186,302.6648354,303.0459999,0.258343443,-0.067948345,4.143153821,42.82472716,13.46836577,29.70541763,4.188889866,0.017189744,2.840133001,1.348756865,0.010752946,40.32131492,1.040145022,67.56996602,400.8150433,-0.000457089
3,09:22:35,60.50000421,0,-0.298247865,0.0172961,419.271706,0.240295576,1.30348373,29.51721382,6,1.420000017,1,2.840000033,29.89630318,29.51721382,30.01193428,400.2951355,400.6990356,28.89099312,29.35744858,65.9862442,67.05500031,300.0172119,1.529160857,2.545068264,96.74676514,-2.162478924,-0.194082916,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500028687,0.000240296,302.6672138,303.0463032,0.244665732,-0.068457695,4.143721912,42.8305991,13.47315053,29.7067585,4.1892132,0.017191402,2.840238183,1.348975018,0.010753984,40.56318127,1.046350674,67.56279456,400.8408084,-0.000502705
