OPEN 6.2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thr Feb 11 2016 13:21:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#1.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""13:21:05 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:21:06 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:21:07 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:21:07 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:21:07 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13:21:09,19.00000248,0,-0.963707386,0.033689145,437.5347149,0.513745181,1.429319641,30.98990631,6,1.420000017,1,2.840000033,30.51574516,30.98990631,30.00297928,400.1317749,401.6420898,30.94497681,31.93675232,68.00938416,70.19380188,300.8772583,0.101731695,0.437986553,96.42379761,-1.672760963,-0.024368823,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501462097,0.000513745,304.1399063,303.6657452,0.016277071,-0.333385092,4.508782583,46.76006022,14.8233079,30.75282574,4.44818712,0.033294197,3.079462942,1.368724179,0.020844,42.1887588,1.089364701,67.38760357,402.1001902,-0.001615068
2,13:21:11,21.00000244,0,-0.93528869,0.03377431,436.0624689,0.514818838,1.428745741,30.98741722,6,1.420000017,1,2.840000033,30.51464844,30.98741722,30.00262451,400.1697998,401.6226196,30.94214439,31.93600464,68.00311279,70.18908691,300.8738403,0.076704837,0.375739783,96.42398834,-1.672760963,-0.024368823,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501456401,0.000514819,304.1374172,303.6646484,0.012272774,-0.333790564,4.50814268,46.75333138,14.81732675,30.75103283,4.447731587,0.033377374,3.079396939,1.368334648,0.020896162,42.04688241,1.085751767,67.39716391,402.0672111,-0.001567793
3,13:21:13,23.00000239,0,-0.92974418,0.033833774,435.7171345,0.515627137,1.42851078,30.98625374,6,1.420000017,1,2.840000033,30.51488304,30.98625374,30.00256348,400.1727905,401.6138916,30.93983841,31.93524361,67.99665833,70.18463135,300.8787537,0.051666599,0.34490186,96.42427826,-1.672760963,-0.024368823,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501464589,0.000515627,304.1362537,303.664883,0.008266656,-0.334058016,4.507843596,46.75008906,14.81484545,30.75056839,4.447613591,0.033435448,3.079332816,1.368280776,0.020932581,42.01371022,1.084915496,67.40110524,402.0558475,-0.001558634
4,13:21:15,25.00000235,0,-0.939017933,0.033839035,436.1487391,0.515745148,1.428621842,30.98620796,6,1.420000017,1,2.840000033,30.51563644,30.98620796,30.00257111,400.1560059,401.6154785,30.93829727,31.93391418,67.99042511,70.17868805,300.8840332,0.027242152,0.342078209,96.42444611,-1.672760963,-0.024368823,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501473389,0.000515745,304.136208,303.6656364,0.004358744,-0.334051767,4.507831829,46.74988565,14.81597146,30.7509222,4.447703481,0.033440585,3.079209987,1.368493494,0.020935802,42.05540058,1.085985881,67.39857138,402.0618427,-0.001574098
5,13:21:17,27.0000023,0,-0.944208597,0.03383635,436.3984029,0.515736351,1.428711054,30.98613548,6,1.420000017,1,2.840000033,30.51613426,30.98613548,30.00241661,400.147583,401.6174011,30.9371891,31.93278313,67.98595428,70.17393494,300.8861694,0.000478616,0.382856429,96.42448425,-1.672760963,-0.024368823,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501476949,0.000515736,304.1361355,303.6661343,7.65786E-05,-0.334016654,4.507813198,46.74967393,14.81689081,30.75113487,4.447757513,0.033437963,3.079102144,1.368655369,0.020934158,42.07949093,1.086602328,67.39639311,402.0662327,-0.001582731
6,13:21:19,29.00000226,0,-0.941257678,0.033851238,436.2368164,0.515975817,1.428753915,30.98603249,6,1.420000017,1,2.840000033,30.51661491,30.98603249,30.0023365,400.1509094,401.614624,30.93602753,31.93206406,67.98162079,70.17008972,300.8923645,-0.02016701,0.432200462,96.42448425,-1.672760963,-0.024368823,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501487274,0.000515976,304.1360325,303.6666149,-0.003226722,-0.334096778,4.507786723,46.74939936,14.81733531,30.7513237,4.447805487,0.033452503,3.079032808,1.36877268,0.020943276,42.06391003,1.086207499,67.39540929,402.0620528,-0.001577778
7,13:21:21,31.00000221,0,-0.935958103,0.033858666,435.9654234,0.516155244,1.428940555,30.98641968,6,1.420000017,1,2.840000033,30.51685333,30.98641968,30.0024147,400.1508484,401.6038513,30.93478966,31.9311657,67.97799683,70.16699219,300.8947144,-0.022521358,0.462971538,96.42446899,-1.672760963,-0.024368823,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501491191,0.000516155,304.1364197,303.6668533,-0.003603417,-0.33421534,4.507886251,46.75043895,14.81927326,30.75163651,4.447884962,0.033459757,3.078945697,1.368939265,0.020947826,42.03773445,1.085560863,67.39195197,402.048761,-0.001568866
8,13:21:23,33.00000217,0,-0.929132841,0.033863952,435.6239745,0.516340105,1.429231711,30.98690605,6,1.420000017,1,2.840000033,30.51715088,30.98690605,30.00246048,400.1535645,401.5928345,30.93270874,31.9294529,67.97136688,70.16043854,300.8918457,-0.025858872,0.485660315,96.42443848,-1.672760963,-0.024368823,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.50148641,0.00051634,304.1369061,303.6671509,-0.004137419,-0.334344263,4.508011277,46.75175037,14.82229747,30.75202847,4.447984549,0.033464918,3.078779566,1.369204982,0.020951062,42.00479712,1.084740406,67.38627919,402.0344997,-0.001557349
9,13:21:25,35.50000211,0,-0.930808117,0.033873092,435.6755302,0.516650977,1.429709753,30.9877224,6,1.420000017,1,2.840000033,30.51786613,30.9877224,30.00232315,400.1378784,401.5802307,30.92937279,31.92670441,67.96159363,70.15181732,300.8965149,-0.032245904,0.526803851,96.42433929,-1.672760963,-0.024368823,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501494191,0.000516651,304.1377224,303.6678661,-0.005159345,-0.334531834,4.508221132,46.75397482,14.82727042,30.75279427,4.448179124,0.033473845,3.078511378,1.369667746,0.02095666,42.00972515,1.084902834,67.37700203,402.0226923,-0.001559988
10,13:21:27,37.50000207,0,-0.93557005,0.033860856,435.9034134,0.516598761,1.430072905,30.98823357,6,1.420000017,1,2.840000033,30.5181675,30.98823357,30.00200272,400.1183472,401.5702515,30.9271431,31.92437935,67.95530701,70.14572906,300.8955994,-0.043599445,0.564644873,96.42410278,-1.672760963,-0.024368823,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501492666,0.000516599,304.1382336,303.6681675,-0.006975911,-0.334555965,4.50835254,46.75545232,14.83107297,30.75320053,4.448282351,0.033461895,3.078279636,1.370002716,0.020949166,42.03159554,1.085497274,67.36954226,402.0149767,-0.001567825
11,13:21:29,39.50000202,0,-0.932286601,0.033832788,435.7689925,0.516310806,1.430442213,30.98857498,6,1.420000017,1,2.840000033,30.51810265,30.98857498,30.00156212,400.1112976,401.5569153,30.9249115,31.92160606,67.94999695,70.13952637,300.8921814,-0.040837731,0.575234532,96.42366028,-1.672760963,-0.024368823,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501486969,0.000516311,304.138575,303.6681026,-0.006534037,-0.334459234,4.508440311,46.75657715,14.83497109,30.75333881,4.448317488,0.033434484,3.077998099,1.370319389,0.020931976,42.01844129,1.085198576,67.36146029,402.0000797,-0.001562193
12,13:21:31,41.50000198,0,-0.930672684,0.033818413,435.6909729,0.516265397,1.430913052,30.98931885,6,1.420000017,1,2.840000033,30.51813698,30.98931885,30.00137329,400.0971069,401.5395508,30.92220688,31.91880989,67.94403076,70.13312531,300.8942261,-0.02079759,0.54847765,96.42334747,-1.672760963,-0.024368823,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501490377,0.000516265,304.1393188,303.668137,-0.003327614,-0.33449877,4.508631549,46.75871215,14.83990226,30.75372791,4.448416356,0.033420446,3.077718497,1.370697859,0.020923173,42.01078207,1.085051204,67.35194988,401.981948,-0.001559339
13,13:21:33,43.50000193,0,-0.937718798,0.033812318,436.0112455,0.516370958,1.431456985,30.99048042,6,1.420000017,1,2.840000033,30.51824379,30.99048042,30.00126266,400.0663452,401.5227661,30.91952896,31.91633415,67.93771362,70.12739563,300.8954773,-0.003990849,0.525249243,96.42314148,-1.672760963,-0.024368823,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501492462,0.000516371,304.1404804,303.6682438,-0.000638536,-0.334671635,4.508930189,46.76190922,14.84557507,30.75436211,4.448577506,0.033414494,3.077473203,1.371104302,0.02091944,42.04157402,1.085894207,67.34162105,401.9685127,-0.001570956
14,13:21:35,45.50000189,0,-0.947525989,0.033794185,436.4845694,0.516290204,1.431988424,30.99154472,6,1.420000017,1,2.840000033,30.51836395,30.99154472,30.00102615,400.0368042,401.5128174,30.91711044,31.91373634,67.93186188,70.12151337,300.9033508,-0.011119273,0.51333046,96.4229126,-1.672760963,-0.024368823,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501505585,0.00051629,304.1415447,303.668364,-0.001779084,-0.334777257,4.509203834,46.76485819,14.85112185,30.75495434,4.448727998,0.033396784,3.07721541,1.371512588,0.020908334,42.08711348,1.087099964,67.33126692,401.9632259,-0.001587163
15,13:21:37,47.50000184,0,-0.960165773,0.033772427,437.0992868,0.516094785,1.432356136,30.99183464,6,1.420000017,1,2.840000033,30.5183754,30.99183464,30.00074387,400.002533,401.5038757,30.91454124,31.9107666,67.92577362,70.11475372,300.9113159,-0.038145818,0.481180757,96.42269897,-1.672760963,-0.024368823,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.50151886,0.000516095,304.1418346,303.6683754,-0.006103331,-0.334766346,4.509278378,46.7657349,14.85496829,30.75510502,4.448766288,0.033375535,3.076922242,1.371844046,0.020895008,42.14629295,1.088655211,67.3232065,401.9602926,-0.001608155
16,13:21:40,50.00000179,0,-0.979486216,0.033747441,438.0295948,0.515855933,1.432739041,30.99201202,6,1.420000017,1,2.840000033,30.51834488,30.99201202,30.00061035,399.9492188,401.4892883,30.91158867,31.90735435,67.91901398,70.1071167,300.9119568,-0.06850066,0.440113246,96.42243958,-1.672760963,-0.024368823,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501519928,0.000515856,304.142012,303.6683449,-0.010960105,-0.33472916,4.509323988,46.76633373,14.85897937,30.75517845,4.448784948,0.033351132,3.076584947,1.372200001,0.020879705,42.23588214,1.091011909,67.31456545,401.9548892,-0.001640326
17,13:21:42,52.00000174,0,-0.990496677,0.033722278,438.5682145,0.515599748,1.433082984,30.99227905,6,1.420000017,1,2.840000033,30.51845741,30.99227905,30.00062752,399.9122925,401.4745178,30.90928268,31.90454483,67.91340637,70.10067749,300.9155579,-0.064983822,0.420033872,96.42230225,-1.672760963,-0.024368823,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.50152593,0.0005156,304.1422791,303.6684574,-0.010397411,-0.334611764,4.509392648,46.76711241,14.86256758,30.75536823,4.448833175,0.033326557,3.076309665,1.37252351,0.020864293,42.28775693,1.092393651,67.30696507,401.9453525,-0.001658617
