OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thr Mar  3 2016 12:13:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""12:13:45 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:13:47 Log Option: Logged values are 15 s averages""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:13:47 Lamp: ParIn ->  1200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:13:47 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:13:47 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:13:47 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12:13:49,35.50000238,0,10.6518871,0.155410683,265.041062,1.883338485,1.187780617,30.30767059,6,1.420000017,1,2.840000033,30.33107185,30.30767059,29.99404716,400.1070557,386.4559326,30.3839035,32.56957626,67.6220932,72.48092651,500.1660767,1198.821533,0.132271498,96.67131042,1.0593853,3.066786289,0.025523948,0.007039672,0.030279851,0.006170541,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833610128,0.001883338,303.4576706,303.4810719,191.811441,1.230721682,4.336324234,44.85637171,12.28679545,30.31937122,4.339232811,0.147347521,3.148543617,1.190689193,0.092784201,25.62186678,0.685824798,72.98385545,381.3925356,0.020383613
2,12:13:51,37.50000234,0,10.61182321,0.155504175,265.5404132,1.88433744,1.187736589,30.30762291,6,1.420000017,1,2.840000033,30.33138466,30.30762291,29.99441338,400.0664063,386.4626465,30.38294983,32.56981659,67.62807465,72.49171448,500.15802,1198.822266,0.138992444,96.67158508,1.0593853,3.066786289,0.025523948,0.007039672,0.030279851,0.006170541,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.8335967,0.001884337,303.4576229,303.4813847,191.8115582,1.23027485,4.336312385,44.85612169,12.2863051,30.31950378,4.339265773,0.147431561,3.148575796,1.190689977,0.092837519,25.67021265,0.687104991,72.98562635,381.418294,0.020306068
3,12:13:53,39.50000229,0,10.60022403,0.155606086,265.7217739,1.885353408,1.187639206,30.30766296,6,1.420000017,1,2.840000033,30.3318615,30.30766296,29.99484825,400.0389404,386.448761,30.38287735,32.57090378,67.63012695,72.49662781,500.1618958,1198.802246,0.139470324,96.67165375,1.0593853,3.066786289,0.025523948,0.007039672,0.030279851,0.006170541,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83360316,0.001885353,303.457663,303.4818615,191.8083551,1.229792303,4.336322338,44.8561928,12.28528902,30.31976223,4.339330037,0.147523162,3.148683132,1.190646905,0.092895634,25.68776332,0.68759898,72.98880595,381.4099222,0.020285201
4,12:13:55,41.50000225,0,10.5970391,0.155784723,265.8520426,1.886766419,1.187235189,30.30693626,6,1.420000017,1,2.840000033,30.33232117,30.30693626,29.99492264,400.0053101,386.4185181,30.38362503,32.57326126,67.63181305,72.50162506,500.1675415,1198.776123,0.148226172,96.67151642,1.0593853,3.066786289,0.025523948,0.007039672,0.030279851,0.006170541,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833612569,0.001886766,303.4569363,303.4823212,191.8041754,1.229204248,4.336141749,44.85438845,12.28112719,30.31962872,4.339296838,0.147683714,3.148906561,1.190390277,0.092997495,25.7003201,0.687989913,72.99847262,381.3811932,0.02028332
5,12:13:57,43.5000022,0,10.59398882,0.155919605,265.9472357,1.887563649,1.186762194,30.30595779,6,1.420000017,1,2.840000033,30.33261299,30.30595779,29.99481964,399.9681702,386.3847351,30.38509941,32.57565689,67.63433075,72.50641632,500.1672058,1198.76001,0.155300319,96.67146301,1.0593853,3.066786289,0.025523948,0.007039672,0.030279851,0.006170541,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83361201,0.001887564,303.4559578,303.482613,191.8015973,1.228952597,4.335898604,44.85189806,12.27624117,30.31928539,4.339211468,0.147804927,3.14913641,1.190075058,0.093074399,25.70950836,0.688296435,73.00893303,381.3488602,0.020282107
6,12:13:59,45.50000216,0,10.59862985,0.156009064,265.9331791,1.888036352,1.186413937,30.30535126,6,1.420000017,1,2.840000033,30.33281517,30.30535126,29.9947567,399.9449158,386.3557739,30.38659859,32.57769775,67.63725281,72.51067352,500.1677246,1198.74231,0.137955368,96.67147064,1.0593853,3.066786289,0.025523948,0.007039672,0.030279851,0.006170541,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833612874,0.001888036,303.4553513,303.4828152,191.7987652,1.228796262,4.335747889,44.85033547,12.27263772,30.31908321,4.339161196,0.147885314,3.149333952,1.189827244,0.093125401,25.70815151,0.688311647,73.01671465,381.3176929,0.020294813
7,12:14:02,48.0000021,0,10.60252697,0.156126666,265.9398511,1.888739425,1.186007609,30.30459404,6,1.420000017,1,2.840000033,30.33295631,30.30459404,29.99457169,399.9138184,386.3197937,30.38806343,32.5799675,67.64057159,72.51582336,500.1690674,1198.707031,0.134973943,96.6714325,1.0593853,3.066786289,0.025523948,0.007039672,0.030279851,0.006170541,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833615112,0.001888739,303.454594,303.4829563,191.7931207,1.228505944,4.335559738,44.84840688,12.26843938,30.31877518,4.339084603,0.147990984,3.149552129,1.189532474,0.093192445,25.70878636,0.688393024,73.02583943,381.2798602,0.020306827
8,12:14:04,50.00000206,0,10.59500338,0.15630683,266.1056393,1.890117915,1.185575339,30.30402184,6,1.420000017,1,2.840000033,30.33333969,30.30402184,29.99451256,399.8641052,386.2785034,30.38946724,32.58297348,67.64495087,72.52412415,500.1669617,1198.694214,0.133919701,96.67141724,1.0593853,3.066786289,0.025523948,0.007039672,0.030279851,0.006170541,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833611603,0.001890118,303.4540218,303.4833397,191.7910699,1.22792747,4.335417563,44.84694326,12.26396978,30.31868076,4.339061127,0.14815285,3.149842224,1.189218903,0.093295146,25.72480928,0.688895802,73.03638632,381.2421462,0.020297356
9,12:14:06,52.00000201,0,10.60843894,0.156472976,266.0291908,1.891258241,1.185094941,30.30348396,6,1.420000017,1,2.840000033,30.33379936,30.30348396,29.9944191,399.8288574,386.2267456,30.39175224,32.58657074,67.64807892,72.52986145,500.1676331,1198.755737,0.125621229,96.67138672,1.0593853,3.066786289,0.025523948,0.007039672,0.030279851,0.006170541,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833612722,0.001891258,303.453484,303.4837994,191.8009137,1.22760745,4.335283923,44.84557499,12.25900425,30.31864166,4.339051405,0.148302106,3.150188982,1.188862423,0.093389846,25.71741079,0.688790183,73.04794446,381.1840018,0.020329412
10,12:14:08,54.00000197,0,10.62097355,0.156644229,265.9699042,1.892418953,1.184590868,30.30291748,6,1.420000017,1,2.840000033,30.33405685,30.30291748,29.99412918,399.7966919,386.1790161,30.39418983,32.59036255,67.65200043,72.53660583,500.164032,1198.883911,0.110538423,96.67128754,1.0593853,3.066786289,0.025523948,0.007039672,0.030279851,0.006170541,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83360672,0.001892419,303.4529175,303.4840569,191.8214215,1.227374097,4.335143177,44.84416509,12.25380254,30.31848717,4.33901299,0.148455931,3.150552309,1.188460681,0.093487447,25.71165308,0.688721792,73.06003996,381.130314,0.02035967
11,12:14:10,56.00000192,0,10.63086757,0.156832068,265.9585319,1.893910252,1.184175932,30.3026123,6,1.420000017,1,2.840000033,30.33424568,30.3026123,29.99379349,399.7709351,386.140564,30.39596748,32.59389877,67.6552887,72.54344177,500.1558533,1199.017578,0.106238335,96.67120361,1.0593853,3.066786289,0.025523948,0.007039672,0.030279851,0.006170541,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833593089,0.00189391,303.4526123,303.4842457,191.8428082,1.22694083,4.335067357,44.8434197,12.24952093,30.31842899,4.338998525,0.148624636,3.150891425,1.188107101,0.093594491,25.71053139,0.688760925,73.07065435,381.0871587,0.020383905
