OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat Mar  5 2016 09:11:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""09:11:12 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:11:14 Log Option: Logged values are 15 s averages""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:11:14 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:11:14 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:11:14 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:11:14 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,09:11:16,50.50000023,0,-1.399957771,0.00680023,711.8404817,0.154472907,2.126281371,30.30909348,6,1.420000017,1,2.840000033,29.75349045,30.30909348,30.00650787,399.3852234,402.0585022,22.56769371,22.86930084,51.91732025,52.61968231,300.2718506,-0.026146255,0.091189161,96.65343475,-1.059065461,0.196297154,0.014534214,0.001245489,0.022914989,0.00249233,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500453084,0.000154473,303.4590935,302.9034904,-0.004183401,-0.152247086,4.336677848,44.86832629,21.99902545,30.03129196,4.26811344,0.006783987,2.210396477,2.057716963,0.004241448,68.80182755,1.770489811,49.37222759,402.7239751,-0.001716288
2,09:11:18,52.50000019,0,-1.384251441,0.006788605,708.7372861,0.154172774,2.125780944,30.30653381,6,1.420000017,1,2.840000033,29.75246239,30.30653381,30.00498581,399.3967285,402.0389709,22.56689835,22.86793137,51.92287827,52.62059021,300.2604065,-0.029052215,0.105008751,96.65328979,-1.059065461,0.196297154,0.014534214,0.001245489,0.022914989,0.00249233,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500434011,0.000154173,303.4565338,302.9024624,-0.004648354,-0.151894527,4.336041741,44.86181226,21.99388089,30.0294981,4.267673783,0.006772417,2.210260797,2.057412986,0.004234212,68.5017903,1.762857179,49.37671736,402.6969778,-0.001697301
3,09:11:20,55.00000013,0,-1.355461795,0.006824294,700.3960021,0.154937466,2.125185873,30.30376625,6,1.420000017,1,2.840000033,29.75169182,30.30376625,30.00333214,399.4252625,402.0095825,22.56444359,22.86699486,51.92267609,52.62110901,300.2357483,-0.056184672,0.189432293,96.65319824,-1.059065461,0.196297154,0.014534214,0.001245489,0.022914989,0.00249233,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500392914,0.000154937,303.4537663,302.9016918,-0.008989547,-0.152052736,4.33535406,44.85473982,21.98774496,30.02772903,4.267240243,0.006807935,2.210168187,2.057072056,0.004256426,67.69551364,1.742237082,49.38370501,402.6539041,-0.001662413
