OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat Mar  5 2016 13:06:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""13:06:33 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:06:35 Lamp: ParIn ->  1200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:06:35 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:06:35 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:06:35 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13:06:38,13.50000131,0,1.778059659,0.050854039,331.4574949,0.814217347,1.513744076,30.20754242,6,1.420000017,1,2.840000033,30.44349289,30.20754242,29.99716377,400.2620239,397.7408752,28.06320763,29.01149368,61.92969513,64.0202179,500.2260742,1199.470459,2.800560713,96.43624115,-0.057750233,0.210718647,0.022759896,0.001266118,0.024666669,0.001809637,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833710124,0.000814217,303.3575424,303.5934929,191.9152691,1.793195304,4.311503477,44.70833191,15.69683822,30.32551765,4.340761389,0.049959448,2.797759401,1.543001988,0.031303814,31.96451491,0.833350343,64.18817674,396.8956708,0.002875577
2,13:06:40,15.50000126,0,1.708179998,0.050741055,333.5105952,0.814376109,1.517324505,30.22240257,6,1.420000017,1,2.840000033,30.44366455,30.22240257,29.99666977,400.1681824,397.7306213,28.06387329,29.0124073,61.92934418,64.02087402,500.1923523,1199.522095,2.783430338,96.43649292,-0.057750233,0.210718647,0.022759896,0.001266118,0.024666669,0.001809637,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83365392,0.000814376,303.3724026,303.5936646,191.9235309,1.791178985,4.315179317,44.74633187,15.73392457,30.33303356,4.342631185,0.0498504,2.797854811,1.544776374,0.031235314,32.16259215,0.838533865,64.13192343,396.9186344,0.002759983
3,13:06:42,18.00000121,0,1.645205315,0.050634851,335.360962,0.814521481,1.520695914,30.23656464,6,1.420000017,1,2.840000033,30.44392014,30.23656464,29.99605179,400.0812683,397.7190857,28.06499863,29.01374245,61.93001175,64.02241516,500.1703186,1199.499878,2.786211014,96.43668365,-0.057750233,0.210718647,0.022759896,0.001266118,0.024666669,0.001809637,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833617198,0.000814521,303.3865646,303.5939201,191.9199762,1.789143653,4.318685016,44.78259571,15.76885327,30.34024239,4.344425245,0.049747887,2.797989102,1.546436143,0.031170919,32.341099,0.843210633,64.07938643,396.9370339,0.002655931
4,13:06:44,20.00000116,0,1.649372239,0.050553005,335.1156771,0.814374167,1.522820064,30.24544144,6,1.420000017,1,2.840000033,30.44403076,30.24544144,29.99586105,400.0690613,397.7019653,28.06595421,29.01452637,61.93114471,64.02332306,500.1699524,1199.463257,2.783482313,96.43664551,-0.057750233,0.210718647,0.022759896,0.001266118,0.024666669,0.001809637,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833616587,0.000814374,303.3954414,303.5940308,191.9141168,1.787938759,4.320883658,44.80541225,15.79088589,30.3447361,4.345543922,0.049668882,2.798063594,1.547480328,0.031121291,32.31743176,0.842630176,64.04605641,396.9179328,0.002661401
