OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat Mar  5 2016 12:43:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""12:43:46 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:43:48 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:43:48 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:43:48 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:43:48 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12:43:50,11.00000016,0,-1.308335458,0.029170795,464.1078887,0.466534985,1.500435465,30.3611393,6,1.420000017,1,2.840000033,30.45450211,30.3611393,29.9931469,400.6673279,402.9060059,28.6321125,29.53679276,63.16303635,65.16025543,300.275177,-0.037985634,0.154990748,96.46253967,-0.089863889,0.213215262,0.013973792,0.001217251,0.023534546,0.003759616,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500458628,0.000466535,303.5111393,303.6045021,-0.006077701,-0.219573364,4.349629508,45.09138493,15.55459218,30.4078207,4.361274885,0.028874216,2.849194043,1.512080842,0.018072799,44.76902563,1.151901143,64.53153634,403.5279259,-0.002092269
2,12:43:52,13.00000011,0,-1.331041346,0.029177022,465.3740444,0.466227255,1.499132601,30.35609436,6,1.420000017,1,2.840000033,30.45522118,30.35609436,29.99335098,400.6542969,402.938385,28.63337326,29.53738594,63.16139221,65.15679169,300.2985229,-0.005049675,0.107049517,96.4621582,-0.089863889,0.213215262,0.013973792,0.001217251,0.023534546,0.003759616,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500497538,0.000466227,303.5060944,303.6052212,-0.000807948,-0.218578349,4.348372596,45.07853315,15.54114721,30.40565777,4.36073471,0.028880318,2.849239996,1.511494714,0.018076623,44.8909847,1.154950885,64.55239372,403.5710983,-0.00212904
3,12:43:54,15.00000007,0,-1.385964281,0.029174741,468.4366167,0.465804753,1.497893222,30.35136414,6,1.420000017,1,2.840000033,30.45559502,30.35136414,29.99358368,400.5934753,402.9874878,28.63497734,29.53812981,63.16220474,65.15594482,300.3119202,-0.011751328,0.085583031,96.46179962,-0.089863889,0.213215262,0.013973792,0.001217251,0.023534546,0.003759616,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500519867,0.000465805,303.5013641,303.605595,-0.001880212,-0.217687494,4.347194381,45.0664864,15.52835659,30.40347958,4.360190782,0.028878082,2.849301159,1.510889623,0.018075222,45.18623906,1.162409829,64.57227975,403.6463088,-0.002217161
4,12:43:56,17.00000002,0,-1.473383547,0.029201623,473.191563,0.465642216,1.496017654,30.34396744,6,1.420000017,1,2.840000033,30.4554882,30.34396744,29.99363327,400.4591675,403.0279541,28.6356926,29.53853798,63.16362381,65.15621185,300.3091125,-0.026942182,0.071859002,96.46160889,-0.089863889,0.213215262,0.013973792,0.001217251,0.023534546,0.003759616,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500515188,0.000465642,303.4939674,303.6054882,-0.004310749,-0.216645045,4.345352551,45.0474816,15.50894362,30.39972782,4.35925405,0.02890442,2.849334898,1.509919153,0.018091731,45.64481948,1.174091172,64.60231602,403.7283301,-0.002357625
5,12:43:58,18.99999998,0,-1.547154054,0.029242427,477.1247135,0.465871259,1.494695481,30.33860207,6,1.420000017,1,2.840000033,30.45536041,30.33860207,29.99346352,400.3264465,403.042511,28.63511086,29.53842926,63.1628685,65.15609741,300.29953,-0.025067698,0.06606923,96.4615097,-0.089863889,0.213215262,0.013973792,0.001217251,0.023534546,0.003759616,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500499217,0.000465871,303.4886021,303.6053604,-0.004010832,-0.216045164,4.344016962,45.03368209,15.49525283,30.39698124,4.3585684,0.028944398,2.849321481,1.509246919,0.018116791,46.02417018,1.183807416,64.62348539,403.7779539,-0.002476175
6,12:44:00,20.99999993,0,-1.587848534,0.02924023,479.3463666,0.465911219,1.494931791,30.33935738,6,1.420000017,1,2.840000033,30.45527077,30.33935738,29.9931221,400.2443542,403.0417786,28.63454247,29.53796577,63.16200638,65.15538025,300.2905579,-0.014136707,0.056921456,96.46138763,-0.089863889,0.213215262,0.013973792,0.001217251,0.023534546,0.003759616,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500484263,0.000465911,303.4893574,303.6052708,-0.002261873,-0.216159982,4.344204958,45.035688,15.49772223,30.39731407,4.358651482,0.028942245,2.849273167,1.509378316,0.018115441,46.23841568,1.189321783,64.61936812,403.7965657,-0.002541026
7,12:44:02,22.99999989,0,-1.610523824,0.029239158,480.5719858,0.466040265,1.495394331,30.34099579,6,1.420000017,1,2.840000033,30.4551506,30.34099579,29.99268723,400.1889648,403.0316467,28.63376617,29.53745461,63.16098404,65.15452576,300.2857666,-0.007571245,0.062015492,96.46120453,-0.089863889,0.213215262,0.013973792,0.001217251,0.023534546,0.003759616,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500476278,0.00046604,303.4909958,303.6051506,-0.001211399,-0.216450986,4.344612781,45.04000134,15.50254673,30.3980732,4.358840982,0.028941194,2.84921845,1.509622532,0.018114783,46.35655262,1.192392681,64.61166021,403.7972126,-0.002577002
