OPEN 6.2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri Mar  4 2016 10:57:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#1.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""10:57:45 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:57:45 Log AvgTime changed to 15 s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:57:45 Lamp: ParIn ->  1200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:57:46 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:57:46 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:57:46 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10:57:48,27.00000098,0,7.655727706,0.054999091,157.8054952,0.986142562,1.696894705,32.18769455,6,1.420000017,1,2.840000033,30.40595627,32.18769455,30.00691795,401.8851929,392.2350159,31.17466354,32.31968689,69.24745178,71.66725159,500.044342,1199.114746,1.729740858,96.81877136,-1.733181953,3.700434208,0,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833407237,0.000986143,305.3376945,303.5559563,191.8583551,1.486170794,4.82604708,49.84619214,17.52650525,31.29682541,4.588295157,0.05395422,3.129152375,1.459142781,0.033813732,15.27853416,0.402323833,64.02902553,388.5958496,0.01261436
2,10:57:50,29.00000094,0,7.35975004,0.054804572,165.8114826,0.9833811,1.698030959,32.19155502,6,1.420000017,1,2.840000033,30.40424728,32.19155502,30.00751877,401.6665344,392.3720398,31.17684555,32.31873703,69.24586487,71.70350647,500.012207,1199.103394,1.729656696,96.81904602,-1.733181953,3.700434208,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833353678,0.000983381,305.341555,303.5542473,191.8565387,1.486772705,4.827100247,49.85692842,17.53819139,31.29790115,4.58857598,0.053767009,3.129069288,1.459506692,0.033696084,16.05370956,0.422587406,64.01019056,388.8735671,0.012114452
3,10:57:52,31.00000089,0,7.102258128,0.05522139,174.8679064,0.990612693,1.69784179,32.19297791,6,1.420000017,1,2.840000033,30.40345764,32.19297791,30.00844193,401.3416748,392.3526001,31.17440605,32.32471085,69.23641205,71.73612213,500.0021362,1199.08667,1.712253928,96.8190155,-1.733181953,3.700434208,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833336894,0.000990613,305.3429779,303.5534576,191.8538629,1.48268128,4.827488471,49.86095392,17.53624308,31.29821777,4.588658637,0.054168137,3.129646681,1.459011956,0.033948164,16.93053854,0.445690704,64.02208675,388.9765267,0.011689687
4,10:57:54,33.00000085,0,6.998613809,0.054519248,175.0749292,0.978747966,1.698705439,32.19350815,6,1.420000017,1,2.840000033,30.40434647,32.19350815,30.00933456,400.9811401,392.1222839,31.18071938,32.31725693,69.24127197,71.72953033,500.0015259,1199.087158,1.684698701,96.81909943,-1.733181953,3.700434208,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833335876,0.000978748,305.3435081,303.5543465,191.853941,1.488867685,4.827633151,49.86240504,17.54514811,31.29892731,4.588843872,0.05349236,3.128927712,1.45991616,0.033523492,16.95059697,0.446480438,63.9962456,388.7954781,0.01151981
5,10:57:56,35.0000008,0,6.890414137,0.053684064,174.936064,0.964607732,1.699726601,32.19438553,6,1.420000017,1,2.840000033,30.40520096,32.19438553,30.00952721,400.6238708,391.901825,31.18901253,32.30913162,69.25431061,71.71333313,500.0050964,1199.088745,1.660370111,96.81925201,-1.733181953,3.700434208,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833341827,0.000964608,305.3443855,303.555201,191.8541949,1.496177649,4.827872558,49.86479917,17.55566755,31.29979324,4.589069947,0.052688109,3.128145957,1.46092399,0.033018123,16.93717887,0.446377263,63.96609914,388.6264521,0.0113413
6,10:57:58,37.50000075,0,7.132966491,0.053567503,166.8202816,0.962821076,1.700194157,32.19672012,6,1.420000017,1,2.840000033,30.40637207,32.19672012,30.0097084,400.4837341,391.472168,31.19286537,32.31088257,69.25773621,71.71555328,500.0163574,1199.070435,1.629939318,96.81925201,-1.733181953,3.700434208,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833360596,0.000962821,305.3467201,303.5563721,191.8512652,1.496892157,4.828509639,49.87137928,17.56049671,31.3015461,4.589527605,0.052575829,3.128315482,1.461212123,0.032947573,16.15141488,0.426135739,63.95933441,388.0814973,0.011755773
7,10:58:00,39.5000007,0,7.583148988,0.053622869,153.1103461,0.963658625,1.699949113,32.19640732,6,1.420000017,1,2.840000033,30.40654945,32.19640732,30.0097065,400.5348206,390.9833374,31.19353676,32.31251144,69.25759888,71.71966553,500.0222473,1199.054077,1.569591641,96.81931305,-1.733181953,3.700434208,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833370412,0.000963659,305.3464073,303.5565495,191.8486481,1.496498976,4.828424274,49.87046615,17.55795471,31.30147839,4.589509925,0.052629163,3.128475161,1.461034764,0.032981085,14.82403853,0.391603251,63.9645678,387.3786716,0.012521413
8,10:58:02,41.50000066,0,7.509709731,0.053554426,154.7384712,0.96212951,1.699386095,32.19474792,6,1.420000017,1,2.840000033,30.4061451,32.19474792,30.00952721,400.1502686,390.6879578,31.19640732,32.31360626,69.26123047,71.73239899,500.021759,1199.035645,1.494588852,96.81944275,-1.733181953,3.700434208,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833369598,0.00096213,305.3447479,303.5561451,191.8456988,1.497440465,4.827971446,49.86572231,17.55211605,31.30044651,4.589240506,0.052563231,3.128585352,1.460655154,0.032939657,14.98169256,0.396066652,63.97234028,387.1182014,0.01241
9,10:58:04,43.50000061,0,7.23806459,0.053498237,162.4284011,0.960878465,1.698927742,32.19360733,6,1.420000017,1,2.840000033,30.4071064,32.19360733,30.00971413,399.6005554,390.4651489,31.1993885,32.3151207,69.26320648,71.73499298,500.0272827,1199.028198,1.414052844,96.81945801,-1.733181953,3.700434208,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833378805,0.000960878,305.3436073,303.5571064,191.8445074,1.498376065,4.827660214,49.86249989,17.54737919,31.30035686,4.5892171,0.052509101,3.128732471,1.460484629,0.032905645,15.72622976,0.415986936,63.9790681,387.0245197,0.011965253
