OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri Mar  4 2016 12:59:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""12:59:00 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:59:05 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:59:05 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:59:05 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:59:05 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12:59:07,27.00000293,0,-0.84352695,0.013779947,491.3977161,0.159682695,1.079126359,30.30134201,6,1.420000017,1,2.840000033,30.4967308,30.30134201,29.99162292,399.8013306,401.3588867,33.43935394,33.74768066,73.59744263,74.27524567,300.2537842,0.17168662,0.292313188,96.46960449,-0.43010056,0.272451192,0.016667359,0.003876077,0.032888699,0.002623318,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500422974,0.000159683,303.451342,303.6467308,0.027469859,-0.052593529,4.334751765,44.93386065,11.18617999,30.39903641,4.359081439,0.013713408,3.255625406,1.103456032,0.008576834,47.40494332,1.224334959,74.21087737,401.759859,-0.001558117
2,12:59:09,29.00000288,0,-0.83965682,0.013675123,491.7040645,0.159168631,1.083829489,30.32057571,6,1.420000017,1,2.840000033,30.49663353,30.32057571,29.99135971,399.8587036,401.4089661,33.44113541,33.74847794,73.59838104,74.27490234,300.2453308,0.112168677,0.220376313,96.46961975,-0.43010056,0.272451192,0.016667359,0.003876077,0.032888699,0.002623318,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500408885,0.000159169,303.4705757,303.6466335,0.017946988,-0.055071244,4.339532323,44.9834086,11.23493066,30.40860462,4.361470678,0.013609591,3.255702834,1.105767844,0.008511858,47.43450413,1.224945395,74.12538675,401.8080987,-0.001548995
3,12:59:11,31.00000284,0,-0.821568702,0.013575783,490.2706036,0.158842543,1.089454539,30.34350967,6,1.420000017,1,2.840000033,30.49651146,30.34350967,29.99112892,399.9131165,401.4274902,33.44252396,33.74923706,73.60002136,74.27586365,300.244873,0.095130689,0.173444018,96.46985626,-0.43010056,0.272451192,0.016667359,0.003876077,0.032888699,0.002623318,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500408122,0.000158843,303.4935097,303.6465115,0.01522091,-0.05807234,4.345238587,45.04244907,11.29321201,30.42001057,4.3643203,0.013511197,3.255784048,1.108536252,0.008450277,47.29633466,1.22131796,74.02354081,401.8180246,-0.001513507
4,12:59:13,33.00000279,0,-0.796822363,0.013519945,487.7276794,0.158619466,1.092381093,30.35530853,6,1.420000017,1,2.840000033,30.49613571,30.35530853,29.99106026,399.9587097,401.4238281,33.44300842,33.74929428,73.60171509,74.27672577,300.2414246,0.094196416,0.146596968,96.47003937,-0.43010056,0.272451192,0.016667359,0.003876077,0.032888699,0.002623318,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500402374,0.000158619,303.5053085,303.6461357,0.015071426,-0.059617457,4.348176841,45.07282126,11.32352698,30.42572212,4.365747865,0.013455887,3.255795748,1.109952117,0.008415661,47.05110843,1.214994341,73.97044036,401.8025993,-0.001466922
