OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri Mar  4 2016 14:39:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""14:39:32 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:39:33 Log Option: Logged values are 15 s averages""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:39:33 Lamp: ParIn ->  1200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:39:33 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:39:34 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:39:34 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14:39:36,208.0000019,0,4.182251277,0.067611759,287.5783463,0.662675276,0.928284612,30.09781647,6,1.420000017,1,2.840000033,30.66959953,30.09781647,29.99598694,399.3497925,394.0201416,34.07329559,34.84045792,74.17790222,75.74879456,500.2232361,1199.867432,2.335522413,96.329422,-0.116523944,0.278581202,0.029311584,0.002326154,0.023717696,0.002834425,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833705393,0.000662675,303.2478165,303.8195995,191.9787848,1.915340492,4.284445785,44.47702162,9.636563707,30.383708,4.355256222,0.066039558,3.356161173,0.999095049,0.041413154,27.70225588,0.729856969,77.96348899,392.0320996,0.00831725
2,14:39:38,210.0000019,0,4.156800914,0.067769408,288.4331113,0.664145106,0.928224687,30.09863472,6,1.420000017,1,2.840000033,30.66982651,30.09863472,29.9958477,399.3382568,394.038147,34.07436371,34.84326553,74.16449738,75.77484131,500.197113,1199.786133,2.218057394,96.32915497,-0.116523944,0.278581202,0.029311584,0.002326154,0.023717696,0.002834425,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833661855,0.000664145,303.2486347,303.8198265,191.965777,1.914379653,4.284647012,44.47923387,9.635968332,30.38423061,4.355386593,0.066189952,3.356422325,0.998964268,0.041507783,27.78451788,0.731992863,77.96708344,392.0622029,0.008266383
3,14:39:40,212.0000018,0,4.130021018,0.067897275,289.2717821,0.665231537,0.92803124,30.09879303,6,1.420000017,1,2.840000033,30.67012787,30.09879303,29.99551964,399.3222656,394.0536804,34.07552338,34.84569168,74.15940094,75.78805542,500.1902161,1199.711304,2.164677382,96.32911682,-0.116523944,0.278581202,0.029311584,0.002326154,0.023717696,0.002834425,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83365036,0.000665232,303.248793,303.8201279,191.9538043,1.913722777,4.284685945,44.47965565,9.633963964,30.38446045,4.355443928,0.066311923,3.356654705,0.998789224,0.041584529,27.86529529,0.734092324,77.97281134,392.0904662,0.008213139
4,14:39:42,214.0000018,0,4.113023163,0.068042509,289.9026614,0.666543708,0.927923989,30.09913063,6,1.420000017,1,2.840000033,30.67051888,30.09913063,29.9951992,399.3222656,394.0734558,34.07591248,34.84759521,74.15595245,75.79568481,500.1922913,1199.634644,2.178560019,96.32931519,-0.116523944,0.278581202,0.029311584,0.002326154,0.023717696,0.002834425,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833653819,0.000666544,303.2491306,303.8205189,191.9415387,1.912937645,4.284768971,44.48042596,9.632830741,30.38482475,4.35553481,0.066450447,3.356844983,0.998689827,0.041671691,27.92612485,0.735656404,77.97685305,392.1183216,0.008179179
5,14:39:44,216.0000017,0,4.107950046,0.068245114,290.3203082,0.668359296,0.927754031,30.099123,6,1.420000017,1,2.840000033,30.67054367,30.099123,29.99465561,399.3286133,394.0849609,34.07551193,34.8493042,74.15330505,75.80197144,500.1865234,1199.583496,2.194370747,96.32941437,-0.116523944,0.278581202,0.029311584,0.002326154,0.023717696,0.002834425,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833644206,0.000668359,303.249123,303.8205437,191.9333551,1.911945706,4.284767095,44.48036068,9.631056481,30.38483334,4.355536951,0.066643669,3.357013065,0.998523887,0.041793272,27.96638526,0.736694715,77.98239229,392.1322382,0.008169381
6,14:39:46,218.0000017,0,4.113704552,0.068484634,290.5195553,0.670467327,0.927500806,30.09871483,6,1.420000017,1,2.840000033,30.67048454,30.09871483,29.99420738,399.3362427,394.0846252,34.07466888,34.85091019,74.15066528,75.80763245,500.1802368,1199.543213,2.21032238,96.32936096,-0.116523944,0.278581202,0.029311584,0.002326154,0.023717696,0.002834425,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833633728,0.000670467,303.2487148,303.8204845,191.9269098,1.910871707,4.284666713,44.47934327,9.628433079,30.38459969,4.355478663,0.06687206,3.357165907,0.998312756,0.041936986,27.98556311,0.737200938,77.98969217,392.1291671,0.008181655
