OPEN 6.2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat Mar  5 2016 15:02:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#1.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""15:02:51 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:03:04 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:03:04 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:03:04 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:03:04 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15:03:06,29.50000032,0,-0.30990689,0.056811773,398.9172351,0.748638159,1.244780577,30.69427872,6,1.420000017,1,2.840000033,30.52509117,30.69427872,30.00338745,398.5681152,398.5911255,31.6215229,33.06912994,69.39233398,72.57719421,300.0322571,0.075067759,0.572757781,96.42080688,-0.889261246,0.034978867,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500053762,0.000748638,303.8442787,303.6750912,0.012010841,-0.411942196,4.433332769,45.97900508,12.90987513,30.60968494,4.411946259,0.05569759,3.188552192,1.223394067,0.03490941,38.46392169,1.000818156,71.34014105,398.7384404,-0.000554469
2,15:03:08,31.50000028,0,-0.269586363,0.056744038,397.8070344,0.748234996,1.245567556,30.69711685,6,1.420000017,1,2.840000033,30.52073097,30.69711685,30.00484276,398.6780396,398.620697,31.62151337,33.06827927,69.42463684,72.60631561,300.0452881,0.056652002,0.407919496,96.42123413,-0.889261246,0.034978867,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.50007548,0.000748235,303.8471169,303.670731,0.00906432,-0.412787925,4.434051853,45.98625908,12.91797981,30.60892391,4.411754268,0.055632484,3.188484297,1.22326997,0.034868489,38.3570452,0.997958805,71.32590637,398.7488455,-0.000482221
3,15:03:10,33.50000023,0,-0.191070658,0.056743027,395.6090367,0.748304908,1.245709532,30.69774628,6,1.420000017,1,2.840000033,30.52039146,30.69774628,30.00562859,398.8665161,398.6520691,31.62147141,33.06833267,69.43670654,72.61730957,300.0535278,0.050160721,0.319959581,96.42160797,-0.889261246,0.034978867,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500089213,0.000748305,303.8477463,303.6703915,0.008025715,-0.412973597,4.434211341,45.98773485,12.91940218,30.60906887,4.411790837,0.055631513,3.188501809,1.223289028,0.034867878,38.14525944,0.992366696,71.32363657,398.7428949,-0.00034177
4,15:03:12,35.50000019,0,-0.104753477,0.056762839,393.1995143,0.74866872,1.245889425,30.69852066,6,1.420000017,1,2.840000033,30.5229969,30.69852066,30.00688553,399.0823364,398.6949463,31.62093735,33.06844711,69.43278503,72.61376953,300.0648804,0.02748506,0.289144427,96.42176819,-0.889261246,0.034978867,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500108134,0.000748669,303.8485207,303.6729969,0.004397609,-0.412944852,4.434407567,45.98969351,12.9212464,30.61075878,4.412217176,0.055650556,3.188518142,1.223699034,0.034879847,37.91299242,0.986216449,71.32092974,398.7447411,-0.000187366
5,15:03:14,38.00000013,0,-0.040606085,0.056781651,391.4604598,0.7488778,1.245834457,30.69839859,6,1.420000017,1,2.840000033,30.52782059,30.69839859,30.0072403,399.2931213,398.7771912,31.62078285,33.06864929,69.42047119,72.60138702,300.0746765,-0.005934953,0.25489372,96.42190552,-0.889261246,0.034978867,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500124461,0.000748878,303.8483986,303.6778206,-0.000949592,-0.412414588,4.434376634,45.98930721,12.92065791,30.61310959,4.412810309,0.055668638,3.188542178,1.224268131,0.034891213,37.74536347,0.981652082,71.322184,398.7964933,-7.26214E-05
6,15:03:16,40.00000009,0,-0.023041556,0.056786486,391.0410124,0.74878629,1.245581627,30.69747925,6,1.420000017,1,2.840000033,30.53165817,30.69747925,30.00643539,399.4068909,398.8558044,31.62113953,33.06880569,69.41152954,72.59152985,300.0794678,-0.012123441,0.231418416,96.42205048,-0.889261246,0.034978867,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500132446,0.000748786,303.8474792,303.6816582,-0.001939751,-0.411704327,4.434143679,45.98682207,12.91801638,30.61456871,4.413178495,0.055673285,3.188562052,1.224616443,0.034894134,37.70497624,0.980406974,71.32658016,398.8667573,-4.12036E-05
7,15:03:18,42.00000004,0,-0.021346993,0.056748688,391.0709145,0.748553767,1.246006711,30.69925117,6,1.420000017,1,2.840000033,30.53588867,30.69925117,30.00676918,399.4924011,398.9379883,31.62178612,33.06900406,69.40145111,72.57987976,300.0791321,-0.023295626,0.215125695,96.42219543,-0.889261246,0.034978867,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500131887,0.000748554,303.8492512,303.6858887,-0.0037273,-0.411255427,4.434592683,45.99140958,12.92240552,30.61756992,4.413935888,0.055636954,3.188585972,1.225349916,0.034871298,37.70791615,0.980279958,71.31925319,398.9481356,-3.81616E-05
8,15:03:20,44,0,0.002721391,0.056652525,390.4994882,0.748172996,1.247438787,30.70494843,6,1.420000017,1,2.840000033,30.54053116,30.70494843,30.00882912,399.6643372,399.0619202,31.62256813,33.06904602,69.39326477,72.56886292,300.0799255,-0.03606876,0.169428945,96.42243195,-0.889261246,0.034978867,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500133209,0.000748173,303.8549484,303.6905312,-0.005771001,-0.411229728,4.436036627,46.00627196,12.93722594,30.62273979,4.415240833,0.055544519,3.188597839,1.226642994,0.0348132,37.65291033,0.978543601,71.29446021,399.0606265,4.86192E-06
9,15:03:22,45.99999996,0,0.022248802,0.056589546,390.0782034,0.748170665,1.248787939,30.71045876,6,1.420000017,1,2.840000033,30.54615021,30.71045876,30.01028442,399.8502197,399.2085571,31.62306404,33.06949997,69.37837219,72.55283356,300.0875549,-0.034132168,0.152276516,96.42255402,-0.889261246,0.034978867,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500145925,0.000748171,303.8604588,303.6961502,-0.005461147,-0.411207545,4.437433586,46.0207016,12.95120163,30.62830448,4.416645812,0.055483978,3.188645647,1.228000165,0.034775148,37.61233664,0.977128863,71.27161353,399.1979811,3.97223E-05
10,15:03:24,47.99999991,0,0.013763695,0.056540145,390.4604111,0.748220368,1.249933738,30.71509552,6,1.420000017,1,2.840000033,30.55022049,30.71509552,30.01030731,399.9856567,399.3607178,31.62331009,33.06978226,69.3640976,72.53793335,300.099884,-0.031370152,0.139030159,96.42263794,-0.889261246,0.034978867,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500166473,0.00074822,303.8650955,303.7002205,-0.005019224,-0.411306878,4.438609379,46.03285571,12.96307345,30.632658,4.417745267,0.055436488,3.188675641,1.229069625,0.0347453,37.64922285,0.977713615,71.25219518,399.3541752,2.4557E-05
11,15:03:26,49.99999987,0,-0.032627396,0.056439513,391.923161,0.747665018,1.251181739,30.71998024,6,1.420000017,1,2.840000033,30.55145454,30.71998024,30.00945091,400.0446167,399.5126343,31.6242466,33.06967545,69.3578949,72.52973175,300.0936279,-0.022588378,0.128555268,96.42267609,-0.889261246,0.034978867,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500156047,0.000747665,303.8699802,303.7014545,-0.00361414,-0.411518771,4.439848342,46.04568679,12.97601134,30.63571739,4.418518038,0.055339742,3.188666604,1.229851434,0.034684493,37.79028001,0.981003171,71.23033197,399.5281438,-5.81701E-05
12,15:03:29,52.49999981,0,-0.114449131,0.056275504,394.425097,0.746599329,1.252955407,30.72669792,6,1.420000017,1,2.840000033,30.5506115,30.72669792,30.00791359,400.0550537,399.6872253,31.62552834,33.06901169,69.3600769,72.52829742,300.0699768,-0.01142318,0.148785785,96.42251587,-0.889261246,0.034978867,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500116628,0.000746599,303.8766979,303.7006115,-0.001827709,-0.412015819,4.441552711,46.06343935,12.99442766,30.63865471,4.419260086,0.055182054,3.188597304,1.230662781,0.034585385,38.03146017,0.986834384,71.1987167,399.741629,-0.000203847
13,15:03:31,54.49999977,0,-0.171937788,0.0561473,396.1763139,0.745915344,1.254597865,30.73271561,6,1.420000017,1,2.840000033,30.54676437,30.73271561,30.00729942,400.0490417,399.7965393,31.62568092,33.06789017,69.36790466,72.53382874,300.0602722,-0.010549751,0.153226212,96.42230225,-0.889261246,0.034978867,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500100454,0.000745915,303.8827156,303.6967644,-0.00168796,-0.413057229,4.443079965,46.07938062,13.01149045,30.63973999,4.419534285,0.055058778,3.1884821,1.231052185,0.034507905,38.20023228,0.990944831,71.16937649,399.8782703,-0.000306011
