OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thr Mar  3 2016 19:12:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""19:12:30 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""19:12:32 Lamp: ParIn ->  1200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""19:12:32 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""19:12:32 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""19:12:32 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,19:12:34,16.00000125,0,0.232900795,0.014211539,361.1395707,0.2934469,1.934412198,30.33085632,6,1.420000017,1,2.840000033,29.63261986,30.33085632,30.00471497,400.5217896,400.1016235,24.58322716,24.9264183,56.92516327,57.71849823,500.2442322,1199.295654,0.253447026,96.59138489,0.351112157,2.767891645,0.031235214,0.001980795,0.043104969,0.001421782,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833740387,0.000293447,303.4808563,302.7826199,191.8873004,1.925125473,4.342089463,44.95317536,20.02675705,29.98173809,4.25598282,0.014140778,2.407677264,1.848305555,0.008844317,34.88297127,0.902619608,54.06665949,399.9909137,0.000314811
2,19:12:36,18.00000121,0,0.205321283,0.014193792,364.1891108,0.29312878,1.934712589,30.33248329,6,1.420000017,1,2.840000033,29.63190651,30.33248329,30.00432968,400.5015259,400.114563,24.58467484,24.92751503,56.92898178,57.72261047,500.2128906,1199.361206,0.200125337,96.59132385,0.351112157,2.767891645,0.031235214,0.001980795,0.043104969,0.001421782,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833688151,0.000293129,303.4824833,302.7819065,191.8977887,1.9250805,4.342494266,44.95739465,20.02987962,29.9821949,4.256094508,0.014123207,2.407781677,1.848312831,0.008833319,35.17750834,0.910212085,54.06339699,400.0169631,0.000277497
3,19:12:38,20.00000116,0,0.144319597,0.014145299,370.9409709,0.292173496,1.934979621,30.33355522,6,1.420000017,1,2.840000033,29.63135338,30.33355522,30.00387764,400.4438171,400.1304626,24.58581352,24.92755318,56.93229294,57.72455978,500.1883545,1199.410889,0.172853202,96.59116364,0.351112157,2.767891645,0.031235214,0.001980795,0.043104969,0.001421782,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833647257,0.000292173,303.4835552,302.7813534,191.9057379,1.925422533,4.342760989,44.96023058,20.0326774,29.9824543,4.256157931,0.014075194,2.407781368,1.848376563,0.008803268,35.82962002,0.927050064,54.05902951,400.06186,0.000195014
4,19:12:41,22.50000111,0,0.064309084,0.014111994,379.8666336,0.291518951,1.935177331,30.334095,6,1.420000017,1,2.840000033,29.63080025,30.334095,30.00324821,400.3511658,400.1340942,24.58591843,24.92690277,56.93436813,57.72503662,500.1736145,1199.395142,0.133638337,96.59114075,0.351112157,2.767891645,0.031235214,0.001980795,0.043104969,0.001421782,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833622691,0.000291519,303.484095,302.7808002,191.9032184,1.925570437,4.342895305,44.96163179,20.03472902,29.98244762,4.256156299,0.014042218,2.407717974,1.848438325,0.008782629,36.69175148,0.949348329,54.0552024,400.1035248,8.68835E-05
