OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri Mar  4 2016 15:36:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""15:36:40 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:36:41 Lamp: ParIn ->  1200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:36:41 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:36:41 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:36:41 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15:36:43,13.50000175,0,0.122496472,0.012988001,375.0690674,0.188745023,1.352547103,30.24507904,6,1.420000017,1,2.840000033,30.21754456,30.24507904,29.9939518,399.4933472,399.2559814,30.60574532,30.82520294,68.33164215,68.81752777,500.1245728,1199.885376,0.89960587,96.29285431,-0.492315888,0.270371765,0.03126644,0.00400309,0.023009289,0.003390772,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833540955,0.000188745,303.395079,303.3675446,191.9816559,2.069398001,4.320793879,44.87138646,14.04618352,30.2313118,4.317384431,0.012928875,2.968246776,1.349137655,0.008085838,36.11647106,0.939420033,67.61352431,399.1977525,0.000207477
2,15:36:45,15.50000171,0,0.140769608,0.013124148,373.0298846,0.190667782,1.352217504,30.24378967,6,1.420000017,1,2.840000033,30.21748161,30.24378967,29.994133,399.5311279,399.2709045,30.60362816,30.82533073,68.32224274,68.81376648,500.1034851,1199.911865,0.846658885,96.29278564,-0.492315888,0.270371765,0.03126644,0.00400309,0.023009289,0.003390772,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833505809,0.000190668,303.3937897,303.3674816,191.9858941,2.068658876,4.320474469,44.86810138,14.04277065,30.23063564,4.317217042,0.013063778,2.968256965,1.348960077,0.008170263,35.92008671,0.934277655,67.62062106,399.2039894,0.000238448
3,15:36:47,17.50000167,0,0.169604499,0.013139183,369.5847,0.190864274,1.352067765,30.24262428,6,1.420000017,1,2.840000033,30.21767616,30.24262428,29.9942131,399.5852661,399.2903442,30.60205269,30.82398796,68.31607819,68.80937958,500.0946655,1199.89502,0.801437199,96.29247284,-0.492315888,0.270371765,0.03126644,0.00400309,0.023009289,0.003390772,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833491109,0.000190864,303.3926243,303.3676762,191.9831988,2.068718605,4.320185788,44.86524918,14.04126122,30.23015022,4.317096875,0.013078675,2.968118024,1.348978851,0.008179587,35.58822469,0.9256039,67.62228443,399.2097224,0.000287294
4,15:36:49,19.50000162,0,0.202948792,0.013116692,365.5352658,0.190547385,1.352126936,30.24205208,6,1.420000017,1,2.840000033,30.21788788,30.24205208,29.99417686,399.6480103,399.3132324,30.60038757,30.82195282,68.31091309,68.80396271,500.0992126,1199.858643,0.747488856,96.29231262,-0.492315888,0.270371765,0.03126644,0.00400309,0.023009289,0.003390772,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833498688,0.000190547,303.3920521,303.3678879,191.9773785,2.068918725,4.320044053,44.8638519,14.04189908,30.22996998,4.317052255,0.013056391,2.967917117,1.349135139,0.00816564,35.19823609,0.915409849,67.61960765,399.2167603,0.000343756
5,15:36:51,21.50000158,0,0.219155398,0.013120073,363.5962255,0.190603768,1.352181481,30.24173355,6,1.420000017,1,2.840000033,30.21789742,30.24173355,29.99415016,399.6842041,399.3299561,30.59894371,30.8205719,68.30715942,68.80049896,500.105835,1199.852295,0.696346462,96.29229736,-0.492315888,0.270371765,0.03126644,0.00400309,0.023009289,0.003390772,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833509725,0.000190604,303.3917336,303.3678974,191.9763629,2.068924642,4.319965155,44.86303966,14.04246776,30.22981548,4.317014011,0.01305974,2.967783674,1.349230336,0.008167737,35.01151586,0.910515778,67.6177853,399.2257801,0.000371189
