OPEN 6.2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thr Mar  3 2016 15:47:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#1.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""15:47:45 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:47:46 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:47:46 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:47:46 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:47:46 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15:47:48,8.500000078,0,-0.610164799,0.011429658,476.2851081,0.174953705,1.428672396,30.14746094,6,1.420000017,1,2.840000033,30.18156052,30.14746094,30.00939941,400.2803955,401.3601379,29.36752701,29.7069931,65.86503601,66.62963104,300.0411987,-0.226598293,0.059586115,96.54282379,-2.708962917,0.577861547,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500068665,0.000174954,303.2974609,303.3315605,-0.036255726,-0.086361748,4.296669397,44.50532135,14.79832824,30.16451073,4.300874452,0.011383843,2.867997001,1.432877452,0.007119004,45.98190927,1.186677657,65.60637251,401.6501811,-0.000996656
2,15:47:50,11.00000002,0,-0.613587707,0.011500875,476.2383529,0.176011459,1.428442816,30.14634895,6,1.420000017,1,2.840000033,30.18112183,30.14634895,30.00916672,400.2762756,401.3621521,29.36507034,29.70663261,65.85894775,66.62537384,300.0028381,-0.179001421,0.05432551,96.54249573,-2.708962917,0.577861547,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.50000473,0.000176011,303.296349,303.3311218,-0.028640227,-0.086725819,4.296395268,44.50263312,14.79600051,30.16373539,4.30068315,0.011454489,2.867952452,1.432730698,0.007163208,45.97723915,1.186555211,65.61061863,401.6538223,-0.001002303
3,15:47:52,12.99999998,0,-0.615538652,0.011530852,476.2857512,0.176467733,1.428439085,30.14613914,6,1.420000017,1,2.840000033,30.18150139,30.14613914,30.00892067,400.2708435,401.360321,29.36365318,29.70612144,65.85469818,66.62251282,299.9849854,-0.136943534,0.083066396,96.5425415,-2.708962917,0.577861547,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499974976,0.000176468,303.2961391,303.3315014,-0.021910965,-0.086800013,4.296343547,44.50207629,14.79595485,30.16382027,4.300704092,0.011484224,2.867904462,1.432799629,0.007181815,45.98183691,1.186678718,65.61067506,401.6529186,-0.001005493
4,15:47:54,14.99999993,0,-0.613264886,0.011534583,475.9495303,0.176529936,1.428483624,30.14601517,6,1.420000017,1,2.840000033,30.18208122,30.14601517,30.00863266,400.2795715,401.3644714,29.36273575,29.7053318,65.8505249,66.6186676,299.9790344,-0.100931823,0.101630911,96.54257965,-2.708962917,0.577861547,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499965057,0.00017653,303.2960152,303.3320812,-0.016149091,-0.086664953,4.296312985,44.50174214,14.79641034,30.16404819,4.300760329,0.011487925,2.867829362,1.432930967,0.00718413,45.94939544,1.185828752,65.60942323,401.6559882,-0.001001752
