OPEN 6.2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat Mar  5 2016 10:55:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#1.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""10:55:15 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:55:16 Lamp: ParIn ->  1200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:55:16 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:55:16 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:55:16 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10:55:18,10.00000083,0,4.126917101,0.062728768,278.0026272,1.041220927,1.575425521,31.63891411,6,1.420000017,1,2.840000033,30.18324852,31.63891411,30.02990913,399.7990112,394.3543091,30.86174393,32.071064,69.39053345,72.10371399,500.0303345,1199.933472,9.259120941,96.75170135,-1.145425797,0.052602738,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833383891,0.001041221,304.7889141,303.3332485,191.9893512,1.507681375,4.678355527,48.35424557,16.28318157,30.91108131,4.488556392,0.061373182,3.102930006,1.385626386,0.038477769,26.89722716,0.704956484,65.67255203,392.3925703,0.006906991
2,10:55:20,12.00000078,0,4.178056262,0.062791659,276.818098,1.042096906,1.575207682,31.63791847,6,1.420000017,1,2.840000033,30.18242645,31.63791847,30.02920532,399.8814392,394.375061,30.86028862,32.0705986,69.37626648,72.09291077,500.0419312,1199.899658,9.446040154,96.75165558,-1.145425797,0.052602738,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833403219,0.001042097,304.7879185,303.3324265,191.983941,1.507193049,4.678091192,48.35153636,16.28093775,30.91017246,4.488323646,0.061433383,3.10288351,1.385440136,0.038515629,26.78260927,0.701915829,65.67615962,392.3890132,0.006993027
3,10:55:22,14.00000074,0,4.248729795,0.062773041,275.0157344,1.041719376,1.575097355,31.63740921,6,1.420000017,1,2.840000033,30.1807003,31.63740921,30.02687836,400.0061951,394.4152527,30.86045265,32.07030106,69.37498474,72.09196472,500.0516357,1199.860718,9.554884911,96.75177765,-1.145425797,0.052602738,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833419393,0.001041719,304.7874092,303.3307003,191.9777106,1.507145674,4.677955992,48.35007796,16.2797769,30.90905476,4.488037429,0.061415562,3.102858637,1.385178792,0.038504422,26.60826118,0.697274592,65.67738297,392.39561,0.00711133
4,10:55:24,16.00000069,0,4.300924777,0.062787426,273.7711467,1.041195041,1.573964975,31.63315201,6,1.420000017,1,2.840000033,30.17667198,31.63315201,30.02244186,400.131958,394.4785461,30.8610096,32.07025146,69.38297272,72.10006714,500.0506592,1199.819092,9.604782104,96.7519989,-1.145425797,0.052602738,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833417765,0.001041195,304.783152,303.326672,191.9710504,1.507388985,4.676825909,48.33828719,16.26803573,30.90491199,4.486976709,0.061429331,3.102860934,1.384115774,0.038513081,26.48790569,0.694007695,65.69415247,392.4340925,0.007199823
5,10:55:27,18.50000064,0,4.325456589,0.062854388,273.3524057,1.040757726,1.571686873,31.62460518,6,1.420000017,1,2.840000033,30.17045403,31.62460518,30.01639557,400.2443848,394.5615845,30.86153603,32.07028198,69.40252686,72.11978912,500.0456848,1199.77771,9.665398598,96.75222015,-1.145425797,0.052602738,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833409475,0.001040758,304.7746052,303.320454,191.9644293,1.507902029,4.674557855,48.31473477,16.24445279,30.8975296,4.485087049,0.061493426,3.102870983,1.382216066,0.038553391,26.44745213,0.692800355,65.72839531,392.5054696,0.007243347
6,10:55:29,20.50000059,0,4.325684921,0.062900726,273.4881872,1.04069252,1.570466499,31.62013054,6,1.420000017,1,2.840000033,30.16764069,31.62013054,30.01337433,400.3008423,394.6176758,30.86192513,32.07060623,69.41207123,72.12955475,500.0410156,1199.763184,9.712921143,96.75228119,-1.145425797,0.052602738,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833401693,0.001040693,304.7701305,303.3176407,191.9621051,1.508161651,4.673370811,48.30243539,16.23182916,30.89388561,4.484154558,0.061537779,3.102904312,1.381250246,0.038581285,26.46060599,0.693045963,65.74706847,392.5614523,0.007244754
7,10:55:31,22.50000055,0,4.321193172,0.06289607,273.6475615,1.040587995,1.570422915,31.62012482,6,1.420000017,1,2.840000033,30.16728973,31.62012482,30.01266479,400.3492432,394.6713867,30.86245346,32.07102585,69.41549683,72.13303375,500.035553,1199.757813,9.775506973,96.75232697,-1.145425797,0.052602738,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833392588,0.001040588,304.7701248,303.3172897,191.9612457,1.508156965,4.673369294,48.30239685,16.23137101,30.89370728,4.484108926,0.061533322,3.102946379,1.381162547,0.038578482,26.47603835,0.693355462,65.74794623,392.6172984,0.007236298
8,10:55:33,24.5000005,0,4.330280735,0.062849174,273.4183575,1.040522409,1.571462956,31.6243782,6,1.420000017,1,2.840000033,30.16858292,31.6243782,30.01264572,400.4530334,394.7641296,30.8633728,32.07188034,69.40964508,72.12721252,500.030426,1199.730591,9.89980793,96.75250244,-1.145425797,0.052602738,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833384043,0.001040522,304.7743782,303.3185829,191.9568902,1.507704203,4.674497637,48.31397141,16.24209107,30.89648056,4.484818583,0.061488435,3.103034681,1.381783902,0.038550253,26.4539103,0.69261196,65.73276006,392.7057216,0.007248209
9,10:55:35,26.50000046,0,4.327927417,0.062812872,273.5119571,1.040854477,1.572840605,31.63025665,6,1.420000017,1,2.840000033,30.17058754,31.63025665,30.0124054,400.5574341,394.8710632,30.86483192,32.07372284,69.4071579,72.12540436,500.030426,1199.705322,9.976886749,96.75262451,-1.145425797,0.052602738,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833384043,0.001040854,304.7802567,303.3205875,191.9528473,1.506913484,4.676057468,48.3300323,16.25630946,30.9004221,4.485827354,0.061453688,3.103216863,1.382610491,0.0385284,26.46299969,0.692661435,65.71341139,392.8137738,0.007240145
10,10:55:37,28.50000041,0,4.314068833,0.062838565,274.0016718,1.041591449,1.573315799,31.63294411,6,1.420000017,1,2.840000033,30.17127609,31.63294411,30.01060104,400.6370544,394.9668274,30.86645126,32.07619858,69.40830994,72.12800598,500.0289612,1199.689453,10.05120659,96.75257874,-1.145425797,0.052602738,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833381602,0.001041591,304.7829441,303.3212761,191.9503082,1.506208776,4.676770728,48.33742717,16.26122859,30.9021101,4.48625943,0.061478281,3.103454928,1.382804502,0.038543866,26.51036832,0.693733379,65.70841041,392.9161257,0.007214532
11,10:55:39,30.50000037,0,4.281150418,0.062870474,274.9705623,1.042031774,1.573195298,31.63327026,6,1.420000017,1,2.840000033,30.17144203,31.63327026,30.00830269,400.6707458,395.0397339,30.86811638,32.07836914,69.41204834,72.13272095,500.030304,1199.677002,10.13960171,96.75248718,-1.145425797,0.052602738,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83338384,0.001042032,304.7832703,303.321442,191.948316,1.505933466,4.676857297,48.33836766,16.25999852,30.90235615,4.486322414,0.061508823,3.103661999,1.382660415,0.038563075,26.60408581,0.696057988,65.71199286,393.00468,0.007158259
