OPEN 6.2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thr Mar  3 2016 19:11:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#1.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""19:11:18 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""19:11:19 Lamp: ParIn ->  1200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""19:11:19 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""19:11:19 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""19:11:19 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,19:11:21,11.00000228,0,0.196812323,0.004962611,323.614752,0.104214204,1.963162296,30.57915115,6,1.420000017,1,2.840000033,29.74996567,30.57915115,30.01559067,399.6141052,399.3276672,25.11037445,25.23241425,57.85134888,58.12692261,499.4336243,1200.495361,0.140800312,96.74407959,-2.968759537,0.608361959,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832389374,0.000104214,303.7291512,302.8999657,192.0792535,2.086858355,4.404248988,45.52473916,20.29232491,30.16455841,4.300886218,0.004953954,2.441086692,1.859799526,0.003096998,31.30781133,0.810399025,53.87151246,399.2341121,0.000265573
2,19:11:24,13.50000222,0,0.241707278,0.004963173,309.3271292,0.104426264,1.96690388,30.59386826,6,1.420000017,1,2.840000033,29.74967957,30.59386826,30.01493454,399.6502686,399.3097229,25.1096611,25.23197556,57.84749222,58.1264534,499.326355,1200.535889,0.208094403,96.74445343,-2.968759537,0.608361959,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832210592,0.000104426,303.7438683,302.8996796,192.0857379,2.08465218,4.407957564,45.56289697,20.33092142,30.17177391,4.302666888,0.004954514,2.441053684,1.861613204,0.003097348,29.92568404,0.774654639,53.82158616,399.1948268,0.000325883
3,19:11:26,15.50000218,0,0.30181047,0.00491127,289.2240929,0.103461779,1.96927728,30.60295868,6,1.420000017,1,2.840000033,29.74871445,30.60295868,30.01409149,399.7273865,399.3150024,25.10987091,25.2310791,57.84964752,58.12746048,499.2302551,1200.559326,0.222009122,96.74466705,-2.968759537,0.608361959,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832050425,0.000103462,303.7529587,302.8987144,192.0894879,2.083743297,4.410249627,45.58648824,20.35540914,30.17583656,4.303669769,0.004902791,2.440972347,1.862697422,0.003065005,27.98088857,0.724300592,53.78850593,399.1715362,0.000406691
4,19:11:28,17.50000213,0,0.371688894,0.004897433,266.4814748,0.10325746,1.970921605,30.60935974,6,1.420000017,1,2.840000033,29.74838066,30.60935974,30.01345062,399.8356018,399.3392944,25.10970879,25.23068619,57.85027313,58.12796402,499.1950684,1200.575562,0.20010972,96.74499512,-2.968759537,0.608361959,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.831991781,0.000103257,303.7593597,302.8983807,192.0920856,2.082905263,4.411864217,45.60302278,20.3723366,30.1788702,4.304418767,0.004889003,2.440942612,1.863476155,0.003056383,25.78074898,0.667305919,53.76623408,399.1626113,0.000500656
