OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thr Mar  3 2016 14:35:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""14:35:49 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:35:58 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:35:58 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:35:58 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:35:58 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14:36:00,38.50000059,0,-1.536771947,0.018664834,526.8286602,0.218701607,1.092903978,30.19431305,6,1.420000017,1,2.840000033,30.66606712,30.19431305,29.9944458,400.2232056,403.1173096,32.92288971,33.34525299,71.73375702,72.64755249,300.3229065,-0.140347987,0.51459229,96.42539978,0.89846617,3.133725643,0.024381978,0.001168498,0.043646149,0.004127431,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500538177,0.000218702,303.344313,303.8160671,-0.022455677,-0.044924324,4.308233328,44.67944481,11.33419182,30.43019009,4.366864886,0.018542967,3.21532935,1.151535535,0.011600242,50.79966418,1.306886724,73.77472297,403.8478174,-0.002807368
2,14:36:02,40.50000055,0,-1.53759178,0.018692464,526.675319,0.219077372,1.093173503,30.19496155,6,1.420000017,1,2.840000033,30.66633224,30.19496155,29.99405479,400.1931458,403.088562,32.9210434,33.34412766,71.72580719,72.64356995,300.3265991,-0.126161858,0.304235697,96.42537689,0.89846617,3.133725643,0.024381978,0.001168498,0.043646149,0.004127431,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500544332,0.000219077,303.3449615,303.8163322,-0.020185897,-0.045137619,4.308393579,44.68111734,11.33698968,30.4306469,4.366979105,0.018570237,3.215220076,1.151759029,0.011617318,50.78486614,1.306599514,73.76947721,403.8194595,-0.002808863
3,14:36:04,43.00000049,0,-1.555674012,0.018611988,528.750145,0.218192355,1.0934357,30.19498062,6,1.420000017,1,2.840000033,30.6661377,30.19498062,29.99355316,400.1201477,403.0524902,32.92007065,33.34145737,71.72223663,72.63831329,300.3191528,-0.08651574,0.231633216,96.42537689,0.89846617,3.133725643,0.024381978,0.001168498,0.043646149,0.004127431,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500531921,0.000218192,303.3449806,303.8161377,-0.013842518,-0.044654546,4.308398293,44.68116622,11.33970885,30.43055916,4.366957167,0.018490809,3.214962593,1.151994575,0.011567582,50.98493201,1.311864231,73.76251171,403.7919832,-0.00284182
4,14:36:06,45.00000045,0,-1.577171332,0.018582327,530.7788233,0.217880059,1.093603902,30.19501114,6,1.420000017,1,2.840000033,30.66594887,30.19501114,29.99314117,400.0510559,403.0265808,32.91898727,33.33976746,71.72015381,72.63545227,300.322113,-0.066462189,0.21953775,96.42544556,0.89846617,3.133725643,0.024381978,0.001168498,0.043646149,0.004127431,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500536855,0.00021788,303.3450111,303.8159489,-0.01063395,-0.044492755,4.308405834,44.68121261,11.34144515,30.43048,4.366937376,0.018461532,3.214801932,1.152135444,0.01154925,51.18058453,1.316982176,73.7582717,403.7762925,-0.002881037
5,14:36:08,47.0000004,0,-1.597866758,0.018600648,532.3983391,0.21810889,1.093682608,30.19481277,6,1.420000017,1,2.840000033,30.66571426,30.19481277,29.99269867,399.9886475,403.0053711,32.91720581,33.33843231,71.71744537,72.63392639,300.319397,-0.043512564,0.184656069,96.42547607,0.89846617,3.133725643,0.024381978,0.001168498,0.043646149,0.004127431,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500532328,0.000218109,303.3448128,303.8157143,-0.00696201,-0.044570305,4.308356815,44.68069011,11.3422578,30.43026352,4.366883247,0.018479615,3.214674207,1.152209039,0.011560573,51.33676331,1.321070083,73.75627808,403.7649204,-0.002918845
6,14:36:10,49.00000036,0,-1.607663462,0.018566967,533.4645661,0.217732346,1.093762552,30.19449234,6,1.420000017,1,2.840000033,30.66558456,30.19449234,29.9924469,399.9472046,402.9838257,32.91630936,33.33681107,71.71559906,72.63114929,300.3181763,-0.019086368,0.165180579,96.42539215,0.89846617,3.133725643,0.024381978,0.001168498,0.043646149,0.004127431,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500530294,0.000217732,303.3444923,303.8155846,-0.003053819,-0.044312931,4.308277632,44.67990781,11.34309675,30.43003845,4.366826972,0.01844637,3.21451508,1.152311892,0.011539756,51.43952999,1.323786545,73.75360096,403.7480319,-0.002936757
7,14:36:12,51.00000031,0,-1.605556464,0.018522926,533.5837166,0.217231741,1.093825398,30.19422913,6,1.420000017,1,2.840000033,30.66544914,30.19422913,29.99228668,399.9252014,402.9580078,32.91598892,33.3355217,71.71492004,72.62876129,300.3200989,-0.01655544,0.161192879,96.42528534,0.89846617,3.133725643,0.024381978,0.001168498,0.043646149,0.004127431,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500533498,0.000217232,303.3442291,303.8154491,-0.00264887,-0.04404189,4.30821259,44.67928277,11.34376108,30.42983913,4.366777136,0.0184029,3.214387192,1.152389945,0.011512536,51.45096212,1.32416705,73.75131834,403.7212125,-0.002933012
