OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thr Mar  3 2016 16:21:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""16:21:20 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""16:21:21 Log Option: Logged values are 15 s averages""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""16:21:22 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""16:21:22 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""16:21:22 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""16:21:22 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,16:21:24,72.00000025,0,-1.210493956,0.010205064,577.7172023,0.193234286,1.766573223,30.3734417,6,1.420000017,1,2.840000033,29.91745377,30.3734417,29.99956894,399.9726563,402.2362061,26.44248772,26.8182621,60.16593933,61.02337646,300.2632751,-0.067950971,0.171461448,96.43140411,0.237689048,2.853913069,0.022194952,0.003435537,0.036068317,0.002134232,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500438792,0.000193234,303.5234417,303.0674538,-0.010872155,-0.158170193,4.352695894,45.13774256,18.31948046,30.14544773,4.296173108,0.010168525,2.58612267,1.710050438,0.006358601,55.710081,1.436263553,58.05032444,402.8116169,-0.001744477
2,16:21:26,74.0000002,0,-1.204162428,0.010289613,575.227055,0.194793816,1.766249913,30.37267494,6,1.420000017,1,2.840000033,29.91691399,30.37267494,29.99981499,400.0031738,402.2527466,26.4408474,26.81964302,60.15312958,61.01459122,300.2719727,-0.072518475,0.097511962,96.43136597,0.237689048,2.853913069,0.022194952,0.003435537,0.036068317,0.002134232,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500453288,0.000194794,303.5226749,303.066914,-0.011602956,-0.158923611,4.352504724,45.13577798,18.31613496,30.14479446,4.296012078,0.010252468,2.586254811,1.709757267,0.006411119,55.46993065,1.43001399,58.05741661,402.8251477,-0.001735506
3,16:21:28,76.00000016,0,-1.19884756,0.010360499,573.1614488,0.196112632,1.766088741,30.37216187,6,1.420000017,1,2.840000033,29.9162693,30.37216187,29.99982834,400.0209961,402.2588806,26.43859482,26.81995392,60.14588928,61.01203156,300.2727356,-0.060124408,0.079136379,96.43148804,0.237689048,2.853913069,0.022194952,0.003435537,0.036068317,0.002134232,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500454559,0.000196113,303.5221619,303.0662693,-0.009619905,-0.159575241,4.352376807,45.13439433,18.31444041,30.14421558,4.295869388,0.010322841,2.586288065,1.709581323,0.006455148,55.2708114,1.424857166,58.06107766,402.8287553,-0.00172794
