OPEN 6.2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri Mar  4 2016 13:55:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#1.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""13:55:11 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:55:12 Lamp: ParIn ->  1200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:55:12 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:55:12 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:55:12 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13:55:14,7.500004034,0,3.233049386,0.032074245,223.0649853,0.642362385,1.871235054,33.14765549,6,1.420000017,1,2.840000033,30.66989899,33.14765549,30.00817871,400.1004028,395.9160156,32.63632965,33.38135147,71.17490387,72.79823303,500.054718,1198.85498,0.073064193,96.54906464,-1.646847725,3.955254078,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83342453,0.000642362,306.2976555,303.819899,191.8167926,1.559975172,5.094173314,52.76253409,19.38118262,31.90877724,4.75048357,0.031716052,3.222938261,1.527545309,0.019854405,21.53671568,0.563414907,62.04246359,394.3791788,0.005086129
2,13:55:16,9.50000399,0,3.227801328,0.032160339,223.7629212,0.644725194,1.873115907,33.15494919,6,1.420000017,1,2.840000033,30.67347527,33.15494919,30.00836182,400.1198425,395.9404602,32.63581085,33.38359833,71.16387177,72.79219055,500.0366821,1198.795044,0.072272696,96.54870605,-1.646847725,3.955254078,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83339447,0.000644725,306.3049492,303.8234753,191.8072027,1.558074415,5.096259129,52.7843338,19.40073548,31.91421223,4.751946104,0.031800231,3.223143222,1.528802882,0.019907187,21.6040205,0.565142853,62.02052324,394.406118,0.005075731
3,13:55:18,11.50000395,0,3.207306661,0.032174201,224.8384007,0.645456207,1.874424208,33.15978241,6,1.420000017,1,2.840000033,30.6760025,33.15978241,30.00772667,400.0974731,395.9422302,32.635746,33.38439941,71.15436554,72.78448486,500.0242004,1198.756958,0.069340594,96.5486145,-1.646847725,3.955254078,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833373667,0.000645456,306.3097824,303.8260025,191.801109,1.557271375,5.097641717,52.79870399,19.41430457,31.91789246,4.752936661,0.031813784,3.223217509,1.529719152,0.019915685,21.70783607,0.56785658,62.00418621,394.4176302,0.005042027
4,13:55:20,13.5000039,0,3.190709839,0.032174124,225.6507565,0.645236114,1.873798018,33.15769196,6,1.420000017,1,2.840000033,30.67398262,33.15769196,30.00540543,400.0663757,395.9311829,32.63624954,33.38464355,71.15840149,72.78865814,500.026825,1198.747559,0.062964723,96.54875183,-1.646847725,3.955254078,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833378042,0.000645236,306.307692,303.8239826,191.7996051,1.557389384,5.097043683,52.79243477,19.40779122,31.91583729,4.752383477,0.03181371,3.223245666,1.529137812,0.019915638,21.78629889,0.569924185,62.01254154,394.4144722,0.005016652
