OPEN 6.2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri Mar  4 2016 13:37:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#1.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""13:37:09 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:37:09 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:37:10 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:37:10 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:37:10 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13:37:12,9.000000022,0,-1.094404282,0.027547876,456.1117149,0.364499079,1.239227485,30.67075539,6,1.420000017,1,2.840000033,30.44377708,30.67075539,30.02584076,399.2738037,401.1698608,32.31056976,33.01538849,71.3971405,72.95680237,300.0473633,0.11507231,0.271189153,96.56555176,-1.83541584,3.935173512,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500078939,0.000364499,303.8207554,303.5937771,0.018411569,-0.220939175,4.42737669,45.8484067,12.83301821,30.55726624,4.398739215,0.02728323,3.188149206,1.210590009,0.0170756,44.04467941,1.136954092,71.14081486,401.6900882,-0.001938231
2,13:37:14,10.99999998,0,-1.08655196,0.027655571,455.4202033,0.365496062,1.237830215,30.66581154,6,1.420000017,1,2.840000033,30.43967438,30.66581154,30.02223206,399.2866211,401.1661377,32.31021881,33.0169487,71.40667725,72.96861267,300.0539551,0.134307593,0.156777889,96.56542206,-1.83541584,3.935173512,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500089925,0.000365496,303.8158115,303.5896744,0.021489214,-0.221300559,4.426125801,45.83551448,12.81856578,30.55274296,4.397601178,0.027388862,3.188295586,1.209305592,0.017141803,43.97784414,1.13524089,71.16646067,401.6826325,-0.001925054
3,13:37:16,13.49999992,0,-1.03670453,0.02777523,452.30141,0.366604589,1.236290707,30.66054726,6,1.420000017,1,2.840000033,30.43561935,30.66054726,30.01671028,399.3900757,401.1690674,32.31031418,33.01920319,71.42066956,72.98683929,300.0466309,0.117019728,0.127308354,96.56512451,-1.83541584,3.935173512,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500077718,0.000366605,303.8105473,303.5856194,0.018723156,-0.221736298,4.424794174,45.82186578,12.80266259,30.54808331,4.396429098,0.027506219,3.188503467,1.207925631,0.017215355,43.67654197,1.127458338,71.19502759,401.6618671,-0.001837571
4,13:37:18,15.49999988,0,-0.991564427,0.027819546,449.6317401,0.367024216,1.235755022,30.65878296,6,1.420000017,1,2.840000033,30.43328476,30.65878296,30.01411629,399.4918213,401.1802063,32.31044388,33.02014542,71.42874908,72.99682617,300.0458679,0.093275458,0.103984095,96.56507874,-1.83541584,3.935173512,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500076447,0.000367024,303.808783,303.5832848,0.014924073,-0.222079303,4.424347964,45.81726668,12.79712126,30.54603386,4.395913671,0.02754968,3.188592942,1.207320729,0.017242594,43.41872438,1.120772493,71.20510476,401.6515485,-0.001757853
5,13:37:20,17.49999983,0,-0.970856877,0.027831459,448.4497521,0.367092938,1.235464207,30.65788078,6,1.420000017,1,2.840000033,30.4315834,30.65788078,30.01241875,399.5617371,401.2086487,32.31093979,33.02077866,71.43544006,73.00408173,300.0437927,0.0937851,0.107709385,96.56512451,-1.83541584,3.935173512,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500072988,0.000367093,303.8078808,303.5815834,0.015005616,-0.222227227,4.424119809,45.81488225,12.7941036,30.54473209,4.395586309,0.027561363,3.188655602,1.206930707,0.017249916,43.30460615,1.117746972,71.21054239,401.6701475,-0.001721194
6,13:37:22,19.49999979,0,-0.961152298,0.027818678,447.960944,0.366849083,1.235206071,30.65711784,6,1.420000017,1,2.840000033,30.42972374,30.65711784,30.01075172,399.6227112,401.2503967,32.31208038,33.02145386,71.4434433,73.01161194,300.0409851,0.081357025,0.108466335,96.56512451,-1.83541584,3.935173512,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500068309,0.000366849,303.8071178,303.5797237,0.013017124,-0.222279615,4.423926874,45.81288428,12.79143042,30.54342079,4.395256571,0.027548829,3.188720803,1.206535768,0.017242061,43.25740433,1.116412464,71.21519385,401.7072825,-0.001703943
7,13:37:24,21.49999974,0,-0.957311222,0.027802211,447.8173104,0.366574435,1.235005444,30.65658951,6,1.420000017,1,2.840000033,30.42796326,30.65658951,30.0097065,399.6742249,401.2944031,32.31332016,33.02215576,71.45187378,73.01925659,300.0436401,0.049526043,0.102300324,96.56510162,-1.83541584,3.935173512,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500072734,0.000366574,303.8065895,303.5779633,0.007924167,-0.222371721,4.423793271,45.81151158,12.78935582,30.54227638,4.394968817,0.027532679,3.188787827,1.20618099,0.017231939,43.24352408,1.115932111,71.21884478,401.749463,-0.001697043
8,13:37:26,23.4999997,0,-0.946118452,0.027825112,447.1938744,0.366735135,1.234540411,30.65546036,6,1.420000017,1,2.840000033,30.42505836,30.65546036,30.00761032,399.7583313,401.3559265,32.31488419,33.02401733,71.46383667,73.03181458,300.048645,0.019407801,0.06815923,96.56509399,-1.83541584,3.935173512,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500081075,0.000366735,303.8054604,303.5750584,0.003105248,-0.222763312,4.423507749,45.80855841,12.78454108,30.54025936,4.394461691,0.027555138,3.188967338,1.205494353,0.017246015,43.18331852,1.114207727,71.22807122,401.8056659,-0.001677184
9,13:37:28,25.49999965,0,-0.937872832,0.027818837,446.8077878,0.366586562,1.234316803,30.65533066,6,1.420000017,1,2.840000033,30.42405891,30.65533066,30.00579834,399.8496704,401.4308472,32.31709671,33.02594376,71.4741745,73.0422287,300.0475464,-0.00115923,0.072226793,96.56523895,-1.83541584,3.935173512,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500079244,0.000366587,303.8053307,303.5740589,-0.000185477,-0.222848229,4.423474953,45.80815003,12.78220627,30.53969479,4.394319753,0.027548984,3.18915815,1.205161602,0.017242158,43.1461008,1.113038001,71.23298363,401.876667,-0.001662388
10,13:37:30,27.49999961,0,-0.946022241,0.027788468,447.4135108,0.366158532,1.234210828,30.65556335,6,1.420000017,1,2.840000033,30.42390442,30.65556335,30.00501251,399.913269,401.5109863,32.31958771,33.02758789,71.4817276,73.04859924,300.0551758,-0.01333821,0.080653213,96.56542206,-1.83541584,3.935173512,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.50009196,0.000366159,303.8055634,303.5739044,-0.002134114,-0.222704121,4.423533792,45.80867248,12.78108459,30.53973389,4.394329583,0.027519202,3.189322964,1.205006619,0.017223492,43.20467451,1.114324455,71.23549905,401.96068,-0.001676541
