OPEN 6.2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar  2 2016 15:06:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#1.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""15:06:29 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:06:30 Lamp: ParIn ->  1200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:06:30 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:06:30 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:06:30 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15:06:32,9.000000112,0,0.095525247,0.042677354,382.6896065,0.900920064,1.986827712,32.2277565,6,1.420000017,1,2.840000033,30.35061646,32.2277565,30.0067234,400.2458496,399.7000122,28.46710014,29.51454926,63.23508453,65.56502533,500.8337708,1200.039673,1.910434961,96.56790924,-2.621931076,0.27060771,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.834722951,0.00090092,305.3777565,303.5006165,192.0063434,1.518316438,4.836986026,50.08895879,20.57440953,31.28918648,4.586301442,0.042045526,2.850158314,1.736143128,0.026334498,36.95553519,0.957442069,57.85493076,399.6546041,0.000138285
2,15:06:34,11.00000007,0,0.096533915,0.042738772,382.6511506,0.901879475,1.986148528,32.22520065,6,1.420000017,1,2.840000033,30.3503418,32.22520065,30.00670624,400.2365417,399.6890564,28.4656105,29.51416016,63.23524857,65.56587982,500.841095,1200.031494,1.892864704,96.56852722,-2.621931076,0.27060771,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.834735158,0.000901879,305.3752007,303.5003418,192.0050348,1.518139389,4.836287506,50.08140484,20.56724468,31.28777122,4.585932153,0.042105138,2.850138978,1.735793174,0.026371915,36.95205806,0.957372098,57.86432475,399.6431688,0.000139771
3,15:06:36,13.00000002,0,0.037688019,0.04280751,384.8463717,0.902383923,1.984145081,32.21785736,6,1.420000017,1,2.840000033,30.35026932,32.21785736,30.0071106,400.1513367,399.6741333,28.46490479,29.51401711,63.23463058,65.56599426,500.8525391,1200.052368,1.890045047,96.56889343,-2.621931076,0.27060771,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.834754232,0.000902384,305.3678574,303.5002693,192.0083746,1.51898006,4.834281053,50.06043749,20.54642038,31.28406334,4.584964757,0.042171851,2.850135973,1.734828784,0.026413789,37.16418825,0.962900372,57.89082375,399.6562182,5.45917E-05
4,15:06:38,14.99999998,0,-0.038518959,0.043032091,387.7037121,0.902868761,1.975096332,32.18478012,6,1.420000017,1,2.840000033,30.34996223,32.18478012,30.007061,400.0260925,399.6399841,28.46459579,29.51427841,63.23490524,65.56745148,500.8492432,1200.101563,1.869849682,96.56871033,-2.621931076,0.27060771,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.834748739,0.000902869,305.3347801,303.4999622,192.0162457,1.523609239,4.825252134,49.96703506,20.45275665,31.26737118,4.580611935,0.042389795,2.850155802,1.730456133,0.026550589,37.44004747,0.970132438,58.00973718,399.6582942,-5.59096E-05
5,15:06:40,16.99999993,0,-0.077200089,0.043197325,389.1225883,0.902645345,1.967245209,32.15580368,6,1.420000017,1,2.840000033,30.34952164,32.15580368,30.00659561,399.9217529,399.5821533,28.464468,29.51388931,63.23633194,65.56842804,500.8501892,1200.138306,1.844348788,96.56841278,-2.621931076,0.27060771,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.834750315,0.000902645,305.3058037,303.4995216,192.0221246,1.527962695,4.817354655,49.88540783,20.37151851,31.25266266,4.576779372,0.042550124,2.850109446,1.726669926,0.026651227,37.57695073,0.973823743,58.11227614,399.6188505,-0.000112264
