OPEN 6.2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar  2 2016 14:46:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#1.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""14:46:21 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:46:21 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:46:22 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:46:22 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:46:22 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14:46:24,9.500001039,0,-1.924407162,0.057784507,447.5390224,0.837396265,1.373337549,30.52661705,6,1.420000017,1,2.840000033,30.38932037,30.52661705,30.00383759,400.1990967,403.3623047,29.62766838,31.2449894,65.6920166,69.27852631,300.9539185,-0.1593225,0.127517417,96.58174133,-2.788679123,0.198986769,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501589864,0.000837396,303.6766171,303.5393204,-0.025491599,-0.453941872,4.391033033,45.46442187,14.21943248,30.45796871,4.373815318,0.056632231,3.017695484,1.356119834,0.035496896,43.2240981,1.109521185,68.12516587,404.2770757,-0.003242839
2,14:46:26,11.50000099,0,-1.91551178,0.057737398,447.3376264,0.836726022,1.373333787,30.52528763,6,1.420000017,1,2.840000033,30.38916016,30.52528763,30.00408745,400.2198181,403.3659058,29.62564468,31.24171829,65.68492889,69.26902771,300.946167,-0.115123056,0.106276408,96.58128357,-2.788679123,0.198986769,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501576945,0.000836726,303.6752876,303.5391602,-0.018419689,-0.453346145,4.39069904,45.46117921,14.21946092,30.45722389,4.373628833,0.056586981,3.017365254,1.356263579,0.035468453,43.20444215,1.109011991,68.12241827,404.2764483,-0.003227724
3,14:46:28,13.50000095,0,-1.914949686,0.057713105,447.3527539,0.836361538,1.373304674,30.52438354,6,1.420000017,1,2.840000033,30.38932037,30.52438354,30.00417328,400.2292786,403.3746033,29.62426186,31.23967552,65.68004608,69.26251221,300.9385986,-0.099114485,0.084040068,96.58126068,-2.788679123,0.198986769,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501564331,0.000836362,303.6743835,303.5393204,-0.015858317,-0.452976654,4.390471919,45.45883837,14.21916285,30.45685196,4.373535712,0.056563646,3.017167245,1.356368467,0.035453784,43.20589295,1.109025581,68.12125043,404.2848786,-0.003226655
4,14:46:30,15.50000091,0,-1.920045592,0.057706837,447.5102692,0.836159535,1.373123907,30.52307892,6,1.420000017,1,2.840000033,30.3891964,30.52307892,30.00414276,400.2275085,403.3832092,29.62306595,31.23812675,65.67719269,69.25885773,300.9321289,-0.092216738,0.074131772,96.5813446,-2.788679123,0.198986769,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501553548,0.00083616,303.6730789,303.5391964,-0.014754678,-0.452692239,4.390144192,45.45540559,14.21727884,30.45613766,4.373356877,0.056557625,3.017020285,1.356336592,0.035449999,43.22114352,1.109392406,68.12308075,404.2959069,-0.00323524
