OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar  1 2016 17:44:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""17:44:33 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""17:44:37 Lamp: ParIn ->  1200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""17:44:37 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""17:44:37 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""17:44:37 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,17:44:39,16.50000075,0,-0.02587024,0.005483549,398.0676026,0.08276593,1.40184783,30.30718613,6,1.420000017,1,2.840000033,30.12586975,30.30718613,29.996418,400.1697388,400.1610413,30.36399269,30.46026611,68.17451477,68.38646698,500.1059875,1200.153076,1.019243836,96.33389282,-0.275263458,0.167090133,0.031692047,0.003211802,0.036906652,0.005212727,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833509979,8.27659E-05,303.4571861,303.2758698,192.0244879,2.101578859,4.336203841,45.01223519,14.55196908,30.21652794,4.313725828,0.005472981,2.934356011,1.379369817,0.003421561,38.34740176,0.99476851,66.46801064,400.1733387,-4.297E-05
2,17:44:41,18.5000007,0,-7.76048E-05,0.005237073,390.6338188,0.079014987,1.401180737,30.30430794,6,1.420000017,1,2.840000033,30.12635612,30.30430794,29.99542618,400.2080688,400.1702271,30.36798286,30.45989227,68.17470551,68.38108063,500.111145,1200.156616,0.950318873,96.33349609,-0.275263458,0.167090133,0.031692047,0.003211802,0.036906652,0.005212727,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833518575,7.9015E-05,303.4543079,303.2763561,192.0250543,2.103917636,4.33548865,45.00499645,14.54510418,30.21533203,4.313429992,0.005227433,2.934307913,1.379122079,0.00326801,37.63112146,0.976169121,66.47566725,400.1702639,-1.28916E-07
3,17:44:43,20.50000066,0,0.001767374,0.005066265,390.0401828,0.076443467,1.401194858,30.3039093,6,1.420000017,1,2.840000033,30.12620926,30.3039093,29.99442291,400.190979,400.1521606,30.36990929,30.45882607,68.17680359,68.37822723,500.1199341,1200.149414,0.934238255,96.33315277,-0.275263458,0.167090133,0.031692047,0.003211802,0.036906652,0.005212727,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833533223,7.64435E-05,303.4539093,303.2762093,192.023902,2.105220017,4.335389603,45.00412867,14.54530261,30.21505928,4.313362523,0.005057244,2.934194745,1.379167778,0.003161587,37.57380051,0.974729668,66.47258443,400.1513205,2.93594E-06
4,17:44:45,22.50000061,0,-0.014266308,0.004972767,395.0891062,0.075073606,1.401905805,30.30623627,6,1.420000017,1,2.840000033,30.12608337,30.30623627,29.99378204,400.1293945,400.1104736,30.37020302,30.45752525,68.17724609,68.37561798,500.1272583,1200.143555,0.953570545,96.33290863,-0.275263458,0.167090133,0.031692047,0.003211802,0.036906652,0.005212727,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833545431,7.50736E-05,303.4562363,303.2760834,192.0229645,2.105551372,4.335967802,45.01024483,14.55271957,30.21615982,4.313634764,0.004964075,2.934061997,1.379572766,0.003103326,38.06008277,0.987450048,66.45886002,400.1172552,-2.36961E-05
