OPEN 6.2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar  1 2016 11:29:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#1.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""11:29:58 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:29:59 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:29:59 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:29:59 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:29:59 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11:30:01,10.50000026,0,-0.509805643,0.009836274,472.7325164,0.164558339,1.559589118,31.51854706,6,1.420000017,1,2.840000033,30.63460159,31.51854706,30.00989342,400.4054565,401.2924194,31.5818119,31.90022278,69.16136169,69.86205292,300.1949463,-0.275125623,0.563471079,96.76747131,-2.881993294,-0.218044996,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.50032491,0.000164558,304.6685471,303.7846016,-0.044020099,-0.211641558,4.64649301,48.01709652,16.11687375,31.07657433,4.531112849,0.009802323,3.086903893,1.444208956,0.006129493,45.74513022,1.178025035,65.15877602,401.5347566,-0.000827284
2,11:30:03,12.50000021,0,-0.515700855,0.0098924,473.1992926,0.165399861,1.558703806,31.51470566,6,1.420000017,1,2.840000033,30.63349915,31.51470566,30.00914001,400.3743896,401.272644,31.57893372,31.89903641,69.16319275,69.86560059,300.1357422,-0.235634446,0.517826796,96.76704407,-2.881993294,-0.218044996,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500226237,0.0001654,304.6647057,303.7834991,-0.037701511,-0.211610985,4.645479268,48.00683241,16.10779601,31.0741024,4.530474618,0.009858062,3.086775462,1.443699157,0.006164365,45.7900968,1.179246329,65.17184873,401.5177835,-0.000837053
3,11:30:05,14.50000017,0,-0.523935208,0.009900308,474.4446796,0.165460352,1.558035785,31.51161957,6,1.420000017,1,2.840000033,30.63252449,31.51161957,30.00809479,400.3465881,401.2614136,31.57734871,31.89762306,69.16429138,69.86682892,300.085022,-0.178983286,0.435455799,96.76674652,-2.881993294,-0.218044996,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500141703,0.00016546,304.6616196,303.7825245,-0.028637325,-0.211233516,4.64466499,47.99856518,16.10094212,31.07207203,4.529950451,0.009865915,3.086629205,1.443321246,0.006169278,45.91046805,1.182383014,65.1809441,401.5104673,-0.000850553
4,11:30:07,16.50000012,0,-0.534056613,0.009892942,476.1307464,0.165315969,1.557831487,31.51077843,6,1.420000017,1,2.840000033,30.63206673,31.51077843,30.007267,400.3284607,401.2637024,31.57745934,31.8974762,69.16619873,69.86812592,300.0644531,-0.138353348,0.378187865,96.76663971,-2.881993294,-0.218044996,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500107422,0.000165316,304.6607784,303.7820667,-0.022136535,-0.211027271,4.644443074,47.99632484,16.09884865,31.07142258,4.529782798,0.0098586,3.086611587,1.443171211,0.006164701,46.07357239,1.186578162,65.18379958,401.5175673,-0.000867007
