OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar  2 2016 14:46:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""14:46:15 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:46:16 Lamp: ParIn ->  1200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:46:16 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:46:16 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:46:16 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14:46:18,12.00000134,0,2.896629525,0.142378587,352.8405953,2.124845616,1.454946255,30.26797485,6,1.420000017,1,2.840000033,30.37742996,30.26797485,29.99333763,400.6078186,396.1149292,27.29884529,29.77654839,60.47761154,65.96302795,499.2305298,1199.52417,2.460254431,96.43572235,-0.031322077,0.162203863,0.009381006,0.00266028,0.032235347,0.002057556,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832050883,0.002124846,303.4179749,303.52743,191.9238629,1.123535812,4.326469208,44.86376109,15.0872127,30.32270241,4.340061197,0.135581442,2.871522953,1.468538244,0.085323947,34.02643768,0.890753085,66.73503873,394.7380103,0.004897088
2,14:46:20,14.0000013,0,2.892393043,0.142088675,352.7855941,2.130495502,1.461591594,30.29619598,6,1.420000017,1,2.840000033,30.37752151,30.29619598,29.99418068,400.6094055,396.1190491,27.29606247,29.78026581,60.4694519,65.96572876,499.2462769,1199.574463,2.320592403,96.43573761,-0.031322077,0.162203863,0.009381006,0.00266028,0.032235347,0.002057556,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832077128,0.002130496,303.446196,303.5275215,191.9319098,1.116949348,4.333473493,44.93638562,15.15611982,30.33685875,4.343583079,0.135318524,2.871881899,1.471701179,0.085157346,34.02113898,0.890604971,66.63254988,394.7441439,0.00488234
3,14:46:22,16.00000125,0,2.83666406,0.141966081,353.391916,2.134276081,1.465357983,30.31210709,6,1.420000017,1,2.840000033,30.37734604,30.31210709,29.99425125,400.5557251,396.1306763,27.29366302,29.78217888,60.46401596,65.96908569,499.2644958,1199.617554,2.283736467,96.43582153,-0.031322077,0.162203863,0.009381006,0.00266028,0.032235347,0.002057556,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832107493,0.002134276,303.4621071,303.527346,191.9388043,1.112935114,4.337426871,44.97734142,15.19516254,30.34472656,4.345541547,0.13520733,2.872068887,1.47347266,0.085086889,34.07963975,0.892109441,66.57493801,394.782262,0.004783668
4,14:46:24,18.00000121,0,2.78079528,0.141890462,354.0222789,2.135114957,1.46666895,30.31723213,6,1.420000017,1,2.840000033,30.37696266,30.31723213,29.99393463,400.4959412,396.1376343,27.29229736,29.78178215,60.46105957,65.96983337,499.2665405,1199.616699,2.304689884,96.43586731,-0.031322077,0.162203863,0.009381006,0.00266028,0.032235347,0.002057556,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832110901,0.002135115,303.4672321,303.5269627,191.9386676,1.111759591,4.338700942,44.99053167,15.20874952,30.3470974,4.34613185,0.135138738,2.872031992,1.474099858,0.085043426,34.14044551,0.893685044,66.55378837,394.8157774,0.004687565
